'a'dai 阿呆
'a'gong 阿贡
'ai'li'ka 艾丽卡
'ai'ma 艾玛
'an'ji'la 安吉拉
'ao'chuang 奥创
'bai'huang'hou 白皇后
'bai'si'shi 白死侍
'bai'wan'ci'wang 白万磁王
'bi'lin'xing 比邻星
'bo'shi 博士
'bu'shao 步哨
'cai'hong'qiao 彩虹桥
'cheng'fa'zhe 惩罚者
'chi'bang'dao'feng 翅膀刀锋
'chi'feng 翅锋
'da'chui 大锤
'da'dao 大刀
'da'dao'fu'fu 大刀夫妇
'da'long 大龙
'da'shu'ren 大树人
'da'tian'shi 大天使
'dao'feng 刀锋
'de'la'ke'si 德拉克斯
'dian'suo 电锁
'dian'wang 电王
'dong'bing 冬兵
'dou'lei 抖雷
'du'ao'chuang 毒奥创
'du'bo'shi 毒博士
'du'shi 毒侍
'du'yan'long 独眼龙
'du'ye 毒液
'du'ye'te'gong 毒液特工
'du'ye'ya 毒液鸭
'duo'ma'ma 多妈妈
'duo'ma'mu 多玛姆
'duo'mi'nuo 多米诺
'e'ling'qi'shi 恶灵骑士
'e'sha 恶煞
'er'zhan'mei'dui 二战美队
'fan'hao'ke'zhuang'jia 反浩克装甲
'fei'hong'nv'wu 绯红女巫
'feng'bao'nv 风暴女
'feng'huang 凤凰
'gang'ren 钢人
'gang'tie'ai'guo'zhe 钢铁爱国者
'gang'tie'xia 钢铁侠
'gang'tie'xia'wu'xian'zhan'zheng 钢铁侠无限战争
'ge'dou'lei'shen 格斗雷神
'ge'lu'te 格鲁特
'ge'wen'pu 格温扑
'gou'ge 狗哥
'gua'fu 寡妇
'gua'jie 寡姐
'guan'gong 关公
'guang'tou 光头
'gun'pu 滚扑
'hai'bai'long 亥柏龙
'hai'la 海拉
'hai'mu'da'er 海姆达尔
'hao'ke 浩克
'hao'ke'hui'mie'zhe 浩克毁灭者
'hei'bao 黑豹
'hei'fu'wang 黑蝠王
'hei'gua'fu 黑寡妇
'hei'pi'li 黑霹雳
'hei'zhi'zhu 黑蜘蛛
'hong'hao'ke 洪浩克
'hong'ku'lou 红骷髅
'hong'lan'du'yan'long 红蓝独眼龙
'hong'mao'dou 红帽兜
'hong'nv'wu 红女巫
'hong'se'ou'mi'ga 红色欧米伽
'hong'tan'ke 红坦克
'hong'wan'ci'wang 红万磁王
'hong'ye'mo'xia 红夜魔侠
'hong'zhi'zhu 红蜘蛛
'hua'ban 滑板
'huan'shi 幻视
'huan'xiong 浣熊
'huang'feng 黄蜂
'huang'feng'nv 黄蜂女
'huang'feng'zhan'shi 黄蜂战士
'hui'hao'ke 灰浩克
'huo'chai'tou 火柴头
'huo'hua'de'ya 霍华德鸭
'huo'jian'huan'xiong 火箭浣熊
'ji'er'meng'ge 基尔蒙格
'ji'er'meng'ge 鸡儿猛哥
'jian'chi'hu 剑齿虎
'jian'fu'si'te 简福斯特
'jiao'cha'gu 交叉骨
'jin'bing 金并
'jin'gang'lang 金刚狼
'jin'lao'ban 金老板
'jin'shi 金侍
'jin'si'shi 金死侍
'jing'dian'zhi'zhu'xia 经典蜘蛛侠
'jing'qi'dui'zhang 惊奇队长
'jing'qi'xiao'mei 惊奇小妹
'ka'er'nai'ke 卡尔耐克
'ka'ma'la 卡马拉
'ka'mo'la 卡魔拉
'kan'mang'guo 砍芒果
'kan'men'da'shu 看门大叔
'ke'en'ge 科恩格
'ke'ji'zhu 科技猪
'lan'shou 蓝兽
'lao'nian'jin'gang'lang 老年金刚狼
'lao'shu'ren 老树人
'lei'shen 雷神
'lei'shen'suo'er 雷神索尔
'lie'ying 猎鹰
'ling'die 灵蝶
'lu'ke 卢克
