'shou'wu'zu'dao 手舞足蹈
'shou'zhu'dai'tu 守株待兔
'shou'zu'wu'cuo 手足无措
'tan'sheng'pa'si 贪生怕死
'tan'te'bu'an 忐忑不安
'tan'tou'tan'nao 探头探脑
'tan'xiao'feng'sheng 谈笑风生
'tao'tao'bu'jue 滔滔不绝
'ti'xin'diao'dan 提心吊胆
'tong'bu'yu'sheng 痛不欲生
'tong'ku'liu'ti 痛哭流涕
'tong'kuai'lin'li 痛快淋漓
'tong'xin'ji'shou 痛心疾首
'tou'tou'mo'mo 偷偷摸摸
'tu'qi'hu'luo 兔起鹘落
'tun'tun'tu'tu 吞吞吐吐
'wa'kong'xin'si 挖空心思
'wen'ji'qi'wu 闻鸡起舞
'xi'bu'zi'sheng 喜不自胜
'xi'chu'wang'wai 喜出望外
'xi'di'er'zuo 席地而坐
'xi'er'gong'ting 洗耳恭听
'xi'xiao'yan'kai 喜笑颜开
'xin'an'li'de 心安理得
'xin'chao'peng'pai 心潮澎湃
'xin'chi'shen'wang 心驰神往
'xin'dan'ju'lie 心胆俱裂
'xin'fan'yi'luan 心烦意乱
'xin'hua'nu'fang 心花怒放
'xin'ji'ru'fen 心急如焚
'xin'jing'dan'zhan 心惊胆战
'xin'kuang'shen'yi 心旷神怡
'xin'luan'ru'ma 心乱如麻
'xin'ping'qi'he 心平气和
'xin'ru'dao'ge 心如刀割
'xin'ru'si'hui 心如死灰
'xin'shen'huang'hu 心神恍惚
'xin'xi'ruo'kuang 欣喜若狂
'xin'you'yu'ji 心有余悸
'xin'yue'cheng'fu 心悦诚服
'xing'chi'dian'zou 星驰电走
'xing'se'cang'huang 形色仓皇
'xuan'liang'ci'gu 悬梁刺股
'yan'er'dao'ling 掩耳盗铃
'yan'ji'shou'kuai 眼疾手快
'yan'jian'shou'kuai 眼尖手快
'yan'ming'shou'jie 眼明手捷
'yan'ming'shou'kuai 眼明手快
'yao'qi'na'han 摇旗呐喊
'yao'tou'bai'wei 摇头摆尾
'yao'tou'huang'nao 摇头晃脑
'yao'wu'yang'wei 耀武扬威
'yao'ya'qie'chi 咬牙切齿
'yi'bu'deng'tian 一步登天
'yi'fen'tian'ying 义愤填膺
'yi'ju'yi'dong 一举一动
'yi'lai'yi'wang 一来一往
'yi'lun'fen'fen 议论纷纷
'yi'mu'shi'hang 一目十行
'yi'que'yi'guai 一瘸一拐
'yi'ri'qian'li 一日千里
'ying'si'wu'bi 营私舞弊
'you'xin'chong'chong 忧心忡忡
'you'xin'ru'fen 忧心如焚
'yue'yue'yu'shi 跃跃欲试
'zhan'zhuan'fan'ce 辗转反侧
'zhang'ya'wu'zhao 张牙舞爪
'zhi'dong'hua'xi 指东划西
'zhi'dong'hua'xi 指东画西
'zhi'shou'hua'jiao 指手划脚
'zhi'shou'hua'jiao 指手画脚
'zhi'zhi'wu'wu 支支吾吾
'zhua'er'nao'sai 抓耳挠腮
'zhuan'xin'zhi'zhi 专心致志
'zou'ma'guan'hua 走马观花
'zou'ma'kan'hua 走马看花
'zuo'gu'you'pan 左顾右盼
'zuo'you'kai'gong 左右开弓
