'a'ba 阿爸
'bai'xi 白熙
'bai'xian 白贤
'bao'zi 包子
'bo'xian 伯贤
'can'bai 灿白
'can'jue'ren'huan 惨绝仁寰
'can'lie 灿烈
'chi'kou'du'yao'wo'de'can'lie 吃口毒药我的灿烈
'cun'zhang 村长
'da'bai'ya 大白牙
'da'ge 大哥
'dan'bai 蛋白
'du'jiao'shou 独角兽
'e'wang 鹅王
'fan'xing 繁星
'fei'er'yuan 肥儿圆
'gao'e 搞鹅
'hei'zhong 黑钟
'huo'guang'lian'ren 火光恋人
'jun'xi 俊熙
'kou'kou'pa 叩叩趴
'lu'dan 卤蛋
'man'you'yu'zhou 漫游宇宙
'mian'ma 棉麻
'mu'zhong'wu'ren 目中无仁
'niu'rou 牛肉
'pao'xiao 咆哮
'pian'xin 偏心
'pu'can'lie'yi'pin'le'ming 朴灿烈已拼了命
'qi'ren'tai'shen 欺仁太甚
'ren'mei 仁妹
'shou'hu 守护
'xi'you'min 西柚珉
'xian'dan 咸蛋
'xiao'mian'yang 小绵羊
'xiao'tian 小天
'xiu'min 秀敏
'xun'lu 勋鹿
'xun'xing 勋兴
'yi'xing 艺兴
'zhi'yu'du'jiao'shou 治愈独角兽
