'an'he 安和
'an'yong 安永
'an'yuan 安元
'an'zhen 安贞
'an'zheng 安政
'bai'zhi 白雉
'bao'an 保安
'bao'de 宝德
'bao'gui 宝龟
'bao'li 宝历
'bao'yan 保延
'bao'yong 宝永
'bao'yuan 保元
'bao'zhi 宝治
'chang'bao 长保
'chang'cheng 长承
'chang'de 长德
'chang'he 长和
'chang'jiu 长久
'chang'kuan 长宽
'chang'li 长历
'chang'lu 长禄
'chang'tai 昌泰
'chang'xiang 长享
'chang'yuan 长元
'chang'zhi 长治
'cheng'an 承安
'cheng'bao 承保
'cheng'de 承德
'cheng'he 承和
'cheng'jiu 承久
'cheng'li 承历
'cheng'ping 承平
'cheng'ying 承应
'cheng'yuan 承元
'da'bao 大宝
'da'hua 大化
'da'tong 大同
'da'yong 大永
'da'zheng 大正
'da'zhi 大治
'de'zhi 德治
'guan'ying 观应
'he'tong 和铜
'hong'an 弘安
'hong'chang 弘长
'hong'he 弘和
'hong'hua 弘化
'hong'ren 弘仁
'hong'zhi 弘治
'jia'bao 嘉保
'jia'cheng 嘉承
'jia'ji 嘉吉
'jia'li 嘉历
'jia'lu 嘉禄
'jia'qing 嘉庆
'jia'xiang 嘉祥
'jia'ying 嘉应
'jia'yong 嘉永
'jia'yuan 嘉元
'jia'zhen 嘉祯
'jian'bao 建保
'jian'chang 建长
'jian'de 建德
'jian'jiu 建久
'jian'li 建历
'jian'ren 建仁
'jian'wu 建武
'jian'yong 建永
'jian'zhi 建治
'jiu'an 久安
'jiu'shou 久寿
'kang'an 康安
'kang'bao 康保
'kang'he 康和
'kang'li 康历
'kang'ping 康平
'kang'ying 康应
'kang'yong 康永
'kang'yuan 康元
'kang'zheng 康正
'kang'zhi 康治
'kuan'bao 宽保
'kuan'de 宽德
'kuan'he 宽和
'kuan'hong 宽弘
'kuan'ping 宽平
'kuan'ren 宽仁
'kuan'wen 宽文
'kuan'xi 宽喜
'kuan'yan 宽延
'kuan'yong 宽永
'kuan'yuan 宽元
'kuan'zheng 宽政
'kuan'zheng 宽正
'kuan'zhi 宽治
'li'ren 历仁
'li'ying 历应
'ling'gui 灵龟
'ming'de 明德
'ming'he 明和
'ming'li 明历
'ming'ying 明应
'ming'zhi 明治
'ping'cheng 平成
'ping'zhi 平治
'qi'heng 齐衡
'qian'yuan 乾元
'qing'an 庆安
'qing'chang 庆长
'qing'ying 庆应
'qing'yun 庆云
'ren'an 仁安
'ren'he 仁和
'ren'ping 仁平
'ren'shou 仁寿
'ren'zhi 仁治
'shen'gui 神龟
'shen'hu'jing'yun 神护景云
'shou'yong 寿永
'tian'an 天安
'tian'bao 天保
'tian'chang 天长
'tian'cheng 天承
'tian'de 天德
'tian'fu 天福
'tian'he 天和
'tian'li 天历
'tian'lu 天禄
'tian'ming 天明
'tian'ping 天平
'tian'ping'bao'zi 天平宝字
'tian'ping'gan'bao 天平感宝
'tian'ping'shen'hu 天平神护
'tian'ping'sheng'bao 天平胜宝
'tian'qing 天庆
'tian'ren 天仁
'tian'shou 天授
'tian'wen 天文
'tian'xi 天喜
'tian'yan 天延
'tian'yang 天养
'tian'ying 天应
'tian'yong 天永
'tian'yuan 天元
'tian'zheng 天正
'tian'zhi 天治
'wan'shou 万寿
'wan'yan 万延
'wan'zhi 万治
'wen'an 文安
'wen'bao 文保
'wen'gui 文龟
'wen'he 文和
'wen'hua 文化
'wen'jiu 文久
'wen'li 文历
'wen'lu 文禄
'wen'ming 文明
'wen'ying 文应
'wen'yong 文永
'wen'zheng 文政
'wen'zheng 文正
'wen'zhi 文治
'wen'zhong 文中
'xiang'bao 享保
'xiang'de 享德
'xiang'he 享和
'xiang'lu 享禄
'xing'guo 兴国
'yan'bao 延宝
'yan'chang 延长
'yan'de 延德
'yan'jiu 延久
'yan'li 延历
'yan'qing 延庆
'yan'wen 延文
'yan'xi 延喜
'yan'xiang 延享
'yan'ying 延应
'yan'yuan 延元
'yang'he 养和
'yang'lao 养老
'ying'an 应安
'ying'bao 应保
'ying'chang 应长
'ying'de 应德
'ying'he 应和
'ying'ren 应仁
'ying'yong 应永
'yong'bao 永保
'yong'chang 永长
'yong'cheng 永承
'yong'de 永德
'yong'guan 永观
'yong'he 永和
'yong'jiu 永久
'yong'li 永历
'yong'lu 永禄
'yong'ren 永仁
'yong'wan 永万
'yong'xiang 永享
'yong'yan 永延
'yong'zheng 永正
'yong'zhi 永治
'yong'zuo 永祚
'yuan'de 元德
'yuan'gui 元龟
'yuan'he 元和
'yuan'heng 元亨
'yuan'hong 元弘
'yuan'jiu 元久
'yuan'li 元历
'yuan'lu 元禄
'yuan'qing 元庆
'yuan'ren 元仁
'yuan'wen 元文
'yuan'ying 元应
'yuan'yong 元永
'yuan'zhi 元治
'yuan'zhong 元中
'zhao'he 昭和
'zhen'guan 贞观
'zhen'he 贞和
'zhen'xiang 贞享
'zhen'ying 贞应
'zhen'yong 贞永
'zhen'yuan 贞元
'zhen'zhi 贞治
'zheng'an 正安
'zheng'bao 正保
'zheng'chang 正长
'zheng'de 正德
'zheng'he 正和
'zheng'jia 正嘉
'zheng'li 正历
'zheng'ping 正平
'zheng'qing 正庆
'zheng'ying 正应
'zheng'yuan 正元
'zheng'zhi 正治
'zheng'zhong 正中
'zhi'an 治安
'zhi'cheng 治承
'zhi'de 至德
'zhi'li 治历
'zhu'niao 朱鸟
