'a'ye 啊吔
'ba'man 霸蛮
'ban'ai 扮矮
'bu'dai'ai'xiang 不带爱相
'cuo'ba'zi 搓巴子
'da'bao'qiu 打胞鳅
'da'liang'xin'gang 打良心港
'deng'dou 瞪兜
'dong'wei 懂味
'dou'ba 斗霸
'dou'he'zi 斗盒子
'ha'li'you 哈利油
'ha'luan 哈卵
'he'de'yi'gun 赫得一滚
'hua'hu'zi 画胡子
'hua'sheng'zi 化生子
'jia'chang 架场
'jie'tuo 接陀
'jue'wei 绝味
'kuang'piao 筐瓢
'lao'kou'zi 老口子
'li'ge'lang 丽格郎
'liao'bu'de'nan 了不得难
'man'ge 满哥
'mao'luan'wei 冒卵味
'mao'sai'qi 冒僿起
'mei'tuo 妹驮
'niao'sai 嬲腮
'nie'qi'gang 捏起港
'o'de'le'ge 哦得了咯
'o'gai'ge 哦该咯
'pa'lan'de 怕懒得
'pan'da'nao'ke 跘哒脑壳
'qi'li'ba'li 七哩八哩
'qing'bai 清白
'san'peng 散棚
'suo'pi 唆皮
'tang'ke 堂客
'tu'ren 突人
'wu'pi'xia'xue 无皮下血
'xi'bie 细别
'xi'xia'de 稀下的
'xia'bu'de'di 下不得地
'xia'fan 呷饭
'ye'luan 吔卵
'ying'za 硬扎
'yun'shen 运神
