'bai'du 白度
'bai'shui'chi 白水池
'ban'hua'xue'jiang 半化学浆
'bei'mu 备木
'bu'jiang'qi 布浆器
'ceng'jian'jie'he'li 层间结合力
'chao'zhi 抄纸
'chong'jiang'beng 冲浆泵
'chu'pi 除皮
'chuan'song'dai 传送带
'chuan'zhi 传纸
'da'jiang 打浆
'da'jiang'du 打浆度
'da'jiang'ji 打浆机
'dao'wang'gun 导网辊
'di'ceng 底层
'di'ceng'bai'shui'cao 底层白水槽
'di'nong'chu'sha'qi 低浓除砂器
'di'wang 底网
'di'zhen'kong'xi'shui'xiang 低真空吸水箱
'die'wang 叠网
'ding'liang 定量
'er'ya 二压
'fan'kui'shu'ju 反馈数据
'fen'ceng 分层
'fen'si'zhou'hua 分丝帚化
'fu'juan'ji 复卷机
'gan'wang 干网
'gao'nong'chu'sha'qi 高浓除砂器
'guang'hua'du 光滑度
'hei'ye 黑液
'heng'fu'ding'liang 横幅定量
'hong'gang 烘缸
'hu'xing'shai 弧形筛
'hua'ji'jiang 化机浆
'hua'xue'jiang 化学浆
'huan'gun 换辊
'huan'zhi 换纸
'ji'jiang'ji 挤浆机
'ji'wai'bai'shui'cao 机外白水槽
'jia'wang 夹网
'jiang'beng 浆泵
'jiang'chi 浆池
'jiang'gai 浆钙
'jiao'ban'qi 搅拌器
'ke'zhong 克重
'kong'ya'ji 空压机
'kou'jie'du 叩解度
'liang'mian'cha 两面差
'liu'jiang'xiang 流浆箱
'liu'song 流送
'liu'suan'lv 硫酸铝
'mian'ceng 面层
'mian'ceng'bai'shui'cao 面层白水槽
'mian'wang 面网
'mo'jiang'ji 磨浆机
'mo'mu'jiang 磨木浆
'nai'zhe'du 耐折度
'pen'lin'dian'fen 喷淋淀粉
'pen'lin'shui 喷淋水
'piao'bai'ta 漂白塔
'qi're'hui'shou 汽热回收
'qie'zhi'ji 切纸机
'qing'yang'hua'na 氢氧化钠
'qu'jie 去节
'qu'mian'shai 曲面筛
're'feng'gan'zao 热风干燥
're'jiao'huan 热交换
'san'ya 三压
'sao'miao'jia 扫描架
'shai'xuan'jing'hua 筛选净化
'shang'pin'mu'jiang 商品木浆
'sheng'wen'qu'xian 升温曲线
'shi'bu 湿部
'shi'jiao 施胶
'shi'jiao'liang 施胶量
'shi'zhi'fu 湿纸幅
'shui'feng'cao 水封槽
'shui'li'sui'jiang'ji 水力碎浆机
'shui'zhen'beng 水针泵
'sun'chi 损池
'sun'zhi'chi 损纸池
'tan'suan'gai 碳酸钙
'tu'bu 涂布
'tu'liao'zhi'bei 涂料制备
'tuo'shui'pan 托水盘
'wang'long 网笼
'wang'xia'bai'shui'chi 网下白水池
'wen'shui'cao 温水槽
'xi'shi'shui 稀释水
'xi'shi'shui'shai 稀释水筛
'xian'wei 纤维
'xian'ya'li 线压力
'xin'ceng 芯层
'xin'ceng'bai'shui'cao 芯层白水槽
'xin'wang 芯网
'xing'che 行车
'ya'li'shai 压力筛
'ya'zha'bu 压榨部
'yang'li'zi'dian'fen 阳离子淀粉
'ye'wei 液位
'yi'ya 一压
'yin'zhi'sheng 引纸绳
'yu'jin'ji 预浸机
'yuan'wang'nong'suo'ji 圆网浓缩机
'yuan'zhi 原纸
'zhen'dong'shai 振动筛
'zhen'kong'beng 真空泵
'zhen'kong'xi'jiang'ji 真空洗浆机
'zheng'qiu 蒸球
'zhi'jiang'zao'zhi 制浆造纸
'zhi'mian 纸面
'zhong'xing'jiao 中性胶
'zhong'yang'bu'jiang'qi 中央布浆器
