'ai'ge'ni'si 艾格妮絲
'ai'rui'ke 艾瑞克
'lan'bao 藍寶
'lie'yan'jian'ni 烈焰堅尼
'mei'ya'xing 謎亞星
'meng'xue'yuan 萌學園
'meng'xue'yuan'zhi'meng'ji'shi'chuan'qi 萌學園之萌騎士傳奇
'meng'xue'yuan'zhi'mo'fa'hao'ling 萌學園之魔法號令
'meng'xue'yuan'zhi'sheng'zhan'zai'qi 萌學園之聖戰再起
'meng'xue'yuan'zhi'shi'kong'zhan'yi 萌學園之時空戰役
'meng'xue'yuan'zhi'yi'jie'dui'jue 萌學園之異界對決
'ou'pa 歐趴
'tong'en 潼恩
'wu'ke'na'na 烏克娜娜
'yan'wang 焰王
