'a'dao 阿岛
'a'lian'yi 阿莲姨
'a'long 阿龙
'a'xian 阿贤
'a'zhang 阿丈
'ai'ma'shi 爱马仕
'ai'zhen 艾真
'an'bei'ye'lang 安倍夜郎
'bai'en 白恩
'bing'ben'shi'sheng 柄本时生
'cai'lu 蔡鹭
'cai'you'fang 蔡有方
'cai'yue'xun 蔡岳勋
'cai'zhi'yong 蔡志勇
'ceng'pei'yu 曾佩瑜
'chen'ting 陈霆
'chi'jia 迟嘉
'cui'fang 翠芳
'da'guo'cai 大锅菜
'dan'cheng'ju 单承矩
'dan'ye'mei'you'jing'li'qu'xiang'le 但也没有精力去想了
'di'si'ke 狄斯科
'duo'bu'wei'hua'zi 多部未华子
'fan'shi'dou'you'ke'neng 凡事都有可能
'fang'dan 放胆
'fang'jia'yi 方家翊
'fang'xiao'yuan 方小圆
'feng'ruo'qi 冯若绮
'gao'gang'zao'ji 高冈早纪
'gao'jian'ling 高建瓴
'gao'song'shi'fu 高松师傅
'gao'yuan 高远
'guo'lin 郭林
'hai'fen 海芬
'hai'qing 海清
'hao'jian'er'ren'zu 郝建二人组
'hao'xiang'zai'jian'ta'yi'mian 好想再见她一面
'hao'yong 郝用
'hong'chen'ying 洪晨颖
'huang'hao'yong 黄浩咏
'jia'jing'hui 贾景晖
'jian'ze'zheng 建泽正
'jiang'da'shan 姜大山
'jiang'ming 蒋明
'jiang'qi'lin 江奇霖
'jiang'si'zheng'ge'li 姜丝蒸蛤蜊
'jiang'xue'ming 蒋雪鸣
'jiang'you'ban'fan 酱油拌饭
'jiang'you'chao'mian 酱油炒面
'jie'ni'de'na'xie'yong'gan 借你的那些勇敢
'jin'shi'jie 金士杰
'jiu'zheng'ge'li 酒蒸蛤蜊
'ke'wei 可唯
'kui'ni'de'na'xie'bu'kan 愧你的那些不堪
'lan'yi'dao'ba'lian 蓝衣刀疤脸
'li'ang 里昂
'li'jia'cheng 李嘉成
'li'jia'tong 李佳桐
'li'kai 李凯
'li'ming'zhong 李洺中
'li'sha 丽莎
'liang'hao'shi 梁浩实
'liang'jing 梁静
'lin'xiao'sang 林小桑
'liu'lang'ren'gui 流浪人归
'lu'qian 卢茜
'lu'zhu'jiao 卤猪脚
'luo'jia'jia 骆佳佳
'ma'ke 马克
'ma'ling'ling 马玲玲
'ma'qian'yi 马千壹
'ming'mei 明美
'mo'hua 莫华
'mu'mei 牧美
'na'pa'shi'gui'hun'ye'hao 哪怕是鬼魂也好
'niu'rou'pao'mian 牛肉泡面
'nuan'ni'xin'rong'ni'kou 暖你心融你口
'nv'er'xue'li 女儿雪莉
'pao'mian'san'jie'mei 泡面三姐妹
'pei'ban'zhe'wo'man'man'de'zou 陪伴着我慢慢地走
'qian'yong'chen 钱泳辰
'qu'ao'hui 瞿澳晖
'ren'sheng'zui'zhong'yao'de'shi'shi'ji 人生最重要的是时机
'ren'shi'jian 人世间
'shi'ji'dui'le 时机对了
'shi'ke 食客
'shi'shi 施诗
'song'yang 宋洋
'sui'yong'liang 隋咏良
'sun'jian 孙建
'sun'ke'wei 孙可唯
'sun'shang 孙尚
'sun'yang 孙阳
'tang'jia'qun 唐嘉群
'ting'liu'zai'lu'kou 停留在路口
'ting'zhang'chuan'yuan 听障船员
'tui'fan'le'chen'mo 推翻了沉默
'wang'yong'hao 王永好
'wei'qian'xiang 魏千翔
'wei'ran 魏然
'wo'sui'ran'bing'mei'you'wang'ji'ni 我虽然并没有忘记你
'wo'yong'ku'nan'lai'di'huan 我用苦难来抵还
'wo'yong'yu'sheng'lai'chang'zhai 我用余生来偿债
'xian'zai'zen'me'you'dian'hu'tu 现在怎么有点糊涂
'xiao'ai 小艾
'xiao'ke 小克
'xiao'lin'xun 小林薰
'xiao'quan 小泉
'xiao'rou 小柔
'xiao'shi'jie 小世界
'xiao'shou'shu 小寿叔
'xiao'yang'lao'shi 小杨老师
'xie'cheng'ying 谢承颖
'xie'fen'xiao'long'bao 蟹粉小笼包
'xie'hai'dong 谢海东
'xiu'jie'kai 修杰楷
'xu'kai'cheng 徐开骋
'xu'wei 许薇
'yang'jin'hua 杨谨华
'yang'yi'tong 杨壹童
'yao'an'lian 姚安濂
'yao'wang'na'li'zou 要往哪里走
'ye'lu'yi'ding'hui'you'yi'zuo'deng'ta 夜路一定会有一座灯塔
'ye'qing 叶青
'ye'shen'de'ni'hong 夜深的霓虹
'yi'fo 伊佛
'yi'qun'ren'xuan'hua'zhe'che'ye'kuang'huan 一群人喧哗着彻夜狂欢
'yi'ruo'hui'liu'chuan 亦若回流川
'ying'cai'er 应采儿
'yu'gui'mei'zi 余贵美子
'yu'mei 郁美
'yu'song'fan 鱼松饭
'yu'xiao'hui 于小惠
'yu'zhi'zheng'dan 鱼汁蒸蛋
'yuan'chi 袁迟
'yue'guang'bei'zhe'wo 月光背着我
'yue'xiao'rou 岳小柔
'yun'xiao'jie 芸小姐
'zhang'guo'zhu 张国柱
'zhang'rui'han 张瑞涵
'zhang'wei 张卫
'zhang'wen 张雯
'zhang'xiao'qing 张小清
'zhang'xuan 张轩
'zhao'you'ting 赵又廷
'zhong'jiu'hai'shi'gan'jue'gu'du 终究还是感觉孤独
'zhou'shuai 周帅
'zhu'yan'man'zi 朱颜曼滋
'zhuan'ge'wan'wang'le'hui'jia'de'lu 转个弯忘了回家的路
'zou'cheng'en 邹承恩
