'a'lu 阿卢
'an'zhi'gong 安止公
'cao'yin'yu 曺胤瑀
'cheng'dong'ri 成东日
'cui'min'hao 崔珉豪
'cui'yuan'ying 崔元英
'dou'zhi'han 都枝寒
'duan'shi 段世
'gao'ren'fan 高仁范
'gao'ya'la 高雅拉
'han'xing 翰星
'hu'gong 瓠公
'hui'jing'gong 讳景恭
'jin'chang'wan 金昌完
'jin'guang'kui 金光奎
'jin'tai'heng 金泰亨
'jin'xi 金习
'jin'xian'jun 金贤俊
'jin'yuan'hai 金元海
'jin'zhi'xiu 金智秀
'jin'zhong'qiu 金钟求
'li'bing'jun 李秉俊
'li'duo'yin 李多寅
'li'guang'zhu 李光洙
'liu'zai'ming 刘在明
'lv'wei 吕蔚
'mai'zong 麦宗
'mo'wen 莫问
'pan'liu 泮流
'pi'zhou'qi 皮周奇
'pu'jiong'zhi 朴炯植
'pu'xu'jun 朴叙俊
'pu'ying'shi 朴英实
'qiong'lu 穹庐
'shi'xian'di 石县第
'shou'hu 守护
'shou'yan 守妍
'shu'ming'gong'zhu 淑明公主
'song'ying'kui 宋英奎
'wei'hua'gong 魏花公
'wei'hua'lang 魏花郎
'xian'yu 先雨
'xu'rui'zhi 徐睿知
'yu'le 于勒
'zhen'xing'wang 真兴王
'zhi'hou 知后
'zhi'zhao'tai'hou 只召太后
