'bai'mu'xiang 白姆乡
'bai'yang'jie'dao 白洋街道
'da'tian'xiang 大田乡
'da'xi'kou'xiang 大溪口乡
'hu'shan'jie'dao 壶山街道
'jiao'dao'zhen 茭道镇
'liu'cheng'she'zu'zhen 柳城畲族镇
'lv'tan'zhen 履坦镇
'quan'xi'zhen 泉溪镇
'san'gang'xiang 三港乡
'shu'xi'jie'dao 熟溪街道
'tan'hong'xiang 坦洪乡
'tao'xi'zhen 桃溪镇
'tong'qin'zhen 桐琴镇
'wang'zhai'zhen 王宅镇
'wen'quan'du'jia'qu 温泉度假区
'wu'yi'ren'kou'ji'sheng'ju 武义人口计生局
'wu'yi'xian'di'er'ren'min'yi'yuan 武义县第二人民医院
'wu'yi'xian'di'yi'ren'min'yi'yuan 武义县第一人民医院
'wu'yi'xian'fu'you'bao'jian'yuan 武义县妇幼保健院
'wu'yi'xian'ji'hua'sheng'yu'xie'hui 武义县计划生育协会
'wu'yi'xian'ren'kou'he'ji'hua'sheng'yu'ju 武义县人口和计划生育局
'wu'yi'xian'zhong'yi'yuan 武义县中医院
'xi'lian'xiang 西联乡
'xin'zhai'zhen 新宅镇
'yu'yuan'xiang 俞源乡
