'ba'si 扒丝
'ba'zi'zhen 八字针
'bai'dai'li 百代丽
'bai'dai'li 百带丽
'bang'chui'hua'bian 棒槌花边
'bao'hua 包花
'bao'zhen 包针
'bian'xi'xiu 编席绣
'bian'xiu 汴绣
'bian'zhen 编针
'bian'zhi'zhen 编织针
'bian'zi'gu'zhen 辫子股针
'bin'wen'zhen 缤纹针
'bing'wen'zhen 冰纹针
'bo'zhen'xiu 拨针绣
'bu'bu'xiu 补布绣
'bu'hua 补花
'bu'hua'xiu 补画绣
'bu'xiu 补绣
'cai'jin'xiu 彩锦绣
'cai'ping'xiu 彩平绣
'cang'zhen 藏针
'cang'zhen'xiu 藏针绣
'cha'zhen 叉针
'cha'zhen 插针
'cha'zhen'xiu 插针绣
'chan'zhen 羼针
'chan'zhen'xiu 掺针绣
'chang'duan'zhen 长短针
'chang'duan'zhen'xiu 长短针绣
'chang'shu'hua'bian 常熟花边
'chang'sui'zi'zhen 长穗子针
'chang'zhen 长针
'che'ning'zhen'xiu 车凝针绣
'cheng'he 成合
'cheng'yun'xiu 乘云绣
'chi'xiu 絺绣
'chou'sha 抽纱
'chou'si 抽丝
'chou'si'xiu 抽丝绣
'chu'bian 出边
'chuan'sha 穿纱
'chuan'xiu 川绣
'chuan'zhen 串针
'chuan'zhu 穿珠
'chun'qiu'qie'qu'wen'xiu 春秋窃曲纹绣
'chuo'sha 戳纱
'chuo'sha'xiu 戳纱绣
'ci'xiu 刺绣
'ci'xiu'cao'zuo 刺绣操作
'ci'xiu'hua'yang 刺绣花样
'cu'jin 蹙金
'cuo'zhen'xiu 错针绣
'da'bian'zhen 打边针
'da'dao'zi 打倒子
'da'dian'xiu 打点绣
'da'luan'zhen 大乱针
'da'zi 打子
'da'zi 打籽
'da'zi'zhen 打子针
'di'lun'tu'hua 涤纶突花
'dian'zhen'zi 点针子
'diao'bu'hua 雕补花
'diao'xiu 刁绣
'diao'xiu 雕绣
'die'ge'zhen 迭格针
'die'lin'zhen 迭鳞针
'die'qiang'zhen 迭抢针
'die'xiu 迭绣
'ding'dai 钉带
'ding'xian'xiu 钉线绣
'ding'xiao'xian 钉小线
'ding'zhen'xiu 钉针绣
'duan'xiu 缎绣
'duan'zhen 短针
'dui'kou'zhen 对扣针
'dui'ling 堆绫
'dui'pin'fa 对拼法
'er'lian'hua'zhen 二连花针
'er'lie'zhen 二列针
'er'zhen'ban'xiu 二针半绣
'fa'xiu 发绣
'fan'di'ju'hua'zhen 翻底菊花针
'fan'qiang'zhen 反抢针
'fang'ge'wang'zhen 方格网针
'fang'kuai 方块
'fang'shi'zi'xiu 仿十字绣
'fei'li 菲力
'fei'zhen'xiu 飞针绣
'fen'pi 分皮
'feng'che'zhen 风车针
'feng'huang'shuang'qi'tu'gu'xiu 凤凰双栖图顾绣
'fu'shi'suo'bian'zhen 复式锁边针
'gai'zhen 盖针
'gao'xiu 高绣
'ge'jin 格锦
'gou'zhen 钩针
'gou'zhen'hua'bian 钩针花边
'gou'zhen'xiu 钩针绣
'gu'shi'lu'xiang'yuan'xiu 顾氏露香园绣
'gu'xiu 顾绣
'gua'rong 刮绒
'guan'zhen'xiu 贯针绣
'guang'xiu 广绣
'guang'zhou'jin'yin'xian'xiu 广州金银线绣
'gui'hua'zhen 桂花针
'gui'xiu'hua 闺绣画
'gun'zhen 滚针
'gun'zhen'xiu 滚针绣
'han'xiu 汉绣
'han'yuan'xiu 韩媛绣
'he'jie'ling'zhi'tu'gu'xiu 鹤街灵芝图顾绣
'heng'can'zhen 横参针
'hua'bian 花边
'hua'xiu 画绣
'hua'yang 画样
'hua'zhen 花针
'hui'zhen 回针
'ji'mao'zhen 鸡毛针
'ji'tao 集套
'ji'xian 记线
'ji'xiu 机绣
'ji'zhen 记针
'ji'zhen'xiu 绩针绣
'jian'cai'xiu 剪彩绣
'jiao'die'zhen 交叠针
'jiao'xing'zhen 绞形针
'jie'can'zhen 接参针
'jie'se'xiu 借色绣
'jie'zhen 接针
'jie'zhen'xiu 接针绣
'jie'zi'zhen 结子针
'jin'nan'min'jian'xiu 晋南民间绣
'jin'shang'tian'hua'zhen 锦上添花针
'jin'shang'zhi'hua'zhen 锦上织花针
'jin'wen'xiu 锦纹绣
'jin'xiu 锦绣
'jing'wei'xiu 精微绣
'jing'xiu 京绣
'jing'zi'pin 井字拼
'ke'lin'zhen 刻鳞针
'kong'xin'xiu 空心绣
'kou'bian 扣边
'kou'diao 扣雕
'kou'quan'zhen 扣圈针
'kou'quan'zi 扣圈子
'kou'zhen'xiu 扣针绣
'kun'zhen 捆针
'la'mao'xiu 拉毛绣
'la'si'xiu 拉丝绣
'la'suo'zi'zhen 拉锁子针
'la'wei'zi'zhen 拉尾子针
'le'zhen 勒针
'le'zhen'xiu 勒针绣
'lian'xiu 帘绣
'long'feng'hu'wen'xiu 龙凤虎纹绣
'lou'di 露底
'lu'ge'xiu 鲁格绣
'lu'xiang'yuan'gu'xiu 露香园顾绣
'lu'xiang'yuan'xiu 露香园绣
'lu'xiu 鲁绣
'luan'zhen'xiu 乱针绣
'lun'kuo'xiu 轮廓绣
'lun'xing'zhen 轮形针
'luo'beng 落绷
'luo'xian'jie'zhen 螺线结针
'luo'zhen 落针
'ma'xiu 麻绣
'ma'zong'xiu 马鬃绣
'man'di'xiu 满地绣
'mao'jin'xiu 毛巾绣
'mao'zhen 毛针
'men'zhen 扪针
'meng'fang 猛方
'mi'zhen'zi 秘针子
'mi'zi'zhen 米字针
'miao'xiu 苗绣
'min'xiu 闽绣
'na'jin 纳锦
'na'sha 纳纱
'na'si 纳丝
'na'xiu 纳绣
'nan'bei'chao'xian'he'ying'wu'xiu'qun 南北朝仙鹤鹦鹉绣裙
'nian'jin 拈金
'nie'xiu 捏绣
