'bao'an'dai'qian 保安代签
'ben'ren'qian'shou 本人签收
'ci'jian'chao'qu 此件超区
'ci'jian'cuo'fen 此件错分
'di'zhi'bu'xiang 地址不详
'fei'yong'yi'lu 费用已录
'gen'jin'chu'li 跟进处理
'jin'wan'zhuan'chu 今晚转出
'jin'zao'zhuan'chu 尽早转出
'ming'ri'ji'pai 明日继派
'pang'ren'dai'shou 旁人代收
'ting'fa'tui'hui'fa'jian'ren 停发退回发件人
'tong'zhi'zi'qu 通知自取
'wang'dian'di'zhi 网点地址
'wen'ti'jian 问题件
'wu'fa'lian'xi'dao'ke'hu 无法联系到客户
'yi'lan'jie 已拦截
'yi'song'da 已送达
'yu'qi'tui'hui 逾期退回
'zheng'zai'pai'song 正在派送
'zhuan'chu 转出
