'a'lai'shan'lie'lian'xi 阿赖山裂脸蜥
'bai'bu'she 百步蛇
'bai'chun'shu'xi 白唇树蜥
'bai'hua'jin'she 百花锦蛇
'bai'shao'sha'xi 白梢沙蜥
'bai'tiao'cao'xi 白条草蜥
'bai'tiao'sha'xi 白条沙蜥
'bai'wei'shuang'zu'xi 白尾双足蜥
'ban'fei'xi 斑飞蜥
'ban'ting'xi 斑蜓蜥
'bang'xi'shu'xi 蚌西树蜥
'bei'cao'xi 北草蜥
'bian'se'sha'xi 变色沙蜥
'bian'se'shu'xi 变色树蜥
'cao'lv'pan'xi 草绿攀蜥
'cao'yuan'sha'xi 草原沙蜥
'cao'yuan'xi 草原蜥
'chang'ji'xi 长棘蜥
'chang'lie'xi 长鬣蜥
'chang'luo'zhi'hu 长裸趾虎
'chang'wei'nan'xi 长尾南蜥
'chang'zhi'hua'xi 长肢滑蜥
'chang'zhi'pan'xi 长肢攀蜥
'chi'lian'she 赤链蛇
'chong'an'di'xi 崇安地蜥
'chong'an'shi'long'zi 崇安石龙子
'chong'wen'ma'xi 虫纹麻蜥
'cui'she'xi 脆蛇蜥
'da'du'shi'long'zi 大渡石龙子
'da'er'sha'xi 大耳沙蜥
'dong'ya'fu'lian'she 东亚腹链蛇
'duan'zhi'pan'xi 短肢攀蜥
'duan'zhi'shu'xi 短肢树蜥
'duo'leng'nan'xi 多棱南蜥
'duo'xian'nan'xi 多线南蜥
'duo'you'bi'hu 多疣壁虎
'e'mei'di'xi 峨眉地蜥
'er'you'bi'hu 耳疣壁虎
'fu'jian'hou'leng'she 福建后棱蛇
'gu'lin'ting'xi 股鳞蜓蜥
'guang'xi 光蜥
'guang'xi'leng'xi 广西棱蜥
'guang'xi'lin'she 广西林蛇
'hai'nan'bi'hu 海南壁虎
'hai'nan'cui'she'xi 海南脆蛇蜥
'hai'nan'leng'xi 海南棱蜥
'han'di'sha'xi 旱地沙蜥
'hei'ji'she 黑脊蛇
'hei'long'jiang'cao'xi 黑龙江草蜥
'heng'ban'jin'she 横斑锦蛇
'heng'chun'cao'xi 恒春草蜥
'hong'wei'sha'xi 红尾沙蜥
'hong'yuan'sha'xi 红原沙蜥
'hou'zhe'xi 喉褶蜥
'hu'ban'jing'cao'she 虎斑颈槽蛇
'huan'ren'hua'xi 桓仁滑蜥
'huang'ji'you'she 黄脊游蛇
'huang'mo'ma'xi 荒漠麻蜥
'huang'mo'sha'xi 荒漠沙蜥
'huang'wen'shi'long'zi 黄纹石龙子
'hui'luo'zhi'hu 灰裸趾虎
'jian'hu 睑虎
'jiao'hua'lin'she 绞花林蛇
'jie'xi'yi 捷蜥蜴
'jie'zhi'hu 截趾虎
'ju'wei'xi'hu 锯尾蜥虎
'ju'yan'sha'xi 居延沙蜥
'ka'shi'ma'xi 喀什麻蜥
'ka'xi'luo'zhi'hu 卡西裸趾虎
'kang'ding'hua'xi 康定滑蜥
'ku'che'sha'xi 库车沙蜥
'kuai'bu'ma'xi 快步麻蜥
'kuan'bi'sha'xi 宽鼻沙蜥
'kun'ming'hua'xi 昆明滑蜥
'kun'ming'pan'xi 昆明攀蜥
'kun'ming'xiao'tou'she 昆明小头蛇
'la'da'ke'hua'xi 拉达克滑蜥
'la'pi'xi 蜡皮蜥
'la'sa'yan'xi 拉萨岩蜥
'lan'wei'shi'long'zi 蓝尾石龙子
'lan'yu'bi'hu 兰屿壁虎
'li'ban'ma'xi 丽斑麻蜥
'li'ji'xi 丽棘蜥
'li'wen'pan'xi 丽纹攀蜥
'lin'zhi'hu 鳞趾虎
'liu'pan'shan'fu 六盘山蝮
'liu'qiu'pan'xi 琉球攀蜥
'liu'shi'shi'long'zi 刘氏石龙子
'luo'er'fei'xi 裸耳飞蜥
'luo'er'pan'xi 裸耳攀蜥
'lv'bei'shu'xi 绿背树蜥
'meng'jia'la'ju'xi 孟加拉巨蜥
'meng'jia'la'yan'jing'she 孟加拉眼镜蛇
'mi'cang'shan'pan'xi 米仓山攀蜥
'mi'dian'ma'xi 密点麻蜥
'mi'you'xi'hu 密疣蜥虎
'mian'bei'fu'lian'she 缅北腹链蛇
'mian'dian'leng'xi 缅甸棱蜥
'min'ma'xi 敏麻蜥
'mo'tuo'luo'zhi'hu 墨脱裸趾虎
'mo'tuo'shu'xi 墨脱树蜥
'mo'tuo'ting'xi 墨脱蜓蜥
'nan'cao'xi 南草蜥
'nan'hua'xi 南滑蜥
'nan'jiang'sha'xi 南疆沙蜥
'nan'ya'yan'xi 南亚岩蜥
'ning'bo'hua'xi 宁波滑蜥
'peng'lai'cao'xi 蓬莱草蜥
'ping'ke'hai'she 平颏海蛇
'ping'xiang'jian'hu 凭祥睑虎
'po'pu'fu'lian'she 坡普腹链蛇
'pu'zhi'bi'hu 蹼趾壁虎
'qi'pan'she 棋盘蛇
'qi'tai'sha'xi 奇台沙蜥
'qian'shan'bi'hu 铅山壁虎
'qin'ling'hua'xi 秦岭滑蜥
'qing'hai'sha'xi 青海沙蜥
'sha'ba'ban'ye'zhi'hu 沙坝半叶趾虎
'sha'che'luo'zhi'hu 莎车裸趾虎
'shan'ban'xiao'tou'she 山斑小头蛇
'shan'di'ma'xi 山地麻蜥
'shan'hua'xi 山滑蜥
'shuang'quan'bai'huan'she 双全白环蛇
'si'chuan'pan'xi 四川攀蜥
'si'xian'shi'long'zi 四线石龙子
'ta'li'mu'yan'xi 塔里木岩蜥
'tai'bai'bi'hu 太白壁虎
'tai'sheng'xi'yi 胎生蜥蜴
'tai'wan'cao'xi 台湾草蜥
'tai'wan'cui'xi'she 台湾脆蜥蛇
'tai'wan'di'xi 台湾地蜥
'tai'wan'hua'xi 台湾滑蜥
'tai'wan'pan'xi 台湾攀蜥
'tai'wan'ting'xi 台湾蜓蜥
'tai'wan'xi'hu 台湾蜥虎
'tong'ting'xi 铜蜓蜥
'tu'lu'fan'sha'hu 吐鲁番沙虎
'tuan'hua'jin'she 团花锦蛇
'tuo'ke'xun'sha'hu 托克逊沙虎
'wa'shan'hua'xi 瓦山滑蜥
'wang'wen'ma'xi 网纹麻蜥
'wu'ban'sha'xi 无斑沙蜥
'wu'bu'she 五步蛇
'wu'la'er'sha'xi 乌拉尔沙蜥
'wu'nie'lin'fu'lian'she 无颞鳞腹链蛇
'wu'pu'bi'hu 无蹼壁虎
'wu'shao'she 乌梢蛇
'wu'shi'yan'xi 吴氏岩蜥
'wu'su'li'fu 乌苏里蝮
'xi'bai'huan'she 细白环蛇
'xi'cui'she'xi 细脆蛇蜥
'xi'jin'hua'xi 锡金滑蜥
'xi'lin'shu'xi 细鳞树蜥
'xi'shan'dun'tou'she 喜山钝头蛇
'xi'shan'guo'shu'she 喜山过树蛇
'xi'shan'hua'xi 喜山滑蜥
'xi'shan'jing'cao'she 喜山颈槽蛇
'xi'shan'pan'xi 喜山攀蜥
'xi'shan'xiao'tou'she 喜山小头蛇
'xi'shan'yan'xi 喜山岩蜥
'xi'tou'pan'xi 溪头攀蜥
'xi'yu'hua'xi 西域滑蜥
'xi'zang'luo'zhi'hu 西藏裸趾虎
'xi'zang'sha'xi 西藏沙蜥
'xi'zang'shu'xi 西藏树蜥
'xi'zang'yan'xi 西藏岩蜥
'xi'zang'zhu'ye'qing'she 西藏竹叶青蛇
'xiang'cheng'yuan'mao'tou'fu 乡城原矛头蝮
'xiang'gang'hou'leng'she 香港后棱蛇
'xiang'gang'shuang'zu'xi 香港双足蜥
'xiao'tou'hai'she 小头海蛇
'xiao'tou'ni'she 小头坭蛇
'xie'hu 蝎虎
'xie'lin'she 斜鳞蛇
'xin'jiang'mo'hu 新疆漠虎
'xin'jiang'sha'hu 新疆沙虎
'xin'jiang'yan'xi 新疆岩蜥
'xiu'lian'fu'lian'she 绣链腹链蛇
'xue'shan'cao'xi 雪山草蜥
'ya'mei'lin'zhi'hu 雅美鳞趾虎
'yan'an'dao'xi 岩岸岛蜥
'yan'jing'wang'she 眼镜王蛇
'yan'qi'fu 岩栖蝮
'ye'cheng'sha'xi 叶城沙蜥
'yi'bin'pan'xi 宜宾攀蜥
'yi'lan'pan'xi 宜兰攀蜥
'yi'li'sha'hu 伊犁沙虎
'yi'lin'xi 异鳞蜥
'yin'er'mo'hu 隐耳漠虎
'yin'huan'she 银环蛇
'you'wei'xi'hu 疣尾蜥虎
'yu'ban'jin'she 玉斑锦蛇
'yu'you'she 渔游蛇
'yuan'ban'kui 圆斑蝰
'yuan'ban'xiao'tou'she 圆斑小头蛇
'yuan'rou'tou'fu 原柔头蝮
'yuan'wei'xi'hu 原尾蜥虎
'yun'nan'ban'ye'zhi'hu 云南半叶趾虎
'yun'nan'jing'ban'she 云南颈斑蛇
'yun'nan'liang'tou'she 云南两头蛇
'yun'nan'pan'xi 云南攀蜥
'yun'nan'zhu'ye'qing'she 云南竹叶青蛇
'ze'dang'sha'xi 泽当沙蜥
'zhong'guo'bi'hu 中国壁虎
'zhong'guo'leng'xi 中国棱蜥
'zhong'guo'shi'long'zi 中国石龙子
