'bai'hu 白虎
'ban'qi'shou 坂崎守
'bu'li'de'ka'te'sai'la'hui'mei 布里德卡特塞拉惠美
'bu'lun'xi'er'de 布伦希尔德
'chang'gu'chuan'qian'li 长谷川千里
'chao'jing'cai'jia 朝井彩加
'cheng'lai'ling 成濑澪
'cheng'lai'wan'li'ya 成濑万理亚
'dong'cheng'ren'geng 东城刃更
'dong'cheng'xun 东城迅
'fa'fu'ni'er 法夫尼尔
'fu'jian'mei'ling 富樫美铃
'fu'yuan'xiang'zhi 福原香织
'hei'dan 黑弹
'ji'tian'sheng'zi 吉田圣子
'jie'si'te 洁丝特
'jing'shang'gang 井上刚
'kong'jian'cuo'wei'jie'jie 空间错位结界
'la'fa'ai'lin 拉法艾琳
'la'mu'sa'si 拉姆萨斯
'ling'dao 灵刀
'long'chuan'ba'xun 泷川八寻
'lu'qi'ya 露琪亚
'meng'mo 梦魔
'mo'jian 魔剑
'ping'chuan'da'fu 平川大辅
'qian'chuan'you 浅川悠
'ren'geng 刃更
'se'fei'ya 瑟菲雅
'shan'cun 山村
'shan'tian'zhi'he 杉田智和
'shi'yue 誓约
'shi'zhu'shen 十主神
'si'bo'gong'yi 斯波恭一
'si'zu'hun'xue 四族混血
'teng'yuan'qi'zhi 藤原启治
'wan'li'ya 万理亚
'wei'er'bei'te 威尔贝特
'wen'jian'pai 稳健派
'wu'ci'yuan'de'zhi'xing 无次元的执行
'xiao'ye 咲耶
'xie'jing'ling 邪精灵
'xie'long'fa'fu'ni'er 邪龙法夫尼尔
'xin'ke'mo'wang 新科魔王
'xin'mei'mo'wang'de'qi'yue'zhe 新妹魔王的契约者
'xu'shu 虚数
'xu'shu'kong'jian 虚数空间
'ya'xue 雅雪
'ye'shui'yi'zhi 野水伊织
'ye'zhong'hu'tao 野中胡桃
'ye'zhong'you'xi 野中柚希
'ying'kui'lei 影傀儡
'yong'zhe'zhi'cun 勇者之村
'you'xi 柚希
'zao'lai'gao'zhi 早濑高志
'zhong'cun'you'yi 中村悠一
'zhong'li'xi'mo'fa 重力系魔法
'zuo'ji'er 佐基尔
