'a'bu'dun 阿部敦
'ai'yi'lang 爱一郎
'cheng'gan'tiao'gao 撑竿跳高
'dai'yong'yi 代永翼
'dao'qi'xin'chang 岛崎信长
'die'yong 蝶泳
'du'bian'ming'nai 渡边明乃
'gong'tian'xing'ji 宫田幸季
'gong'ye'zhen'shou 宫野真守
'jia'zhong'hong 家中宏
'jiao'bing'xue'yuan 鲛柄学园
'jie'yong 捷泳
'jin'tian'jian'ci'lang 津田健次郎
'ju'zhen'qin 橘真琴
'ling'mu'da'yang 铃木达央
'long'qi'lian 龙崎怜
'ping'chuan'da'fu 平川大辅
'qi'lai'yao 七濑遥
'qing'shi'lang 清十郎
'ri'li'yang'zi 日笠阳子
'si'niao 似鸟
'si'niao'ai'yi'lang 似鸟爱一郎
'song'gang'jiang 松冈江
'song'gang'lin 松冈凛
'song'gang'lin 松岗凛
'song'yuan'hui 松元惠
'ti'bu 笹部
'ti'bu'wu'lang 笹部吾朗
'tian'fang'mei'fan 天方美帆
'tian'jing'bu 田径部
'wu'lang 吾朗
'xue'ye'wu'yue 雪野五月
'yan'yuan'gao'zhong 岩鸢高中
'ye'yue'zhu 叶月渚
'you'yong'bu'fu'bu'zhang 游泳部副部长
'you'yong'chi 游泳池
'yu'zi'chai 御子柴
'yu'zi'chai'qing'shi'lang 御子柴清十郎
'yu'zi'chai'wu'shi'ling 御子柴五十铃
'yun'dong'fan 运动番
'zhen'qin 真琴
'zi'you'yong 自由泳
'zuo'teng'cong'mei 佐藤聪美
'zuo'teng'li'nai 佐藤利奈
