'bao'guan'li 包管理
'bao'hu 保护
'bi'bao 闭包
'bian'cheng 编程
'bian'cheng'luo'ji 编程逻辑
'bian'ma 编码
'bian'ma'gui'fan 编码规范
'bian'ma'luo'ji 编码逻辑
'bian'yi 编译
'biao'qian 标签
'bu'ke'bian'shu'ju 不可变数据
'cang'ku 仓库
'cha'jian 插件
'cheng'nuo 承诺
'chong'gou 重构
'chong'hui 重绘
'chong'xie 重写
'chou'xiang 抽象
'chun'han'shu 纯函数
'da'bao 打包
'da'bao'gong'ju 打包工具
'dai'li 代理
'dai'ma'hun'xiao 代码混淆
'dan'li 单例
'dan'wen'jian'zu'jian 单文件组件
'di'yi'gong'min 第一公民
'dui'xiang 对象
'duo'tai 多态
'er'ba'yuan'ze 二八原则
'fa'bu'ding'yue 发布订阅
'fan'shi 范式
'fen'zhi 分支
'fu'dong 浮动
'fu'wu'duan'xuan'ran 服务端渲染
'fu'yuan'su 父元素
'fu'zuo'yong 副作用
'gong'ju'liu 工具流
'gong'you 共有
'han'shu 函数
'han'shu'fang'dou 函数防抖
'han'shu'jie'liu 函数节流
'han'shu'shi'bian'cheng 函数式编程
'he'bing 合并
'he'zi'mo'xing 盒子模型
'hou'dai'yuan'su 后代元素
'huan'cun 缓存
'hui'liu 回流
'hui'tiao 回调
'hui'tiao'di'yu 回调地狱
'hui'tiao'han'shu 回调函数
'ji'cheng 继承
'jiao'hu'she'ji 交互设计
'jie'dian 节点
'jie'kou 接口
'jing'ling'tu 精灵图
'jing'tai 静态
'jue'dui'ding'wei 绝对定位
'kai'yuan 开源
'ke'hu'duan 客户端
'ke'li'hua 柯里化
'kuai'ji'ge'shi'hua'shang'xia'wen 块级格式化上下文
'kuai'ji'yuan'su 块级元素
'la'qu 拉取
'lei'dui'xiang 类对象
'lei'xing 类型
'lei'xing'jian'cha 类型检查
'lei'xing'zhuan'huan 类型转换
'mian'xiang'dui'xiang 面向对象
'mian'xiang'guo'cheng 面向过程
'mian'xiang'jie'kou 面向接口
'mian'xiang'qie'mian 面向切面
'mo'kuai 模块
'mo'kuai'hua 模块化
'mo'shi 模式
'mu'ban 模板
'mu'ban'dai'ma 模板代码
'nei'cun'xie'lou 内存泄漏
'nei'lian'ji'yuan'su 内联级元素
'pai'xu 排序
'qian'duan 前端
'qian'duan'gong'cheng'shi 前端工程师
'qian'duan'kai'fa 前端开发
'qian'duan'kai'fa'gong'cheng'shi 前端开发工程师
'qian'hou'duan'fen'li 前后端分离
'qiang'lei'xing 强类型
'qing'chu'fu'dong 清除浮动
'qu'chong 去重
'rong'yu 冗余
'ruo'lei'xing 弱类型
'san'da'kuang'jia 三大框架
'she'ji'mo'shi 设计模式
'she'qu 社区
'she'qu'qu'dong 社区驱动
'shen'ke'long 深克隆
'sheng'ming'zhou'qi 生命周期
'shi'xian 实现
'shu'ju'chu'li 数据处理
'shu'ju'guan'li 数据管理
'shu'ju'liu 数据流
'shuang'xiang'bang'ding 双向绑定
'si'you 私有
'ti'jiao 提交
'tong'bu 同步
'tong'ji'yuan'su 同级元素
'wen'dang'liu 文档流
'xian'shi'zhuang'huan 显式装换
'xiang'dui'ding'wei 相对定位
'xiang'ying'shi 响应式
'xing'neng'you'hua 性能优化
'xiong'di'yuan'su 兄弟元素
'xu'ni'wen'dang'dui'xiang'mo'xing 虚拟文档对象模型
'xuan'ran 渲染
'ya'suo 压缩
'yao'shu'you'hua 摇树优化
'yi'bu 异步
'yi'bu'qing'qiu 异步请求
'yi'bu'zu'jian 异步组件
'yi'lai'dao'zhi 依赖倒置
'yi'lai'shou'ji 依赖收集
'yi'lai'zhu'ru 依赖注入
'yin'shi'zhuang'huan 隐式装换
'yong'hu'duan 用户端
'yong'hu'ti'yan 用户体验
'yu'bian'yi'yu'yan 预编译语言
'yuan'su 元素
'yuan'xing 原型
'yuan'xing'lian 原型链
'yun'xing'shi'cuo'wu 运行时错误
'zang'jian'cha 脏检查
'zheng'ze'biao'da'shi 正则表达式
'zhi'du 只读
'zhi'zhen 指针
'zhong'jian'jian 中间件
'zhu'jie 注解
'zi'yuan'su 子元素
'zu'jian 组件
'zu'se 阻塞
'zu'xian'yuan'su 祖先元素
'zuo'yong'yu 作用域
