'bai'fu'zhang 百夫长
'ban'fan'du'zhi'hui'shi 伴饭都指挥使
'ban'fan'zhi'hui'shi 伴饭指挥使
'ban'zhi 班直
'bei'jun 备军
'bing'jing'wu 冰井物
'bu'dui'jiang 部队将
'bu'jiang 部将
'bu'jun'dou'jun'tou 步军都军头
'bu'jun'dou'yu'hou 步军都虞侯
'bu'jun'du'zhi'hui'shi 步军都指挥使
'bu'jun'fu'du'zhi'hui'shi 步军副都指挥使
'bu'jun'si 步军司
'bu'jun'si'hu'yi'jun 步军司虎翼军
'bu'shu 簿书
'bu'shu'guan 簿书官
'bu'shuai 步帅
'bu'si 步司
'bu'zhi 步直
'cha'jiu'jiu'ban 茶酒旧班
'cha'jiu'xin'ban 茶酒新班
'cha'zi 察子
'chang'ru'zhi'hou 长入祗侯
'cheng'ju 承局
'da'jiang'jun 大将军
'dai'yu'qi'xie 带御器械
'deng'zi 等子
'dian'jian 点检
'dian'jian'bu'shu 点检簿书
'dian'jian'ge'men'bu'shu 点检閤门簿书
'dian'jian'ge'men'bu'shu'gong'shi 点检閤门簿书公事
'dian'qian 殿前
'dian'qian'dou'yu'hou 殿前都虞侯
'dian'qian'du'zhi'hui'shi 殿前都指挥使
'dian'qian'fu'dou'dian'jian 殿前副都点检
'dian'qian'fu'du'zhi'hui'shi 殿前副都指挥使
'dian'qian'si 殿前司
'dian'qian'si'bing'an 殿前司兵案
'dian'qian'si'bu'jun'zhu'zhi'hui 殿前司步军诸指挥
'dian'qian'si'cang'an 殿前司仓案
'dian'qian'si'chai'shi'mo'kan'an 殿前司差使磨勘案
'dian'qian'si'dou'dian'jian 殿前司都点检
'dian'qian'si'dou'yu'hou 殿前司都虞侯
'dian'qian'si'dou'yu'hou'si 殿前司都虞侯司
'dian'qian'si'du'zhi'hui'shi 殿前司都指挥使
'dian'qian'si'du'zhi'hui'shi'si 殿前司都指挥使司
'dian'qian'si'fa'si 殿前司法司
'dian'qian'si'fu'dou'dian'jian 殿前司副都点检
'dian'qian'si'fu'du'zhi'hui'shi 殿前司副都指挥使
'dian'qian'si'gong'sheng'jun 殿前司拱圣军
'dian'qian'si'guang'yong'jun 殿前司广勇军
'dian'qian'si'hu'yi'jun 殿前司虎翼军
'dian'qian'si'kai'chai'si 殿前司开拆司
'dian'qian'si'peng'ri'tian'wu'si'xiang'du'zhi'hui'shi 殿前司捧日天武四厢都指挥使
'dian'qian'si'qi'jun'zhu'zhi'hui 殿前司骑军诸指挥
'dian'qian'si'qi'zhou'an 殿前司骑胄案
'dian'qian'si'shen'yong'jun 殿前司神勇军
'dian'qian'si'sheng'jie'jun 殿前司胜捷军
'dian'qian'si'tui'an 殿前司推案
'dian'qian'si'xiao'qi'jun 殿前司骁骑军
'dian'qian'si'you'yi'jun 殿前司右翼军
'dian'qian'si'zuo'yi'jun 殿前司左翼军
'dian'qian'you'ban 殿前右班
'dian'qian'yu'long'zhu'zhi 殿前御龙诸直
'dian'qian'zhi'hui'shi'dou'yu'hou 殿前指挥使都虞侯
'dian'qian'zhi'hui'shi'you'ban 殿前指挥使右班
'dian'qian'zhi'hui'shi'zuo'ban 殿前指挥使左班
'dian'qian'zhu'ban 殿前诸班
'dian'qian'zuo'ban 殿前左班
'dian'shi 殿侍
'dian'shi'ban 殿侍班
'dian'shuai 殿帅
'dian'shuai'fu 殿帅府
'dian'si 殿司
'dian'yan 殿岩
'dian'zhi 殿直
'dong'ban'cheng'zhi 东班承旨
'dong'di'san'ban 东第三班
'dong'jing'si'bei'jun 东京司备军
'dong'shang 东上
'dong'shang'ge'men 东上閤门
'dong'shang'ge'men'fu'shi 东上閤门副使
'dong'shang'ge'men'shi 东上閤门使
'dong'shang'ge'men'si 东上閤门司
'dong'xi'ban 东西班
'dong'xi'ban'dian'shi'yuan 东西班殿侍院
'dou'dian'jian 都点检
'dou'fu 都副
'dou'jun'tou 都军头
'dou'shuai 都帅
'dou'tong'zhi 都统制
'dou'tou 都头
'du'zhi'hui'shi 都指挥使
'dui'jiang 队将
'er'mu'zhi'si 耳目之司
'er'shi'si'ban 二十四班
'feng'chen'dui 奉宸队
'feng'guo'jun 奉国军
'fu'bing'ma'shi 副兵马使
'fu'dou'dian'jian 副都点检
'fu'dou'tou 副都头
'fu'jiang 副将
'fu'jie 副介
'gan'ban 干办
'gan'ban'huang'cheng'si 干办皇城司
'gan'ban'huang'cheng'si'gong'shi 干办皇城司公事
'gan'ban'jun'tou'yin'jian'si 干办军头引见司
'gan'ban'si 干办司
'gan'ban'yu'qian'zhong'zuo'jun'tou'yin'jian'si 干办御前忠佐军头引见司
'gan'dang'guan 干当官
'gan'guan'guan 干管官
'ge'men 閤门
'ge'men'fu'shi 閤门副使
'ge'men'guan 閤门官
'ge'men'jue'cha'she'ren 閤门觉察舍人
'ge'men'kan'ban'zhi'hou 閤门看班祗侯
'ge'men'she'ren 閤门舍人
'ge'men'shi 閤门使
'ge'men'shi'fu 閤门使副
'ge'men'si 閤门司
'ge'men'tong'shi'she'ren 閤门通事舍人
'ge'men'xuan'she 閤门宣舍
'ge'men'xuan'shi'she'ren 閤门宣事舍人
'ge'men'xuan'zan 閤门宣赞
'ge'men'xuan'zan'she'ren 閤门宣赞舍人
'ge'men'zhi'hou 閤门祗侯
'ge'shi 閤使
'ge'zhi 閤职
'gong'jian'zhi 弓箭直
'gou'dang'guan 勾当官
'gou'dang'huang'cheng'si'gong'shi 勾当皇城司公事
'gou'dang'jun'tou'si 勾当军头司
'gou'dang'yin'jian'si 勾当引见司
'gou'dang'yu'qian'zhong'zuo'jun'tou'si 勾当御前忠佐军头司
'gou'dang'yu'qian'zhong'zuo'jun'tou'yin'jian'si 勾当御前忠佐军头引见司
'gou'dang'yu'qian'zhong'zuo'yin'jian'si 勾当御前忠佐引见司
'gu'duo'zhi 骨朵直
'guan'jun 管军
'guan'lao 馆老
'guan'zhu 馆主
'guang'wu 广武
'guang'yong 广勇
'heng'xing'wu'si 横行五司
'hou'si 后司
'hu'jie 虎捷
'hu'sheng 护圣
'hu'yi 虎翼
'hu'yi'jun 虎翼军
'huan'lie 环列
'huan'wei 环卫
'huan'wei'guan 环卫官
'huan'wei'lang'jiang 环卫郎将
'huan'wei'zhong'lang'jiang 环卫中郎将
'huan'yin 环尹
'huang'cheng 皇城
'huang'cheng'si 皇城司
'huang'cheng'si'gan'ban 皇城司干办
'huang'cheng'si'tan'shi'si 皇城司探事司
'huang'si 皇司
'jian'fan'zhi'hui'shi 健饭指挥使
'jian'men 监门
'jiang'ji 将级
'jiang'jun 将军
'jiang'xiao 将校
'jiang'yu'hou 将虞侯
'jiang'zuo 将佐
'jie'ji 节级
'jin'ban 禁班
'jin'qiang'you'ban 金枪右班
'jin'qiang'zuo'ban 金枪左班
'jin'wei'suo 禁卫所
'jin'wu'jiang'jun 金吾将军
'jin'wu'shang'jiang'jun 金吾上将军
'jin'wu'wei'da'jiang'jun 金吾卫大将军
'jun'dou'xiao 军都校
'jun'dou'yu'hou 军都虞侯
'jun'du'zhi'hui'shi 军都指挥使
'jun'hou 军侯
'jun'rong 钧容
'jun'rong'zhi'di'er'ban 钧容直第二班
'jun'rong'zhi'di'yi'ban 钧容直第一班
'jun'shi 军使
'jun'si 军司
'jun'tou 军头
'jun'tou'si 军头司
'jun'tou'si'ma'bu'liang'zhi 军头司马步两直
'jun'tou'si'san'yuan'fu'bing'ma'shi 军头司散员副兵马使
'jun'tou'si'san'zhi'hui'shi 军头司散指挥使
'jun'tou'yin'jian'si 军头引见司
'jun'zhu 军主
'kan'ban 看班
'kan'ban'zhi'hou 看班祗侯
'ke'sheng 客省
'ke'sheng'cheng'shou 客省承受
'ke'sheng'cheng'zhi 客省承旨
'ke'sheng'fu'shi 客省副使
'ke'sheng'shi 客省使
'kong'he 控鹤
'kuai'xing 快行
'kuan'yi 宽衣
'kuan'yi'tian'wu'zhi'hui 宽衣天武指挥
'lang'jiang 郎将
'liang'si'san'ya 两司三衙
'ling'ge'men'shi 领閤门事
'ling'wei 领卫
'liu'jun 六军
'liu'jun'yi'zhang'si 六军仪仗司
'liu'tong'jun 六统军
'long'jie 龙捷
'long'shen'wei'si'xiang'du'zhi'hui'shi 龙神卫四厢都指挥使
'long'wei 龙卫
'long'wei'shang'si'jun 龙卫上四军
'long'wei'shen'wei'si'xiang'du'zhi'hui'shi 龙卫神卫四厢都指挥使
'long'wei'you'xiang 龙卫右厢
'long'wei'zuo'xiang 龙卫左厢
'long'wu'er'jiang'jun 龙武二将军
'long'wu'tong'jun 龙武统军
'long'zhi 龙直
'luo'si 逻司
'luo'zu 逻卒
'ma'bu'dou'jun'tou 马步都军头
'ma'bu'fu'dou'jun'tou 马步副都军头
'ma'bu'jun'dou'jun'tou 马步军都军头
'ma'bu'jun'fu'dou'jun'tou 马步军副都军头
'ma'bu'jun'long'wei'shen'wei'si'xiang'du'zhi'hui'shi 马步军龙卫神卫四厢都指挥使
'ma'bu'jun'zhi'hui'shi 马步军指挥使
'ma'jun 马军
'ma'jun'dou'jun'tou 马军都军头
'ma'jun'dou'yu'hou 马军都虞侯
'ma'jun'du'zhi'hui'shi 马军都指挥使
'ma'jun'fu'dou'jun'tou 马军副都军头
'ma'jun'fu'du'zhi'hui'shi 马军副都指挥使
