'a'ji'mi'de'qiao'ji 阿基米德巧计
'a'la'gou 阿拉沟
'a'la'man 阿拉曼
'a'ma'li'te 阿玛利特
'a'si'luo'ke 阿斯洛克
'ai'gang'jing'ye 爱岗敬业
'ai'guo'zhu'yi 爱国主义
'ai'lu 隘路
'ai'mo'sen 爱默森
'ai'sai'ke'si'ji 埃塞克斯级
'ai'sen'hao'wei'er 艾森豪威尔
'ai'sen'hao'wei'er'hao 艾森豪威尔号
'ai'sheng'hao'wei'er 爱生豪威尔
'an'bi'shi'ma'tou 岸壁式码头
'an'bian 岸边
'an'bian'jie'tao'zhou 岸边节套舟
'an'bian'ma'tou 岸边码头
'an'bian'qi'cai 岸边器材
'an'bian'zhou 岸边舟
'an'bu 鞍部
'an'che'su'chu'li 按撤诉处理
'an'da'lue 安大略
'an'ding'qi 安定器
'an'fa'dan'wei 案发单位
'an'fang 岸防
'an'fang'bing 岸防兵
'an'fang'bing'bu'dui 岸防兵部队
'an'fang'wei'jiao'xing'jin 按方位角行进
'an'ge'la'zhi'zhan 安哥拉之战
'an'han 安汉
'an'hui'wu'bei'xue'tang 安徽武备学堂
'an'huo'li'dian 暗火力点
'an'ji'hua 按计划
'an'ji'hua'chu'dong 按计划出动
'an'ji'ren'jiao 按级任教
'an'ji'zhi'hui 按级指挥
'an'jian'dao'dan 岸舰导弹
'an'neng'dong'zhi 安能动之
'an'pao 岸炮
'an'qing'bao'wei'zhan 安庆保卫战
'an'quan'dao'huo'suo 安全导火索
'an'quan'dian'liu 安全电流
'an'quan'ji'liang 安全剂量
'an'quan'jie 安全界
'an'quan'ju'li 安全距离
'an'quan'mi'du 安全密度
'an'quan'she'su 安全射速
'an'quan'shen'du 安全深度
'an'quan'shi'yan 安全试验
'an'quan'xi'tong 安全系统
'an'quan'zi'hui'xi'tong 安全自毁系统
'an'ren'zhi'bing 按人之兵
'an'shang'mu'biao 岸上目标
'an'shang'zhi'hui'suo 岸上指挥所
'an'shang'zhong'yao'mu'biao 岸上重要目标
