'an'neng 暗能
'ao'er'te'xing'yun 奥尔特星云
'bai'dong 白洞
'bai'yang'zuo 白羊座
'ban'ren'ma'zuo 半人马座
'bao'ping'zuo 宝瓶座
'bei'chen 北辰
'bei'dou'qi'xing 北斗七星
'bei'ji'xing 北极星
'bei'mian'zuo 北冕座
'ben'xing'xi'qun 本星系群
'bo'jiang'zuo 波江座
'bu'gui'ze'xing'xi 不规则星系
'cang'ying'zuo 苍蝇座
'chai'lang'zuo 豺狼座
'chang'she'zuo 长蛇座
'chao'xin'xing 超新星
'chong'dong 虫洞
'chuan'di'zuo 船底座
'chuan'di'zuo'xing'yun 船底座星云
'chuan'fan'zuo 船帆座
'chuan'wei'zuo 船尾座
'da'quan'zuo 大犬座
'da'xiong'zuo 大熊座
'di'qiu 地球
'di'wu'yu'zhou'su'du 第五宇宙速度
'di'yi'yu'zhou'su'du 第一宇宙速度
'diao'ju'zuo 雕具座
'du'juan'zuo 杜鹃座
'dun'pai'zuo 盾牌座
'fei'ma'zuo 飞马座
'fei'yu'zuo 飞鱼座
'feng'huang'zuo 凤凰座
'ga'ma'bao 伽玛暴
'guang'nian 光年
'gui'xing'tuan 鬼星团
'hai'tun'zuo 海豚座
'hai'wang'xing 海王星
'hang'tian'fei'ji 航天飞机
'he'bao'dan'xing'xi 荷包蛋星系
'hei'dong 黑洞
'heng'xing 恒星
'heng'xing'feng 恒星风
'heng'xing'nian 恒星年
'hong'ju'xing 红巨星
'hou'fa'zuo 后发座
'hu'li'zuo 狐狸座
'huang'dao'guang 黄道光
'hui'jia'zuo 绘架座
'hui'wei 彗尾
'hui'xing 彗星
'huo'dong'xing'xi 活动星系
'huo'xing 火星
'ji'rao'xing'xi 激扰星系
'ji'tong'zuo 唧筒座
'jian'yu'zuo 箭鱼座
'jin'niu'zuo 金牛座
'jin'xing 金星
'jing'shen'chang 精神场
'jing'yu'zuo 鲸鱼座
'ju'chi'zuo 矩尺座
'ju'jue'zuo 巨爵座
'ju'she'zuo 巨蛇座
'ju'xie'zuo 巨蟹座
'jue'dui'xing'deng 绝对星等
'ke'yi'bo'dai 柯伊伯带
'kong'que'zuo 孔雀座
'la'ba'yu'zhou 喇叭宇宙
'lei'xing'ti 类星体
'lie'hu'zuo 猎户座
'lie'quan'zuo 猎犬座
'liu'fen'yi'zuo 六分仪座
'liu'xing 流星
'liu'xing'yu 流星雨
'lu'bao'zuo 鹿豹座
'luo'pan'zuo 罗盘座
'ma'ka'liang'lian 马卡良链
'ma'ka'liang'xing'xi 马卡良星系
'ma'tou'xing'yun 马头星云
'mao'yan'xing'yun 猫眼星云
'ming'wang'xing 冥王星
'mo'jie'zuo 摩羯座
'mu'fu'zuo 牧夫座
'mu'xing 木星
'mu'xing'da'hong'ban 木星大红斑
'nan'ji'zuo 南极座
'nan'mian'zuo 南冕座
'nan'san'jiao'zuo 南三角座
'nan'shi'zi'zuo 南十字座
