'ao'yun'hui'de 奥运会的
'ao'yun'hui'xiang'mu 奥运会项目
'ba'fen'wei 八分位
'ban'bu'zhang'ci 半步长刺
'bei'ji'zhong'yi'jian 被击中一剑
'bei'lie'wei 被列为
'bei'xian'ji'zhong 被先击中
'ben'gui'ze 本规则
'bi'sai'xiang'mu 比赛项目
'bian'huan'jiao'jian 变换交剑
'bo'dang 拨挡
'bu'chao'guo 不超过
'bu'peng'chu 不碰触
'bu'suan 不算
'cai'pan'yong'yu 裁判用语
'ce'shi'qi'cai 测试器材
'chan'jian 缠剑
'chang'du'bu'chao'guo 长度不超过
'chi'jian'shou'bi 持剑手臂
'chong'ci 冲刺
'chong'ci'dong'zuo 冲刺动作
'chong'xin'jin'gong 重新进攻
'chu'jian'ju'ji 触剑狙击
'chu'jie'wai 出界外
'chuan'tong'xiang'mu 传统项目
'ci'hua'le 刺滑了
'dan'bai'tao'tai'sai 单败淘汰赛
'dan'chun'de 单纯的
'dan'ge'dong'zuo 单个动作
'de'dong'zuo 的动作
'de'gong'ji 的攻击
'de'huan'ji 的还击
'de'yi'fang 的一方
'de'zhuang'kuang 的状况
'di'yi'ge'jin'gong'dong'zuo 第一个进攻动作
'dian'dong'cai'pan'qi 电动裁判器
'dian'dong'hua'jian'cai'pan'qi 电动花剑裁判器
'dong'zuo'jin'xing'shi 动作进行时
'dou'shi'cong 都是从
'dui'fang'de 对方的
'dui'fang'you'xiao'mian 对方有效面
'dui'ji'xiang'yu'sai 队际相遇赛
'dui'kang'fan'gong 对抗反攻
'dui'shou'de 对手的
'dui'shou'jian 对手剑
'dui'shou'jian'de'shang'fang 对手剑的上方
'dui'shou'jian'de'xia'fang 对手剑的下方
'dui'shou'jian'jian 对手剑尖
'duo'ge'dong'zuo 多个动作
'duo'jiao'liang'ci 跺脚两次
'er'ci'de'zhuan'wei'gong'ji 二次的转位攻击
'er'fen'wei 二分位
'er'ji'zhong'dui'shou 而击中对手
'fan'bo'dang 反拨挡
'fan'fan'gong 反反攻
'fan'gong'dong'zuo 反攻动作
'fan'huan'ce'gong'ji 反换侧攻击
'fan'huan'ji 反还击
'fang'qi'huan'ji 放弃还击
'fang'shou'bu'liang 防守不良
'fang'shou'hou 防守后
'fang'shou'ji'shu 防守技术
'fang'shou'xian 防守线
'fang'shou'yi'hou 防守以后
'fang'song'yi'xia 放松一下
'fang'yu'dong'zuo 防御动作
'fang'yu'xing'de 防御性的
'fang'yu'xing'dong'zuo 防御性动作
'fei'ci 飞刺
'fen'zhong'nei 分钟内
'fen'zu'xun'huan'sai 分组循环赛
'fu'he'de 复合的
'fu'shen 副审
'fu'za'gong'ji'dong'zuo 复杂攻击动作
'fu'za'huan'ji 复杂还击
'fu'za'jin'gong 复杂进攻
'gang'zhi 钢制
'ge'ren'sai 个人赛
'ge'ren'sai'cheng'ji 个人赛成绩
'ge'zhong'bu'tong'de 各种不同的
'ge'zhong'zhan'shu 各种战术
'gong'bu 弓步
'gong'bu'zhang'ci 弓步长刺
'gong'de'tai'qian 攻得太浅
'gong'ji'dong'zuo 攻击动作
'gong'ji'xing'dong'zuo 攻击性动作
'gong'ji'xing'wei 攻击行为
'gui'ze'xu'ke 规则许可
'guo'ji'ji'jian'lian'he'hui 国际击剑联合会
'guo'ji'jian'lian'dai'biao'da'hui 国际剑联代表大会
'hai'mei 还没
'han'ting'hou'cai'ci'zhong 喊停后才刺中
'hao'le 好了
'hei'pai 黑牌
'heng'jie'mian 横截面
'hou'tiao 后跳
'hou'tui'duo'shan 后退躲闪
'hou'tui'jing'li 后退敬礼
'hou'tui'yi'gong'chi 后退一公尺
'hu'ju 护具
'hu'shou'pan 护手盘
'hu'xiang'ci'ji 互相刺击
'hu'zhuang 互撞
'hua'bu 滑步
'hua'jian 花剑
'hua'le'yi'ge 画了一个
'hua'yuan'fang'shou 划圆防守
'hua'yuan'huan'ji 画圆还击
'huan'ce'gong'ji 换侧攻击
'huan'ji'chi'huan 还击迟缓
'huan'ji'dong'zuo 还击动作
'huan'ji'yu'fan'huan'ji 还击与反还击
'ji'ben'jiao'bu 基本脚步
'ji'jian'bi'sai 击剑比赛
'ji'jian'chang 击剑场
'ji'jian'fu'zhuang 击剑服装
'ji'jian'gui'ze 击剑规则
'ji'jian'ji'shu 击剑技术
'ji'jian'ji'shu'dong'zuo 击剑技术动作
'ji'jian'jing'sai'gui'ze 击剑竞赛规则
'ji'jian'liu'pai 击剑流派
'ji'jian'qiang'guo 击剑强国
'ji'jian'shi'jian 击剑时间
'ji'jian'xian 击剑线
'ji'jian'yun'dong 击剑运动
'ji'jian'yun'dong'jing'sai 击剑运动竞赛
'ji'jian'yun'dong'qi'xie 击剑运动器械
'ji'shi'fan'gong 及时反攻
'ji'shu'bu'fen 技术部分
'ji'shu'dong'zuo 技术动作
'ji'zhong'di'mian 击中地面
'ji'zhong'dui'shou 击中对手
'ji'zhong'dui'shou'de'huan'ji 击中对手的还击
'ji'zhong'jian'shu'lei'ji 击中剑数累计
'jian'bing 剑柄
'jian'bing'chang'du 剑柄长度
'jian'dan'dong'zuo 简单动作
'jian'dan'fang'shou 简单防守
'jian'dan'gong'ji'dong'zuo 简单攻击动作
'jian'dan'huan'ji 简单还击
'jian'dan'jin'gong 简单进攻
'jian'de'zhou'wei 剑的周围
'jian'jian 剑尖
'jian'jie'de 间接的
'jian'shen 剑身
'jian'shen'shang 剑身上
'jian'zhe'huo'sheng 剑者获胜
'jian'zhe'wei'sheng 剑者为胜
'jiao'cha'huan'ji 交叉还击
'jiao'cha'qian'jin 交叉前进
'jiao'du'gong'ji 角度攻击
'jiao'jian 交剑
'jiao'jian 绞剑
'jiao'lian'yong'yu 教练用语
'jie'ao'yun'hui 届奥运会
'jie'chu'dao 接触到
'jin'gong'dong'zuo 进攻动作
'jin'gong'ji'shu 进攻技术
'jin'gong'lu'xian 进攻路线
'jin'gong'shi 进攻是
'jin'gong'xiang'fan'xian 进攻相反线
'jin'gong'zhe 进攻者
'jin'shen'zhan 近身战
'jin'xing'fang'shou'hou'de 进行防守后的
'jin'xing'fang'shou'hou'de'gong'ji'xing'dong'zuo 进行防守后的攻击性动作
'ju'xing'de 举行的
'kai'shi'xian 开始线
'ke'yi'zhi'jie 可以直接
'kong'jian 控剑
'kuan'mian 宽面
'li'ji'zuo'chu 立即作出
'li'kai'jiao'jian 离开交剑
'lian'xu'jin'gong 连续进攻
'lian'xu'san'ci'de'zhuan'wei'gong'ji 连续三次的转位攻击
'lian'xu'wei'xie 连续威胁
'liang'ci'zhuan'yi'huan'ji 两次转移还击
'liu'fen'wei 六分位
'mei'ji'zhong 没击中
'mei'ju'zhi'jian 每局之间
'mei'yi'jian 没意见
'na'me'jing'guo 那么经过
'nan'zi'hua'jian 男子花剑
'nan'zi'zhong'jian'bi'sai 男子重剑比赛
'nei'de'fan'gong 内的反攻
'ni'xi 逆袭
'nin'zhun'bei'hao'le'ma 您准备好了吗
'nv'zi'hua'jian 女子花剑
'nv'zi'hua'jian'bi'sai 女子花剑比赛
'nv'zi'pei'jian 女子佩剑
'nv'zi'zhong'jian 女子重剑
'pei'jian 佩剑
'pei'jian'bi'sai 佩剑比赛
'pian'xin'du 偏心度
'po'huai'ji'jian'xian 破坏击剑线
'qi'fen'wei 七分位
'qian'jin'jing'li 前进敬礼
'qian'jin'yi'gong'chi 前进一公尺
'qian'mian'jing'guo 前面经过
'qian'tiao 前跳
'qiao'jian'gong'ji 敲剑攻击
'qing'zhu'yi 请注意
'qu'gan 躯干
'quan'chang'bu'chao'guo 全长不超过
'ran'hou'gen'ju 然后根据
'ren'he'dong'zuo 任何动作
'ru'guo'fang'shou 如果防守
'san'fen'wei 三分位
'san'leng'xing 三棱形
'shen'chu'shou'bi 伸出手臂
'shen'ding'bing'chu'ban 审定并出版
'shen'ding'de 审定的
'shen'du'wei 深度为
'shen'ti'you'xiao'bu'wei 身体有效部位
'shi'dui'huan'ji 是对还击
'shi'gen'ju 是根据
'shi'shi'de 实施的
'shi'zai'shang'xian 是在上线
'shi'zai'xia'xian 是在下线
'shi'zhan'zi'shi 实战姿势
'shou'bu'dong'zuo 手部动作
'shou'hui'shou'bi 收回手臂
'shou'xian'jing'guo 首先经过
'shou'zhi'kong'jian'fa 手指控剑法
'shuang'fang'dou'bei'ji'zhong 双方都被击中
'shuang'shen'chu'shen 双身触身
'si'fen'wei 四分位
'su'du'wen'ti 速度问题
'suo'yong'de'shi'jian 所用的时间
'suo'zuo'chu'de 所作出的
'suo'zuo'de'fan'gong 所做的反攻
'tao'jian 逃剑
'tiao'li 条例
'tong'shi'dong'zuo 同时动作
'tong'yi'tiao'xian 同一条线
'tuan'ti'sai 团体赛
'wan'cheng'yi'ge 完成一个
'wan'zheng'yuan'zhou 完整圆周
'wei'li'kai 未离开
'wei'yi'ju'you 唯一具有
'wei'yuan'xing 为圆形
'wu'fen'wei 五分位
'wu'xiao'bu'wei 无效部位
'xian'cai'yong 先采用
'xian'dai'ao'yun'hui 现代奥运会
'xian'dai'ji'jian'yun'dong 现代击剑运动
'xian'ji'zhong 先击中
'xiang'fan'xian 相反线
'xiang'fan'xian'shang 相反线上
'xiang'hou'tiao 向后跳
'xiang'qian'tiao 向前跳
