'bai'xian 白贤
'bian'bai'xian 卞白贤
'bian'bo'xian 边伯贤
'bing'shan'nv'wang 冰山女王
'chang'sha'xiao'jiao'ao 长沙小骄傲
'chou'chou 抽抽
'chou'dui 抽队
'da'bai'ya 大白牙
'dou'jing'xiu 都暻秀
'du'du 嘟嘟
'hei'zhen'zhu 黑珍珠
'huang'mei'ying 黄美英
'jin'jun'mian 金俊勉
'jin'tai'yan 金泰妍
'jing'cheng'lu'shao 京城鹿少
'lin'yun'er 林允儿
'lu'han 鹿晗
'ma'li'lian'meng'lu 玛丽莲梦鹿
'ma'ma 麻麻
'pa'ni 帕尼
'pu'can'lie 朴灿烈
'se'hun 色混
'wu'shi'xun 吴世勋
'xiao'lu 小鹿
'xiu'ying 秀英
'yan'xian'mei'nan 眼线美男
'yu'li 俞利
'yun'er 允儿
'zhang'dan'dan 张蛋蛋
'zhang'lei'lei 张蕾蕾
'zhang'yi'xing 张艺兴
'zhen'zhu'nv'wang 珍珠女王
'zheng'xiu'yan 郑秀妍
'zuo'qu'xiao'wang'zi 作曲小王子
