'pa'pa'gan 趴趴柑
'pan'tao 蟠桃
'pao'dan'shi 炮弹柿
'peng'gan 椪柑
'peng'gan 碰柑
'pi'pa 枇杷
'ping'an'guo 平安果
'pu'tao'you 葡萄柚
'qi'cheng 脐橙
'qi'lin'guo 麒麟果
'qi'yi'guo 奇异果
'qi'yi'mei 奇异莓
'qing'cui'li 青脆李
'qing'hong'cui'li 青红脆李
'qing'kai'te'mang 青凯特芒
'qing'mang 青芒
'qing'ning'meng 青柠檬
'qing'pi'gan 青皮柑
'qing'she'guo 青蛇果
'qing'zao 青枣
'qiu'yue'li 秋月梨
'ren'shen'guo 人参果
'ruan'shi 软柿
'rui'ji'na 瑞姬娜
'san'dou 散豆
'san'dou'long'yan 散豆龙眼
'san'hong'you 三红柚
'san'hua'li 三华李
'san'yue'hong 三月红
'sang'shen 桑椹
'sang'shen 桑葚
'sang'ti'na 桑提娜
'sha'guo 沙果
'sha'tang'ju 砂糖桔
'sha'zhu 沙竹
'shan'zha 山楂
'shan'zhu 山竹
'she'guo 蛇果
'she'mei 蛇莓
'she'pi'guo 蛇皮果
'shen'mi'guo 神秘果
'shen'xian'guo 神仙果
'sheng'nv'guo 圣女果
'sheng'nv'qie 圣女茄
'sheng'ti'na 圣提娜
'shi'jia 释迦
'shi'jian 实建
'shi'jian'bing'tang'cheng 实建冰糖橙
'shi'jian'cheng 实建橙
'shi'jian'chu'cheng 实建禇橙
'shi'liu 石榴
'shu'mei 树莓
'shu'nv'hong 淑女红
'shu'pu'tao 树葡萄
'shui'cheng 水橙
'si'ji'na 斯基纳
'suan'cheng 酸橙
'tai'qiu'shi 太秋柿
'tang'shi'liu 糖十六
'tang'shi'san 糖十三
'tao'bo'li 桃驳李
'ti'zi 提子
'tian'shan'yi'hao 天山一号
'tian'xin 甜心
'wang'lin 王林
'wang'lin'ping'guo 王林苹果
'wang'wen'gua 网纹瓜
'wei'duo'li'san'hong'you 维多丽三红柚
'wei'na'si 维纳斯
'wei'na'si'ping'guo 维纳斯苹果
'wen'dan'you 文旦柚
'wo'gan 沃柑
'wu'cai'xian'guo 吾彩鲜果
'wu'fan'zi 乌饭子
'wu'he 无核
'wu'he'bai 无核白
'wu'he'ju 无核桔
'wu'he'mi'ju 无核蜜桔
'wu'hua'guo 无花果
'wu'ling 武灵
'wu'ling'zhang'zao 武灵长枣
'wu'zi 无籽
'wu'zi'hei'ti 无籽黑提
'wu'zi'hong'ti 无籽红提
'wu'zi'qing'ti 无籽青提
'xi'mei 西梅
'xi'you 西柚
'xi'zhou'mi 西周密
'xian'ren'zhang'guo 仙人掌果
'xiang'shan'hong'mei'ren 象山红美人
'xiang'shui'ning'meng 香水柠檬
'xiang'shui'qing'ning'meng 香水青柠檬
'xiao'bai'xing 小白杏
'xin'rong'mao 鑫荣懋
'xu'xiang 徐香
'xu'xiang'mi'hou'tao 徐香猕猴桃
'xue'cheng 血橙
'xue'li 雪梨
'xue'lian'guo 雪莲果
'ya'li 鸭梨
'yan'wo'guo 燕窝果
'yan'yuan 盐源
'yan'yuan'ping'guo 盐源苹果
'yang'guang'jin'guo 阳光金果
'yang'guang'mei'gui 阳光玫瑰
'yang'guang'mei'gui'qing'ti 阳光玫瑰青提
'yang'mei 杨梅
'yang'tao 杨桃
'ye'dan'liu'lian 液氮榴莲
'ye'ping'guo 野苹果
'ye'zao 椰枣
'ye'zi'dan 椰子蛋
'yi'kai'bao 易开宝
'yi'kai'bao'ye'qing 易开宝椰青
'ying'tao 樱桃
'you'gan 油柑
'you'tao 油桃
'you'zhu 油竹
'you'zi 柚子
'yu'ru'gua 玉茹瓜
'yu'ru'tian'gua 玉茹甜瓜
'yun'guan 云冠
'yun'guan'cheng 云冠橙
'yun'mei 云莓
'yun'xiao'pi'pa 云霄枇杷
'zao'su'li 早酥梨
'zhan'hua 沾化
'zhan'hua'dong'zao 沾化冬枣
'zhang'ji 章姬
'zhang'ji'cao'mei 章姬草莓
'zhao'yang'hong 昭阳红
'zhen'zhu'ba'le 珍珠芭乐
'zhi'cheng 指橙
'zhuo'mei 卓莓
