'bi'da'yao'qiu 必达要求
'bian'zhi 编制
'biao'zhun 标准
'biao'zhun'cao'an 标准草案
'biao'zhun'gong'zuo'ji'hua 标准工作计划
'biao'zhun'hua 标准化
'biao'zhun'hua'ceng'ci 标准化层次
'biao'zhun'hua'de'mu'di 标准化的目的
'biao'zhun'hua'dui'xiang 标准化对象
'biao'zhun'hua'ji'gou 标准化机构
'biao'zhun'hua'ji'shu'wei'yuan'hui 标准化技术委员会
'biao'zhun'hua'ji'shu'zu'zhi 标准化技术组织
'biao'zhun'hua'ling'yu 标准化领域
'biao'zhun'hua'shi'dian 标准化试点
'biao'zhun'hua'wen'jian 标准化文件
'biao'zhun'hua'xie'tiao'ji'zhi 标准化协调机制
'biao'zhun'xiang'mu 标准项目
'biao'zhun'yang'pin 标准样品
'bu'zhu'ri'qi'yin'yong 不注日期引用
'cai'biao 采标
'cai'yong'guo'ji'biao'zhun 采用国际标准
'chan'pin'biao'zhun 产品标准
'chan'pin'fang'hu 产品防护
'chen'shu 陈述
'chong'yin'ban'ben 重印版本
'deng'tong 等同
'deng'tong'biao'zhun 等同标准
'di'fang'biao'zhun 地方标准
'di'fang'biao'zhun'hua 地方标准化
'fa'gui 法规
'fa'gui'zhi'ding'ji'guan 法规制定机关
'fa'gui'zhi'xing'ji'guan 法规执行机关
'fei'deng'xiao 非等效
'fei'guan'shui'bi'lei 非关税壁垒
'fen'ji'shu'wei'yuan'hui 分技术委员会
'fen'lei'biao'zhun 分类标准
'fu'hao'biao'zhun 符号标准
'fu'shen 复审
'fu'wu'biao'zhun 服务标准
'gong'ren'de'ji'shu'gui'ze 公认的技术规则
'gong'zuo'zu 工作组
'gui'cheng 规程
'gui'cheng'biao'zhun 规程标准
'gui'fan 规范
'gui'fan'biao'zhun 规范标准
'gui'fan'xing'wen'jian 规范性文件
'guo'cheng'biao'zhun 过程标准
'guo'ji'biao'zhun 国际标准
'guo'ji'biao'zhun'hua 国际标准化
'guo'ji'biao'zhun'hua'zu'zhi 国际标准化组织
'guo'ji'biao'zhun'zu'zhi 国际标准组织
'guo'jia'biao'zhun 国家标准
'guo'jia'biao'zhun'hua 国家标准化
'guo'jia'biao'zhun'hua'guan'li'wei'yuan'hui 国家标准化管理委员会
'guo'jia'biao'zhun'ji'gou 国家标准机构
'guo'jia'biao'zhun'wei 国家标准委
'guo'jia'shi'chang'jian'du'guan'li'zong'ju 国家市场监督管理总局
'guo'jia'shi'chang'jian'guan'zong'ju 国家市场监管总局
'guo'jia'zhi'liang'ji'chu'she'shi 国家质量基础设施
'hang'ye'biao'zhun 行业标准
'he'ge'ping'ding 合格评定
'he'ge'ping'ding'cheng'xu 合格评定程序
'hu'huan'xing 互换性
'huan'jing'bao'hu 环境保护
'ji'chu'biao'zhun 基础标准
'ji'gou 机构
'ji'shu'fa'gui 技术法规
'ji'shu'wei'yuan'hui 技术委员会
'ji'shu'xing'mao'yi'bi'lei 技术性贸易壁垒
'ji'shu'xing'mao'yi'cuo'shi 技术性贸易措施
'ji'shu'yao'qiu 技术要求
'jian'rong'xing 兼容性
'jian'yan'jian'ce 检验检测
'jie'kou'biao'zhun 接口标准
'kan'wu 勘误
'ke'xuan'yao'qiu 可选要求
'liang'hao'xing'wei'qi'ye 良好行为企业
'lv'se'mao'yi'bi'lei 绿色贸易壁垒
'lv'you'biao'zhun'hua 旅游标准化
'miao'shu'tiao'kuan 描述条款
'nong'ye'biao'zhun'hua'shi'fan'qu 农业标准化示范区
'pin'zhong'kong'zhi 品种控制
'ping'yi 评议
'pu'bian'xing'yin'yong 普遍性引用
'qi'cao 起草
'qi'ye'biao'zhun 企业标准
'qiang'zhi'xing'biao'zhun 强制性标准
'qiang'zhi'xing'guo'jia'biao'zhun 强制性国家标准
'qu'yu'biao'zhun 区域标准
'qu'yu'biao'zhun'hua 区域标准化
'qu'yu'biao'zhun'hua'zu'zhi 区域标准化组织
'qu'yu'biao'zhun'zu'zhi 区域标准组织
'quan'li'ji'guan 权力机关
'ren'zheng'ren'ke 认证认可
'shi'jie'biao'zhun'hua'zu'zhi 世界标准化组织
'shi'pin'an'quan'di'fang'biao'zhun 食品安全地方标准
'shi'pin'an'quan'guo'jia'biao'zhun 食品安全国家标准
'shi'tong'fu'he'tiao'kuan 视同符合条款
'shi'xing'biao'zhun 试行标准
'shi'yan'biao'zhun 试验标准
'shi'yong'xing 适用性
'shu'ju'dai'ding'biao'zhun 数据待定标准
'shu'yu'biao'zhun 术语标准
'tiao'kuan 条款
'tong'bao 通报
'tong'bao'ping'yi 通报评议
'tuan'ti'biao'zhun 团体标准
'tui'jian 推荐
'tui'jian'xing'biao'zhun 推荐性标准
'tui'jian'xing'guo'jia'biao'zhun 推荐性国家标准
'xie'shang'yi'zhi 协商一致
'xie'tiao'biao'zhun 协调标准
'xin'ban'ben 新版本
'xing'neng'tiao'kuan 性能条款
'xiu'ding 修订
'xiu'gai 修改
'xiu'zheng 修正
'yan'zhi 研制
'yao'qiu 要求
'yi'zhi'biao'zhun 一致标准
'yi'zhi'xing'cheng'du 一致性程度
'yin'yong'biao'zhun 引用标准
'you'xiao'qi 有效期
'zhi'ding 制定
'zhi'nan'biao'zhun 指南标准
'zhi'shi 指示
'zhi'shi'xing'yin'yong 指示性引用
'zhong'guo'biao'zhun'chuang'xin'gong'xian'jiang 中国标准创新贡献奖
'zhu'ri'qi'yin'yong 注日期引用
'zu'zhi 组织
'zui'xin'ji'shu'shui'ping 最新技术水平
