'a'fu 阿扶
'ai'qi'yi 爱奇艺
'an'xian 暗线
'an'zi 暗子
'bai'zhou 白昼
'chuan'feng'jue 川峰诀
'chun'qiu 春秋
'da'shi'xiong 大师兄
'dai'zu'xiong 戴祖雄
'er'shi'xiong 二师兄
'fan'yi'ze 范奕泽
'feng'yuan'shao'nv 风愿少女
'gu'yi'feng 顾亦封
'hua'kui 花魁
'ji'chuan 季川
'jiang'hu'shao'nian'you 江湖少年游
'jiao'zhu 教主
'liu'jian'yu 刘剑羽
'luo'ming'jie 骆明劼
'meng'zhu 盟主
'san'shi'xiong 三师兄
'shi'nv 侍女
'si'shi'xiong 四师兄
'song'ji'yang 宋继扬
'su'xiao'tong 苏晓彤
'tian'wai 天外
'wang'qian 王倩
'wang'xiang'yan'hua'huo 妄想烟花火
'wei'qi 魏旗
'wen'bin 温彬
'wen'zhang'lao 温长老
'xiao'lin 小林
'xiao'shi'di 小师弟
'xiao'xiao'shi'di 小小师弟
'xie'xing'yang 谢兴阳
'yan'dai'fu 闫大夫
'yi'xiong 义兄
'yin'bu'huo 殷不惑
'yue'qing'qing 月卿卿
'zhao'da'xia 赵大侠
'zhao'qing'feng 赵青峰
'zhou'yan'chen 周彦辰
