'ban'gong'jia'ju'zhan'ting 办公家具展厅
'bian'ji 边几
'bian'liu'chou 边六抽
'can'bian'gui 餐边柜
'cha'shui'gui 茶水柜
'chen'bei'dou 陈背篼
'cheng'ji'yin 程吉尹
'dai'shou'mi'shuang'jie'gui 带手密双节柜
'dai'shou'mi'shuang'men'gui 带手密双门柜
'dang'ban 挡板
'deng'guang'yi 邓光祎
'dian'chao'ji 点钞机
'dian'zi'gui 电子柜
'dian'zi'mian'ban 电子面板
'dui'kai'zhong'er'chou 对开中二抽
'er'dai'dian'zi'bao'mi'gui 二代电子保密柜
'er'dai'dian'zi'bao'mi'shuang'jie'gui 二代电子保密双节柜
'er'dai'dian'zi'bao'mi'shuang'men'gui 二代电子保密双门柜
'fang'bao'tou'kui 防暴头盔
'fang'cha'ji 方茶几
'fang'ci'fu 防刺服
'fang'hu'cha 防护叉
'gang'cha 钢叉
'gao'xiao'yan 高小燕
'gong'ju'gui 工具柜
'gong'shi 龚师
'gong'zuo'tai 工作台
'guo'dong'lin 郭东林
'guo'yi'bin 郭义斌
'he'meng'mei 何梦梅
'he'shan'jiang 何山江
'heng'chi 亨驰
'hong'hua'gang'qu'ming'cheng'yong'heng'ban'gong'shang'hang 红花岗区名城永亨办公商行
'huang'long 黄龙
'huang'san'lun 黄三轮
'huang'zhen'ping 黄振平
'hui'chuan'qu'yong'heng'ban'gong'jia'ju'xiao'shou'bu 汇川区永亨办公家具销售部
'hui'yi'tiao'zhuo 会议条桌
'huo'dong'ge'ban 活动隔板
'jing'pin'gui 精品柜
'jing'yong'dun'pai'jia 警用盾牌架
'jing'yong'zhuang'bei'jia 警用装备架
'kai'piao'ming'cheng 开票名称
'li'gang 李刚
'li'zheng'hong 李正红
'liu'jing 刘静
'liu'tian'liang 刘天亮
'long'yin'peng 龙银鹏
'lu'jin'quan 卢金权
'mi'chang'cha'ji 米长茶几
'qi'ju'hong 漆钜红
'qi'xie'gui 器械柜
'se'biao'suo 色标锁
'shang'bo'xia'tie'wen'jian'gui 上玻下铁文件柜
'shang'jie 上节
'shuang'jie'gui 双节柜
'shuang'jie'wu'chou'gui 双节无抽柜
'shuang'men'gui 双门柜
'shuang'suo'wu'jie'gui 双锁五节柜
'si'chuan'sheng'yong'heng'shi'ye'you'xian'ze'ren'gong'si 四川省永亨实业有限责任公司
'tang'guang'jun 唐光军
'tao'shai'shuang'men'gui 套色双门柜
'tao'shai'wu'jie'gui 套色五节柜
'tian'hong'guang'gao 天虹广告
'tian'ji'xing 天玑星
'tian'qi 天启
'tiao'zhuo 条桌
'tou'biao'wen'jian 投标文件
'tui'che 推车
'wan'li'qiang 万利强
'wang'fei 王飞
'wang'ke'you 王克友
'wang'yue'ping 王跃平
'wei'jiao 围脚
'wen'jian'gui 文件柜
'wu'jie'gui 五节柜
'wu'jie'ping'zheng'gui 五节凭证柜
'wu'lao'si 吴老四
'xi'lie 系列
'xi'lie'gao'bo'gui 系列高玻柜
'xi'lie'lian'ti'shuang'jie'gui 系列连体双节柜
'xi'lie'lian'ti'shuang'jie'ming'chou 系列连体双节明抽
'xia'jie 下节
'xia'shi'er'chou 下十二抽
'xing'kong'lan 星空蓝
'yan'jiang'tai 演讲台
'yang'jie 杨洁
'yang'pei'jun 杨培俊
'yao'jun 姚军
'ye'shi 叶师
'yi'men'zhong'er'chou 移门中二抽
'yi'men'zhong'wu'chou 移门中五抽
'yin'zhang'xiang 印章箱
'ying'hong'qiao'pai'chu'suo 迎红桥派出所
'yong'heng 永亨
'yong'heng'ke'ji'ji'tuan'you'xian'gong'si 永亨科技集团有限公司
'zhang'long 张龙
'zhang'qin 张琴
'zhao'xin 赵鑫
'zhao'ze'hua 赵泽华
'zhi'wen'gui 指纹柜
'zhong'ba'chou 中八抽
'zhuang'bei'gui 装备柜
'zi'zhi'zheng'ming'wen'jian 资质证明文件
'zun'yi'shi'zhong'hua'bei'lu 遵义市中华北路
