'cheng'shi'gui'hua 城市规划
'cheng'xiang'gui'hua 城乡规划
'guo'tu'kong'jian 国土空间
'guo'tu'kong'jian'gui'hua 国土空间规划
'guo'tu'kong'jian'xiang'xi'gui'hua 国土空间详细规划
'guo'tu'kong'jian'zong'ti'gui'hua 国土空间总体规划
'kong'gui 控规
'kong'zhi'xing'xiang'xi'gui'hua 控制性详细规划
'shi'yu 市域
'shi'yu 视域
'xian'yu 县域
'xiang'xi'gui'hua 详细规划
'xiang'yu 乡域
'xiu'gui 修规
'xiu'jian'xing'xiang'xi'gui'hua 修建性详细规划
'xiu'xiang 修详
'zhen'yu 镇域
'zhuan'xiang'gui'hua 专项规划
'zong'ti'gui'hua 总体规划
