'bie'nao'wo'xiang'jing'jing 别闹我想静静
'bie'nian'ren'wo'de'bei'zi 别粘人我的被子
'bo'he'zhi'xia 薄荷之夏
'bu'shuo'huang'lian'ren 不说谎恋人
'chan'nv 蝉女
'chao'hua'xi'shi 朝花惜时
'chong'sheng'xing'hui 重生星辉
'chun'qing'mei'zi'huo'la'la 纯情妹子火辣辣
'dan'lian'da'zuo'zhan 单恋大作战
'ding'zhi'nan'you 定制男友
'ding'zhi'nan'you'di'er'ji 定制男友第二季
'fan'zhuan'xian'shi 反转现实
'fu'chou'gao'zhong 复仇高中
'fu'chou'yao'leng'leng'duan'shang 复仇要冷冷端上
'fu'sheng'wu'yu 浮生物语
'ge'lian'ai'gu'shi 个恋爱故事
'hai'you'yi'miao'wen'shang'ni 还有一秒吻上你
'he'fa'tong'ju 合法同居
'hei'yu'zhi'wen 黑羽之吻
'ji'su'kou'sha 极速扣杀
'jian'dao'zhi'xiao'hu'li 捡到只小狐狸
'jiao'wo'sen'xian'sheng 叫我森先生
'jun'xin'peng'pai 君心澎湃
'jun'yu'wang'xin 君与望心
'kuai'ba'wo'ge'dai'zou 快把我哥带走
'kuai'kan'man'hua 快看漫画
'lang'zu'shao'nian 狼族少年
'ling'du'lian'ren 零度恋人
'ling'fen'ou'xiang 零分偶像
'mi'hui'qing'ren'chu'gui'ju'le'bu 密会情人出轨俱乐部
'mo'du'gui'shi 魔都诡事
'mo'wang'jing'ji'ren 魔王经纪人
'mu'ling 牧灵
'ni'ceng'jing'ai'wo 你曾经爱我
'ni'de'xue'hen'tian 你的血很甜
'ou'ba'wo'men'li'hun'ba 欧巴我们离婚吧
'qing'kong'zhi'xia 青空之夏
'shi'guang'shou'hu'ren 时光守护人
'shui'zai'shu'shang'dang'xin'lang 睡在树上当新郎
'tian'mei'de'yao'hen 甜美的咬痕
'tian'xia'wu'lai 天下无赖
'tou'pai'ming'yuan 头牌名媛
'wo'ceng'wei'ni'fan'shan'yue'ling 我曾为你翻山越岭
'xia'chui'yan 下垂眼
'xiao'shi'lian'ren 消失恋人
'xing'liu 星流
'xing'meng'shou'ji 星梦手记
'xue'nan 雪男
'yan'zhong'de'tai'yang 眼中的太阳
'yao'bu'ke'ji 遥不可及
'yao'bu'yao 要不要
'yi'ri'nan'you 一日男友
'yu'ai'you'guan 与爱有关
'yu'wang'ren'ou 欲望人偶
'zhao'ming'shang'dian 照明商店
'zheng'rong'you'xi 整容游戏
'zi'lai'shui'zhi'wu 自来水之污
