'a'lang'mi'xian 阿郎米线
'bai'te'nan'han'dou'jiu'guan 百特南韩都酒馆
'bai'te'nan'men'chao'xian'jiu'lou 百特南门朝鲜酒楼
'cheng'du'xiao'chi 成都小吃
'chuan'wei'di'yi'jia 川味第一家
'da'qing'hua'jiao'zi 大清花饺子
'de'yi'lou 得意楼
'de'yu'sheng'huo'guo 德玉盛火锅
'dong'ying'he'tun'yu'can'guan 东赢河豚鱼餐馆
'fu'xiang'jiu'lou 富祥酒楼
'fu'yi'huo'guo 福义火锅
'gu'ben'liang'tian 古本良田
'guo'mao'fan'dian'xuan'zhuan'can'ting'ming'cha 国贸饭店旋转餐厅名茶
'han'zhong'ge'kao'rou'cheng 韩中阁烤肉城
'ji'ye'jia 吉野家
'jiang'ji'mi'xian 蒋记米线
'jin'fan'wan'zhou'dian 金饭碗粥店
'jin'ru'yi 金如意
'ken'de'ji'liao'he'dian 肯德基辽河店
'lao'tai'tai'shao'kao'cheng 老太太烧烤城
'li'li'xiang'min'su'feng'qing'cun 粒粒香民俗风情村
'lian'xiang'cha'can'ting 恋香茶餐厅
'liu'yi'guo'jin'tou'ba'nao'yi'guo'xiang 刘一锅筋头巴脑一锅香
'lv'ye'zhuang'yuan 绿野庄园
'meng'shi'huo'guo'cheng'wu'da'sao'jiao'zi'dian 孟氏火锅城吴大嫂饺子店
'mu'lan'xiang'kao'rou 木兰香烤肉
'niu'ba'dian 牛巴店
'nv'ren'wei'liang'pi 女人味凉皮
'ou'luo'ba'xi'can'ting 欧罗巴西餐厅
'peng'peng'liang 碰碰凉
'pin'yang'lou 品羊楼
'san'ming'zhou'mian'guan 三明粥面馆
'shang'dao'ka'fei 上岛咖啡
'shu'feng'yuan'jiu'lou 蜀丰园酒楼
'si'chuan'fu'shi'huo'guo'mei'shi'cheng 四川傅氏火锅美食城
'tao'yuan'xin'cun'fan'dian 桃园新村饭店
'tian'shan'shi'fu 天山食府
'ting'yu'xuan'cha'can'ting 听雨轩茶餐厅
'tong'luo'wan'gang'shi'cha'can'ting 铜锣湾港市茶餐厅
'wang'ma'zi'da'bing 王麻子大饼
'wang'zhang'gui'mian'guan 王掌柜面馆
'wu'ji'fei'bing'dian 吴记飞饼店
'wu'ji'jiang'gu'tou'dun'cai'guan 吴记酱骨头炖菜馆
'xian'yu'huo'guo'cheng 仙宇火锅城
'xin'luo'liao'li 新罗料理
'xin'xin'dan'gao'dian 欣欣蛋糕店
'xing'long'da'sha'qi'lou'xiao'chi'cheng 兴隆大厦七楼小吃城
'xing'you'da'men'you'yuan'shu'zhong'ju 兴油大门有缘蜀中居
'xing'you'nan'da'men'mu'yang'ren 兴油南大门牧羊人
'yi'xiang'yuan 怡香园
'ying'hua'dan'gao'dian 樱花蛋糕店
'yong'he'dou'jiang 永和豆浆
'you'lao'da'xue'dui'mian'han'xiang'ge 油老大学对面韩香阁
'yue'liang'wan'shao'ge'zi 月亮湾烧鸽子
'zheng'zong'ma'la'xiao'long'xia 正宗麻辣小龙虾
'zhong'xing'gong'yuan'dui'mian'jin'shan 中兴公园对面金山
