'bian'ma 编码
'bing'xi 丙烯
'bing'xi'yi'xi'qian'duan'gong'ju'wu 丙烯乙烯嵌段共聚物
'bo'li'xian'wei 玻璃纤维
'cai'liao 材料
'chan'neng 产能
'chan'pin'zhi'liang 产品质量
'cheng'pin'liao'cang 成品料仓
'cui'hua'ji 催化剂
'da'qing'lian'hua 大庆炼化
'deng'gui'du 等规度
'deng'gui'zhi'shu 等规指数
'di'san'duan 第三段
'di'tan 地毯
'di'wen'chong'ji 低温冲击
'dian'dao 垫刀
'dian'qi'xing'neng 电气性能
'ding'er'xi 丁二烯
'ding'xi 丁烯
'er'yuan'yi'bing'xiang'jiao 二元乙丙橡胶
'fan'ying'fu'nei 反应釜内
'fei'li'pu'shi'you'gong'si 菲利普石油公司
'fen'zi'gou'xing 分子构型
'fen'zi'lian 分子链
'fen'zi'liang 分子量
'gai'xing 改性
'gai'xing'dan'ti 改性单体
'gai'xing'ji 改性剂
'gai'xing'shu'zhi 改性树脂
'gao'gang'xing'cai'liao 高刚性材料
'gao'huo'xing 高活性
'gao'su'dang 高速档
'gong'cheng'su'liao 工程塑料
'gong'guan 攻关
'gong'guan'cuo'shi 攻关措施
'gong'guan'mu'biao 攻关目标
'gong'guan'mu'di 攻关目的
'gong'hun 共混
'gong'hun'gai'xing 共混改性
'gong'hun'wu'li'gai'xing 共混物理改性
'gong'ju 共聚
'gong'ju'wu 共聚物
'gong'yi'yan'zheng'bao'gao 工艺验证报告
'gou'xing 构型
'guan'cai 管材
'guan'cai'liao 管材料
'guo'jia'jian'cai'jian'ce'zhong'xin 国家建材检测中心
'guo'lv'cai'liao 过滤材料
'han'guo'xiao'xing 韩国晓星
'he'cheng'hua'he'wu 合成化合物
'he'ge'pin 合格品
'hua'xue'gai'xing 化学改性
'hua'xue'jia 化学家
'hua'yan'quan'fen'xi 化验全分析
'huan'jie'jiang'jie'cheng'du 缓解降解程度
'huan're'qi 换热器
'huang'du'zhi'shu 黄度指数
'huang'se'zhi'shu 黄色指数
'huang'zhi 黄指
'ji'shu'gong'guan 技术攻关
'ji'xi 己烯
'ji'xie'xing'neng 机械性能
'ji'ya'ji 挤压机
'jia'gong'wen'du 加工温度
'jian'ce'xiang'mu 检测项目
'jian'rong'xing 兼容性
'jiang'jie 降解
'jiang'jie'wen'ti 降解问题
'jie'jing 结晶
'jie'jing'du 结晶度
'jie'zhi'gong'ju 接枝共聚
'jing'dian 晶点
'jing'ji'xiao'yi 经济效益
'ju'bing'xi 聚丙烯
'ju'ding'er'xi 聚丁二烯
'ju'he'fan'ying'fu 聚合反应釜
'ju'he'wu 聚合物
'ju'xi'ting 聚烯烃
'ju'yi'xi 聚乙烯
'jun'ju'ju'bing'xi 均聚聚丙烯
'kang'chong'ji'xing'wu'li'gai'xing 抗冲击性物理改性
'kang'chuan'tou'xing'neng 抗穿透性能
'kang'hua'xue'pin'xing'neng 抗化学品性能
'kang'hua'xue'rong'ji 抗化学溶剂
'kang'jian 抗碱
'kang'lao'hua'xing 抗老化性
'kang'suan 抗酸
'kang'yang'hua'ji 抗氧化剂
'kuang'wu'zhi 矿物质
'la'ba'tong 喇叭筒
'la'shen'qiang'du 拉伸强度
'la'shen'xing'neng 拉伸性能
'leng're'shui'guan 冷热水管
'li'liao 粒料
'ling'bu'jian 零部件
'lv'su 铝塑
'mi'du 密度
'nai'huan'jing'ying'li'kai'lie'xing 耐环境应力开裂性
'nai'mo'xing 耐磨性
'nai'ying'li'kai'lie'xing 耐应力开裂性
'nai'yong'xing'neng 耐用性能
'nei'ju'li 内聚力
'nei'wai'ya'li 内外压力
'ou'hua'gong 欧化工
'pai'hao 牌号
'pei'fang'ti'xi 配方体系
'pi'hao 批号
'qian'duan'gong'ju'wu 嵌段共聚物
'qie'li'ji 切粒机
'qing'jie'du 清洁度
're'su'xing 热塑性
're'su'xing'ju'he'wu 热塑性聚合物
'rong'dian 熔点
'rong'rong'zhi'shu 熔融指数
'rong'ti'ti'ji'liu'dong'su'lv 熔体体积流动速率
'rong'ti'zhi'liang'liu'dong'su'lv 熔体质量流动速率
'run'hua'xing'neng 润滑性能
'she'hui'xiao'yi 社会效益
'shi'chang'ren'ke 市场认可
'shi'yan'fang'fa 试验方法
'shou'suo'lv 收缩率
'shu'zhi 树脂
'shu'zhi'cai'liao 树脂材料
'shu'zhi'de'xing'neng 树脂的性能
'su'liao'guan'cai 塑料管材
