'an'ping'jing'du 安平精度
'bai'yi 摆仪
'ban'dao'ti'ji'guang'qi 半导体激光器
'ban'zhan'xing'ce'ju'jing'wei'yi 半站型测距经纬仪
'bian'xian'yi 变线仪
'biao'chi 标尺
'biao'zhi'deng 标志灯
'bo'dai'ban 波带板
'bu'chang'qi 补偿器
'bu'chang'qi'bu'chang'wu'cha 补偿器补偿误差
'ce'biao 测标
'ce'gan 测杆
'ce'gao'yi 测高仪
'ce'ju'ding'wei'xi'tong 测距定位系统
'ce'ju'jing'wei'yi 测距经纬仪
'ce'shen'gan 测深杆
'ce'wei'mu'jing 测微目镜
'ce'wei'qi 测微器
'chao'dao'zhong'li'yi 超导重力仪
'cheng'chang'shu 乘常数
'chui'qiu 垂球
'ci'ce'shen'yi 磁测深仪
'da'di'jie'shou'ji 大地接收机
'dan'pian'zuo'biao'liang'ce'yi 单片坐标量测仪
'deng'gao'leng'jing 等高棱镜
'deng'gao'yi 等高仪
'di'ci'jing'wei'yi 地磁经纬仪
'di'ci'yi 地磁仪
'di'mian'li'ti'ce'tu'yi 地面立体测图仪
'dian'ci'bo'ce'ju'yi 电磁波测距仪
'dian'he'ou'he'cun'chu'qi 电荷耦合存储器
'dian'he'ou'he'qi 电荷耦合器
'dian'zi'ce'ju'yi 电子测距仪
'dian'zi'fen'se'ji 电子分色机
'dian'zi'jing'wei'yi 电子经纬仪
'dian'zi'ping'ban'yi 电子平板仪
'dian'zi'qiu'ji'yi 电子求积仪
'dian'zi'shui'zhun'yi 电子水准仪
'dian'zi'wai'ye'shou'bu 电子外业手簿
'dian'zi'yin'xiang'ji 电子印象机
'du'pan 度盘
'duan'mian'yi 断面仪
'dui'jiao'mu'jing 对角目镜
'duo'bei'yi 多倍仪
'duo'pu'le'sheng'na 多普勒声呐
'er'bei'zhao'zhun'bu'hu'cha 二倍照准部互差
'er'bei'zhao'zhun'cha 二倍照准差
'fa'guang'er'ji'guan 发光二极管
'fang'wei'ju'li'ding'wei'xi'tong 方位距离定位系统
'feng'xi'jiu'zheng'yi 缝隙纠正仪
'fu'zhao'yi 复照仪
'gao'cha'yi 高差仪
'gao'si'mu'jing 高斯目镜
'gong'cheng'jing'wei'yi 工程经纬仪
'gong'cheng'shui'zhun'yi 工程水准仪
'gu'ti'ji'guang'qi 固体激光器
'guang'bi 光笔
'guang'dian'ce'ju'yi 光电测距仪
'guang'dian'deng'gao'yi 光电等高仪
'guang'dian'zhong'xing'yi 光电中星仪
'guang'shan 光栅
'guang'xue'dui'zhong'qi 光学对中器
'guang'xue'jing'wei'yi 光学经纬仪
'guang'xue'shui'zhun'yi 光学水准仪
'hai'di'sheng'biao 海底声标
'hai'yang'zhong'li'yi 海洋重力仪
'heng'shi'zhong 恒时钟
'hong'wai'ce'ju'yi 红外测距仪
'hu'bu'se'jing 互补色镜
'hui'sheng'ce'shen'yi 回声测深仪
'hui'tu'ji 绘图机
'hui'zhao'qi 回照器
'ji'guang'ce'gao'yi 激光测高仪
'ji'guang'ce'ju'yi 激光测距仪
'ji'guang'ce'shen'yi 激光测深仪
'ji'guang'di'xing'yi 激光地形仪
'ji'guang'er'ji'guan 激光二极管
'ji'guang'jing'wei'yi 激光经纬仪
'ji'guang'mu'jing 激光目镜
'ji'guang'qian'chui'yi 激光铅垂仪
'ji'guang'sao'ping'yi 激光扫平仪
'ji'guang'shui'zhun'yi 激光水准仪
'ji'guang'zhun'zhi'yi 激光准直仪
'ji'zuo'biao'ding'wei'xi'tong 极坐标定位系统
'ji'zuo'biao'suo'fang'yi 极坐标缩放仪
'jia'chang'shu 加常数
'jian'pan'zhi'biao'cha 坚盘指标差
'jiao'zheng'zhen 校正针
'jie'shou'er'ji'guan 接收二极管
'jie'shou'ji 接收机
'jie'xi'ce'tu'yi 解析测图仪
'jin'cheng'ding'wei'xi'tong 近程定位系统
'jin'shu'tan'huang'zhong'li'yi 金属弹簧重力仪
'jing'mi'jing'wei'yi 精密经纬仪
'jing'mi'li'ti'ce'tu'yi 精密立体测图仪
'jing'mi'shui'zhun'yi 精密水准仪
'jing'wei'yi 经纬仪
'jiu'zheng'yi 纠正仪
'jue'dui'zhong'li'yi 绝对重力仪
'ke'tu'yi 刻图仪
'kuang'shan'jing'wei'yi 矿山经纬仪
'lei'da'ce'gao'yi 雷达测高仪
'li'ti'jing 立体镜
'li'ti'pan'du'yi 立体判读仪
'li'ti'zuo'biao'liang'ce'yi 立体坐标量测仪
'lian'xu'jian'guang'ban 连续减光板
'liu'fen'yi 六分仪
'lu'luo'fu'si'tai'yang'leng'jing 鲁洛夫斯太阳棱镜
'luo'lan 罗兰
'luo'pan'jing'wei'yi 罗盘经纬仪
'luo'pan'yi 罗盘仪
'lv'guang'pian 滤光片
'mai'chong'ji'guang'qi 脉冲激光器
'mo'ni'li'ti'ce'tu'yi 模拟立体测图仪
'mu'biao'fan'she'qi 目标反射器
'mu'shi'tian'ding'yi 目视天顶仪
'pan'du'yi 判读仪
'pin'lv'wu'cha 频率误差
'ping'ban'yi 平板仪
'ping'shi'zhong 平时钟
'po'mian'jing'wei'yi 坡面经纬仪
'qian'di'di'ceng'pou'mian'yi 浅底地层剖面仪
'qing'xie'yi 倾斜仪
'qiu'ji'yi 求积仪
'quan'neng'jing'wei'yi 全能经纬仪
'quan'zhan'xing'dian'zi'su'ce'yi 全站型电子速测仪
'quan'zhan'xing'guang'dian'su'ce'jing'wei'yi 全站型光电速测经纬仪
'san'gan'fen'du'yi 三杆分度仪
'san'jiao'ji'zuo 三角基座
'san'jiao'jia 三脚架
'sao'chuang'ce'shen'yi 扫床测深仪
'sao'hai'ju 扫海具
'she'ying'jing'wei'yi 摄影经纬仪
'shen'suo'yi 伸缩仪
'shi'cha 视差
'shi'ju 视距
'shi'ying'tan'huang'zhong'li'yi 石英弹簧重力仪
'shi'zhong'pin'lv 时钟频率
'shou'chi'ce'jiao'yi 手持测角仪
'shou'chi'shui'zhun'yi 手持水准仪
'shu'kong'hui'tu'ji 数控绘图机
'shu'zi'hua'qi 数字化器
'shu'zi'jing'wei'yi 数字经纬仪
'shuang'pin'ce'shen'yi 双频测深仪
'shuang'se'ji'guang'ce'ju'yi 双色激光测距仪
'shui'chi 水尺
'shui'sheng'ding'wei'xi'tong 水声定位系统
'shui'sheng'quan'xi'xi'tong 水声全息系统
'shui'sheng'ying'da'qi 水声应答器
'shui'ta 水铊
'shui'wei'yao'bao'yi 水位遥报仪
'shui'zhun'chi 水准尺
'shui'zhun'qi 水准器
'shui'zhun'yi 水准仪
'suo'fang'yi 缩放仪
'suo'xiao'yi 缩小仪
'tai'ka'ding'wei'xi'tong 台卡定位系统
'tian'wen'jing'wei'yi 天文经纬仪
'tian'wen'zuo'biao'liang'ce'yi 天文坐标量测仪
'tiao'jiao'wu'cha 调焦误差
'tiao'zhi'pin'lv 调制频率
'tiao'zhi'qi 调制器
'tou'ying'qi 投影器
'tuo'luo'jing'wei'yi 陀螺经纬仪
'tuo'luo'shui'zhun'yi 陀螺水准仪
'wan'guan'mu'jing 弯管目镜
'wei 微
'wei'bo'ce'ju'yi 微波测距仪
'wei'xing'guan'dao'zu'he'ding'wei'xi'tong 卫星惯导组合定位系统
'wei'xing'ji'guang'ce'ju'yi 卫星激光测距仪
'wei'xing'sheng'xue'zu'he'ding'wei'xi'tong 卫星声学组合定位系统
'wu'jiao'leng'jing 五角棱镜
'xiang'guan'qi 相关器
'xiang'xian'yi 象限仪
'xing'cha 行差
'xuan'shi'jing'wei'yi 悬式经纬仪
'xun'bei'qi 寻北器
'yan'chao'yi 验潮仪
'yan'pai 砚牌
'yin'wa'ji'xian'chi 因瓦基线尺
'ying'bian'yi 应变仪
'yuan'cheng'ding'wei'xi'tong 远程定位系统
'yuan'yi'yuan'ding'wei'xi'tong 圆一圆定位系统
'yuan'zi'zhong 原子钟
'zhao'xiang'pai'zi'ji 照相排字机
'zhao'xiang'zhi'ban'jing'tou 照相制板镜头
'zheng'she'tou'ying'yi 正射投影仪
'zhi'dian'yi 制点仪
'zhong'cheng'ding'wei'xi'tong 中程定位系统
'zhong'li'ti'du'yi 重力梯度仪
'zhong'xing'yi 中星仪
'zhou'qi'wu'cha 周期误差
'zhuan'dian'yi 转点仪
'zhuan'hui'yi 转绘仪
'zi'dong'an'ping'shui'zhun'yi 自动安平水准仪
'zi'dong'gui'suan'zhao'zhun'yi 自动归算照准仪
'zi'dong'hui'tu'ji 自动绘图机
'zi'dong'zuo'biao'zhan'dian'yi 自动坐标展点仪
'zi'zhun'zhi'mu'jing 自准直目镜
'zuo'biao'liang'ce'yi 坐标量测仪
