'bao'he'tang 保鹤堂
'bao'he'tang'ling'zhi 保鹤堂灵芝
'bao'he'tang'ling'zhi'bao'zi'fen 保鹤堂灵芝孢子粉
'bao'he'tang'ling'zhi'fen 保鹤堂灵芝粉
'bao'he'tang'po'bi'ling'zhi'bao'zi'fen 保鹤堂破壁灵芝孢子粉
'chi'zhi 赤芝
'dan'zhi 丹芝
'hong'zhi 红芝
'jun'ling'zhi 菌灵芝
'ling'zhi'bao'zi'fen 灵芝孢子粉
'ling'zhi'cao 灵芝草
'mu'ling'zhi 木灵芝
'rui'cao 瑞草
'tong'ren'tang 同仁堂
'wan'nian'xun 万年蕈
