'an'zhao 按照
'bai'ma 白麻
'bai'shi'ma'yi 白石麻衣
'ban'dao'xi 坂道系
'bei'ye'ri'nai'zi 北野日奈子
'bu'shun'xu 布顺序
'chang'bin 长滨
'chuan'hou'yang'cai 川后阳菜
'chuang'lian'wei'rao 窗帘围绕
'dao'qi'yao'xiang 岛崎遥香
'di'ji'ci'de'qing'kong 第几次的青空
'du'bian'li'jia 渡边梨加
'du'bian'li'zuo 渡边理佐
'du'bian'mei'li'ai 渡边美里爱
'fei'qiu 肥秋
'ge'zi 鸽子
'gong'yan'gong 公演公
'hua'hua 花花
'jia'teng'ling'nai 加藤玲奈
'jian'jing'you'xiang 菅井友香
'jiu'bao'shi'xu'li 久保史绪里
'ju'ban 欅坂
'ku'wei'yang'nai 堀未央奈
'lai'ba'xiang'bo 来吧香波
'nai'mu'ban 乃木坂
'nai'mu'ban'gong'shi'zhong 乃木坂工事中
'nai'mu'ban'zai'na 乃木坂在哪
'nv'sheng'gui'ze 女生规则
'pai'xu 排序
'ping'shou 平手
'ping'shou'you'li'nai 平手友梨奈
'qiao'ben'nai'nai'wei 桥本奈奈未
'qiu'yuan'kang 秋元康
'qiu'yuan'zhen'xia 秋元真夏
'sao'zi 嫂子
'shan'qi'lian'nai 山崎怜奈
'sheng'ming'ru'ci'mei'li 生命如此美丽
'sheng'tian'hui'li'hua 生田绘梨花
'si'tian'lan'shi 寺田兰世
'song'cun'sha'you'li 松村沙友理
'song'jing'zhu'li'nai 松井珠理奈
'tu'sheng'rui'sui 土生瑞穗
'xi'ye'qi'lai 西野七濑
'xiao'chi'mei'bo 小池美波
'xiao'nan 小南
'xiao'niao 小鸟
'xing'ye'nan 星野南
'xuan'ba 选拔
'yang'nai 羊奶
'yi'teng'chun'nai 伊藤纯奈
'zhai'teng'fei'niao 斋藤飞鸟
'zhi'yuan'li'nai 指原莉乃
