'ao'fu 傲赋
'ao'hun 傲魂
'ao'long 傲龙
'ao'su 傲速
'ba'jie 八阶
'ba'jie'mo'fang 八阶魔方
'bao'si'dao 保斯道
'bei'gong'shi 背公式
'bei'guo 背过
'bei'le 背了
'bei'le'duo'shao 背了多少
'ceng'xian 层先
'ceng'xian'fa 层先法
'ceng'xian'fa'bian'zhong 层先法变种
'chen'dan'yang 陈丹阳
'chen'shuang 陈霜
'chi'chu'fa 彳亍法
'chou'chong 臭虫
'chun'chun 淳淳
'da'mo 打磨
'da'yan 大雁
'da'yan'tou 大烟头
'da'zhuang 大壮
'dan'ce'fan'leng 单侧翻棱
'dan'ning 单拧
'di'ceng 底层
'di'er'ban 第二版
'di'mian 底面
'di'san'ban 第三版
'di'si'ni'qiu 迪斯尼球
'di'yi'ban 第一版
'dian'sheng 点盛
'ding'ceng 顶层
'ding'mian 顶面
'dong'xian 东贤
'dou'yu 逗鱼
'duan'wei 段位
'dui'jiao 对角
'dui'jiao'dui'leng'huan 对角对棱换
'dui'leng 对棱
'dui'leng'huan 对棱换
'dui'zhong'xin 对中心
'duo'mang 多盲
'er'bu'fa 二步法
'er'jie 二阶
'er'jie'mo'fang 二阶魔方
'fan'leng 翻棱
'fan'se 翻色
'fei'biao 非标
'fei'leng 飞棱
'fen'jie'duan'xue'xi'jiao'cheng 分阶段学习教程
'feng'er 封二
'feng'liu 封六
'feng'mo'yan'yi 封魔演义
'feng'qi 封七
'feng'san 封三
'feng'si 封四
'feng'wu 封五
'feng'yi 封一
'gan'mo'fang 淦魔方
'gao'jie 高阶
'gao'jie'mang'ning 高阶盲拧
'gong'shi 公式
'gou'tou'shi 狗头屎
'gu'hong 孤鸿
'guan'long 冠龙
'gui'you 硅油
'guo'bing 国丙
'guo'jia 国甲
'guo'jie 国界
'guo'jie'mo'fang'fang 国界魔方坊
'hai'yan 海燕
'he'bing'leng'kuai 合并棱块
'jia'ci 加磁
'jia'er 甲二
'jia'liu 甲六
'jia'qi 甲七
'jia'san 甲三
'jia'si 甲四
'jia'wu 甲五
'jia'yi 甲一
'jian'yi'mo'fang'fang 简易魔方坊
'jiang'gan'yuan 江淦源
'jiang'jie'fa 降阶法
'jiang'qun'fa 降群法
'jiao'huan 角换
'jiao'kuai 角块
'jiao'ning 脚拧
'jiao'xian'fa 角先法
'jin'zi'ta 金字塔
'jing'mian 镜面
'jing'mian'mo'fang 镜面魔方
'jiu'jie 九阶
'jiu'jie'mo'fang 九阶魔方
'kong'xin'mo'fang 空心魔方
'kong'xin'wu'mo'fang 空心五魔方
'lai'qu'ying'xiong'zhuan 来去英雄传
'lao'wa 老瓦
'leng'huan 棱换
'leng'kuai 棱块
'leng'xian'fa 棱先法
'lian'ning 连拧
'lian'zuo 连做
'lin'jiao 邻角
'lin'jiao'lin'leng'huan 邻角邻棱换
'lin'leng 邻棱
'lin'leng'huan 邻棱换
'lin'leng'lin'jiao'huan 邻棱邻角换
'liu'jie 六阶
'liu'jie'mo'fang 六阶魔方
'lu'bi'ke 鲁比克
'mang'ning 盲拧
'mei'gan'cai 梅干菜
'mi'gong'mo'fang 迷宫魔方
'mian'xian'fa 面先法
'ming'hao'zhi 铭浩之
'mo'ban 魔板
'mo'dao'shi 磨刀石
'mo'fang 魔方
'mo'fang'ba 魔方吧
'mo'fang'ba'ju'le'bu 魔方吧俱乐部
'mo'fang'chai'jie 魔方拆解
'mo'fang'ge 魔方格
'mo'fang'jiao'shi 魔方教室
'mo'fang'qun 魔方群
'mo'fang'she 魔方社
'mo'fang'she'tuan 魔方社团
'mo'fang'xie'hui 魔方协会
'mo'sha 磨砂
'mo'sha'zhi 磨砂纸
'mo'yi 模一
'mo'you 魔友
'mo'you'zhi'jia 魔友之家
'mo'yu 魔域
'mo'zhong'mo 魔中魔
'mu'fang 目方
'pai'mo'fang 派魔方
'pai'mo'fang'gong'zuo'shi 派魔方工作室
'pu'er 普二
'pu'yi 普一
'qi'jie 七阶
'qi'jie'mo'fang 七阶魔方
'qi'le 奇乐
'qi'ye 七夜
'qi'yi 奇艺
'qi'yi'mo'fang'ge 奇艺魔方格
'qiao'shi 桥式
'qing'nian'nong'min 青年农民
'quan'feng'bi 全封闭
'run'hua 润滑
'san'jiao'huan 三角换
'san'jiao'san'leng'huan 三角三棱换
'san'jie 三阶
'san'jie'mo'fang 三阶魔方
'san'leng'huan 三棱换
'san'xun'huan 三循环
'san'ye'chong 三叶虫
'se'xiang 色相
'sha'zhi 砂纸
'shan'liang 闪亮
'shan'xing'mo'fang 扇形魔方
'shan'yang'mo'fang'gong'zuo'shi 山羊魔方工作室
'sheng'en 圣恩
'sheng'shou 圣手
'shi'er'jie 十二阶
'shi'er'jie'mo'fang 十二阶魔方
'shi'jie'mo'fang'xie'hui 世界魔方协会
'shi'mo 试模
'shi'mo'ban 试模版
'shi'yi'jie 十一阶
'shi'yi'jie'mo'fang 十一阶魔方
'shi'zi 十字
'shi'zi'tian'shu 十字天书
'shi'zi'zhou 十字轴
'shou'fa'jiao'cheng 手法教程
'shuang'tai 双态
'shuang'tai'shou'fa 双态手法
'si'bu'fa 四步法
'si'guo'yan'yi 四国演义
'si'jiao'huan 四角换
'si'jie 四阶
'si'jie'mo'fang 四阶魔方
'su'long 速龙
'su'ning 速拧
'sun'song'jun 孙崧峻
'tao'bao'dian 淘宝店
'tie'zhi 贴纸
'wa'xi'li 瓦西里
'wei'long 威龙
'wu'hua 无华
'wu'ji 无极
'wu'jie 五阶
'wu'jie'mo'fang 五阶魔方
'wu'mo'fang 五魔方
'wu'que 无缺
'wu'shuang 无双
'wu'xia 无暇
'xiang'long 翔龙
'xiao'jia 小甲
'xiao'wan'hao 小丸号
'xiao'xiao'jia 小小甲
'xiao'yuan 小圆
'xin'ran 欣然
'xing'li'fang 星立方
'ye'guang 夜光
'ye'guang'mo'fang 夜光魔方
'yong'jun 永骏
'you'shi 油石
'yu'qi 域奇
'zhan'xing 占星
'zhang'shen'jia 张砷镓
'zheng'ming'ti 证明题
'zhi'le 智乐
'zhi'mo'fang 纸魔方
'zhi'sheng 智胜
'zhong'ceng 中层
'zhong'dao'you 中岛悠
'zhong'guo'mo'fang'ju'le'bu 中国魔方俱乐部
'zhong'kuai 中块
'zhong'xin'kuai 中心块
'zhu'zhe'ting 朱哲廷
'zhuang'hai'yan 庄海燕
'zong'zi 粽子
'zong'zi'mo'fang 粽子魔方
'zui'shao'bu 最少步
'zui'shao'bu'huan'yuan 最少步还原
'zui'xiao'bu 最小步
'zuo'you'hu'bo'shu 左右互搏术
