'a'jia'te 阿加特
'a'yi'xia 阿伊夏
'ai'lu'di'er 艾卢迪尔
'ai'si'di'er 艾丝蒂尔
'ai'si'di'er 艾斯蒂尔
'ao'li'wei'er 奥利维尔
'cao'wei'yi 草尾毅
'da'er'ke'fa'ke'te 达尔克法克特
'da'he'nei'ya'zi 大河内雅子
'duo'qi 多奇
'gai'xiu 盖修
'gui'ji'xi'lie 轨迹系列
'jin'teng'shang'mei 进藤尚美
'jin'teng'xiao'xing 近藤孝行
'jin'ye'hong'mei 今野宏美
'jin'zi'ying'yan 金子英彦
'kai'wen'ge'la'han'mu 凯文格拉汉姆
'ke'lu'ci 克鲁茨
'la'bi 拉比
'li'si'ya'er'zhen'te 莉丝亚尔珍特
'luo'yi'de 罗伊德
'ma'chang'gui'jie 马场圭介
'mi'xi 咪西
'qi'xing'mo'fa'shi 七星魔法使
'san'shang'zhi'zhi 三上枝织
'sang'dao'fa'zi 桑岛法子
'shen'tian'zhu'wei 神田朱未
'shi'yuan'che'ye 柿原彻也
'shuang'xing'wu'yu 双星物语
'shui'qiao'xiang'zhi 水桥香织
'ti'da 提妲
'ti'ou'pu'la'tuo 缇欧普拉托
'tian'zhong'xiu'xing 田中秀幸
'tu'long'jian 屠龙剑
'wei'yu'gui 梶裕贵
'xi'yuan'jiu'mei'zi 西原久美子
'xiao'si'ke'nan'zi 小寺可南子
'xing'jin'he'xing 兴津和幸
'xue'yuan 学园
'ya'ni'la'si 亚妮拉丝
'ya'te'lu 亚特鲁
'ya'te'lu'ke'li'si'ting 亚特鲁克里斯汀
'yi'su'xi'lie 伊苏系列
'ying'xiong'chuan'shuo'xi'lie 英雄传说系列
'yue'xiu'ya 约修亚
'zhai'he'mi'yue 斋贺弥月
'zhong'wei'liang'ping 中尾良平
'zi'an'wu'ren 子安武人
'zuo'teng'tuo'ye 佐藤拓也
