'a'bu'dun 阿部敦
'cu'dian'xin 粗点心
'cu'dian'xin'zhan'zheng 粗点心战争
'dian'xin'zhi'xia 点心之夏
'ling'mu'da'yang 铃木达央
'lu'tian'cu'dian'xin'dian 鹿田粗点心店
'lu'tian'jiu 鹿田九
'lu'tian'yang 鹿田洋
'teng'yuan'qi'zhi 藤原启治
'yuan'teng'dou 远藤豆
'yuan'teng'sha'ye 远藤沙耶
'zhao'cang'ai'mei 沼仓爱美
'zhi'chui'ying 枝垂萤
'zhu'da'cai'nai 竹达彩奈
