'ai'ai'duan'hang'yan 哀哀断行雁
'ai'bei 哀北
'ai'shen'wei'ren'jia'yang'pi 爱身未忍价羊皮
'ai'ying 哀郢
'ai'zai'liu'shi'nian 哀哉六十年
'ai'zhi'xie'xing'xian'zuo'cao 矮纸斜行闲作草
'an'an'chang'an'lu 黯黯长安路
'an'an'jiang'yun'gua'bu'yu 黯黯江云瓜步雨
'an'chu'wu'sheng'wei'shu'yi 碪杵无声未赎衣
'an'de'chang'fu'yu 安得长肤腴
'an'de'cong'wang'shi 安得从王师
'an'de'hua'liu'san'wan'pi 安得骅骝三万疋
'an'de'jie'zhi'shuai 安得节制帅
'an'de'mao'tou'xia'chu'sao 安得旄头下除扫
'an'de'pi'min'mian'ji'si 安得疲民免饥死
'an'de'sheng'shi'dang'cheng'zhou 安得生世当成周
'an'de'tian'xia'chang'nian'feng 安得天下常年丰
'an'de'tie'yi'san'wan'qi 安得铁衣三万骑
'an'de'yang'bian'chu'san'guan 安得扬鞭出散关
'an'de'yi'jia'chang'zhu'ci 安得移家常住此
'an'de'yuan'long'bai'chi'lou 安得元龙百尺楼
'an'de'zhong'yuan'lu'ru'di 安得中原路如砥
'an'neng'kong'shan'li 安能空山里
'an'wei'zi'gu'you'yi'fu 安危自古有倚伏
'an'zhong'wan'si 庵中晚思
'ang'zhong'you'yu'su 盎中有馀粟
'ba'di'qing'cang'wu'qian'ren 拔地青苍五千仞
'ba'jiu'bu'neng'xiao'ke'hen 巴酒不能消客恨
'ba'jiu'bu'neng'yin 把酒不能饮
'ba'nian'liang'yi'diao'zhu'yan 八年梁益凋朱颜
'ba'qiao'yan'liu 灞桥烟柳
'ba'qiao'yan'liu'zhi'he'xian 灞桥烟柳知何限
'ba'shan'ci'qu'shang'qian'zhong 巴山此去尚千重
'ba'shi'shen'you'jian 八十身犹健
'ba'shi'yu'nian'duo'shao'shi 八十余年多少事
'ba'yue'er'shi'er'ri'jia'zhou'da'yue 八月二十二日嘉州大阅
'bai'chi'cheng'gu'gen 百尺呈孤根
'bai'chi'song'gen'jie'fu'ling 百尺松根结茯苓
'bai'fa'jiang'ru'lao'qu'he 白发将如老去何
'bai'fa'xiao'xiao'yu'man'tou 白发萧萧欲满头
'bai'fa'yi'zhao'xin 白发一朝新
'bai'guai'bu'ke'ming 百怪不可名
'bai'lang'ru'shan'ji'hao'zhuang 白浪如山寄豪壮
'bai'nian'bi'mo'you'shan'li 百年笔墨犹山立
'bai'nian'shu'ding'ding 百年殊鼎鼎
'bai'pao'ru'xue'bao'dao'heng 白袍如雪宝刀横
'bai'ping'feng'xi'lang'wen'ping 白苹风细浪纹平
'bai'qi'he'tan'lie'sheng'qiu 百骑河滩猎盛秋
'bai'qian'xin'mai'lv'suo'yi 百钱薪买绿蓑衣
'bai'she'gu'zheng'fu'ran'nuo 百舍孤征赴然诺
'bai'shou'huan'xiang'yan'jue'wei 白首还乡厌蕨微
'bai'shou'liu'luo'bei'tu'qiong 白首流落悲涂穷
'bai'wan'hu'lu'jin'se'bang 百万呼卢锦瑟傍
'bai'wan'hu'lu'shi'yi'kong 百万呼卢事已空
'bai'wan'yu'lin'ying 百万羽林营
'bai'yun'yi'ban'ken'fen'wu 白云一半肯分无
'bai'zhan'tie'yi'kong'xu'guo 百战铁衣空许国
'bai'zhan'yuan'he'qu'cai'zhou 百战元和取蔡州
'bai'zhu'min'sui'po 白著民碎魄
'ban'han'geng'geng'bu'zi'de 半酣耿耿不自得
'ban'nian'chou'bing'ju 半年愁病剧
'ban'tuo'feng'qian'zi'qi'qiu 半脱风前紫绮裘
'ban'tuo'guan'jin'wo'cui'teng 半脱纶巾卧翠藤
'ban'wo'gu'shan'lai 伴我故山来
'ban'zui'lai'xun'bai'lu'zhou 半醉来寻白鹭洲
'bang'ren'si'gong'sun 邦人祀公孙
'bang'zhou'fa'su'gan'bu'mian 榜舟发粟敢不勉
'bao'chai'yan'wu'guang'zhao'xi 宝钗艳舞光照席
'bao'fu'sui'qi'wei 抱负虽奇伟
'bao'guo'ji'an'chu 报国记安出
'bao'guo'sui'si'bao'ma'ge 报国虽思包马革
'bao'jian'yin 宝剑吟
'bao'yu'da'gong'jiu'bu'huo 宝玉大弓久不获
'bei'can'ga'leng'zheng'bei'xin 杯残朒冷正悲辛
'bei'dou'chui'da'huang 北斗垂大荒
'bei'feng'chui'chuan'heng'ban'du 北风吹船横半渡
'bei'feng'chui'yun'ru'you'ying 北风吹云如有营
'bei'fu'qi'wei'min'shi'zu 陂复岂惟民食足
'bei'ge'ji'zhu 悲歌击筑
'bei'ge'yang'tian'lei'ru'yu 悲歌仰天泪如雨
'bei'meng'qi'jin'shi'zheng'qiang 北盟齐晋势争强
'bei'qiu 悲秋
'bei'shuo'li'zhi'ru'shi'liu 北说荔枝如石榴
'bei'ting'an'xi'wu'han'ying 北庭安西无汉营
'bei'wang 北望
'bei'wang'chang'suan'xin 北望常酸辛
'bei'wang'zhong'yuan'lei'man'jin 北望中原泪满巾
'bei'xiang'kong'han'qin 北乡控函秦
'bei'xiang'tong'ku'you'ke'gao 北乡恸哭犹可告
'bei'zai'bai'fa'weng 悲哉白发翁
'bei'ze'hao'ji'hong 陂泽号饥鸿
'bei'zha'lei'ru'xi 悲吒泪如洗
'bei'zhai 北斋
'ben'yi'mie'lu'shou'he'shan 本意灭虏收河山
'bi'chuang'cha'zao 笔床茶灶
'bi'ji'wei'jing'nie 陛戟畏荆聂
'bi'jian'san'zhang'di'zhu'ming 壁间三丈砥柱铭
'bi'jing'cheng'chen 毕竟成尘
'bi'jing'xiao'mo'qu 毕竟消磨去
'bi'li'zhui'li'du 笔力追李杜
'bi'mo'shang'ke'shu'wei'zhong 笔墨尚可输微忠
'bi'wu'kun'zheng'fu 比屋困征赋
'bian'luo'wo'jiu'du 汴洛我旧都
'bian'qing'you'ke'wang'qiu'jia 便晴犹可望秋稼
'bie'shi'gong'ming 别是功名
'bin'po'ran 鬓皤然
'bin'si'sheng 鬓丝生
'bin'xian'qiu 鬓先秋
'bing'bi'bu'fu'neng'kai'xian 病臂不复能开弦
'bing'gu'zhi'li'sha'mao'kuan 病骨支离纱帽宽
'bing'hai'ning'jiu'cun 病骸宁久存
'bing'hou'shu'yu'shu'huai 病后暑雨书怀
'bing'ji'xie'che'ma 屏迹谢车马
'bing'neng'jia'can'fan 病能加餐饭
'bing'qi'shu'huai 病起书怀
'bing'qi'xie'zhu'xian 并乞谢诸贤
'bing'ru'zhong'nian'ri'yue'qiu 病入中年日月遒
'bo'li'jian'yu'fu 擘荔见玉肤
'bo'lu'ou'jian'ruo'can'xiang 拨炉偶见爇残香
'bo'ming'lai'chan'yan 薄命来谗言
'bo'zhong'zhi'shan'gao'cha'tian 嶓冢之山高插天
'bu'bi'shi'chao'zheng'duo'e 不比市朝争夺恶
'bu'bo'lai'qing'xu 布帛来青徐
'bu'de'wei'feng'di 不得委锋镝
'bu'fang'sui'chu'yi'kai'yan 不妨随处一开颜
'bu'fang'tao'li'zi'feng'shi 不妨桃李自逢时
'bu'fu'ling'yun'bai'chi'lou 不负凌云百尺楼
'bu'fu'ran'jing'zhu 不复染京麈
'bu'gu'bu'gu'jie'quan'geng 布谷布谷解劝耕
'bu'gui'shou'yao'que'cheng'gong 不龟手药却成功
'bu'hen'sheng'ya'si'duan'peng 不恨生涯似断蓬
'bu'jian'dao'tu'nan 不见道途难
'bu'jian'hu'chen'qing 不见胡尘清
'bu'jian'qin'ying'xi'jing'shi 不见秦婴系颈时
'bu'jian'qing'zhong'yuan 不见清中原
'bu'jian'wang'shi'chu'san'guan 不见王师出散关
'bu'neng'shi'bei'zhe'le 不能使悲者乐
'bu'neng'shi'chou'zhe'yan 不能使丑者妍
'bu'pa'nian'tian'lang 不怕黏天浪
'bu'qiu'wei'ban'yi'zhu'mian 布裘未办一铢绵
'bu'ran'fen'kuang'lu 不然愤狂虏
'bu'ru'liu'jun'shuang'jia'hong 不如留君双颊红
'bu'ru'nan'yue'xiong'nu'shi 不如南粤匈奴使
'bu'shi'ren'jian'pian'wo'lao 不是人间偏我老
'bu'si'shu'mei'zhi'guan'chou 不似疏梅只惯愁
'bu'suan'zi'yong'mei 卜算子咏梅
'bu'wei'chou'ren'shuo'du'ling 不为愁人说杜陵
'bu'wei'gu'qiu'si'ling'hai 不为孤囚死岭海
'bu'wei'han'duo'zhi 不畏寒堕指
'bu'wen'ren'yu'wen'bian'sheng 不闻人语闻鞭声
'bu'wu'yu'qian'li 不悟鱼千里
'bu'xian'huang'jin'dai'shi'wei 不羡黄金带十围
'bu'xian'yun'meng'jie'wu'xiong 不嫌云梦芥吾胸
'bu'xu'ling'luo'shi'chou'ren 不须零落始愁人
'bu'xu'mei'hua'bu'cheng'xue 不许梅花不成雪
'bu'xu'tai'sheng'jing'fei'xiang 不须台省竞飞翔
'bu'xu'ting'zhang'su'gong'dao 不须停障肃弓刀
'bu'xue'jing'du'gui'gong'zi 不学京都贵公子
'bu'yong'cai'zhi'jing'shi'su 不用采芝惊世俗
'bu'zhao'xian'sheng'she'jiu'zhong 不照先生社酒中
'bu'zhi'zhong'yun'wai 不知重云外
'bu'zuo'er'cao'yuan'bie'li 不作儿曹怨别离
'cai'cheng'wu'se'qiu 裁成五色裘
'cai'ming'sai'tian'di 才名塞天地
'cai'yao'gui'lai 采药归来
'cai'yao'yun'mi'yu'ai'shan 采药云迷御爱山
'can'chuang'chu'yuan'ju 惨怆出怨句
'can'lu'shang'you'hun 残虏尚游魂
'can'nian'you'you'ji 残年犹有几
'can'nian'zou'ba'xia 残年走巴峡
'can'ru'hei'yi'sang'sheng'hou 蚕如黑蚁桑生後
'can'sheng'cun'she'cai'sang'huang 蚕生村舍采桑黄
'can'xue'mu'hai'jie 残雪暮还结
'can'yu'wei'mian'cong'ren'qi 残余未免从人乞
'cang'ya'zhong'lie'yin'he'fei 苍崖中裂银河飞
'cao'he'gu'gong'wei'yan'qi 草合故宫惟雁起
'cao'jian'hu'tu'bu'xu'jing 草间狐兔不须惊
'cao'jian'shu'bei'he'lao'zhe 草间鼠辈何劳磔
'cao'mei'tai'feng'you'gu'chu 草没苔封犹故处
'cao'mu'yao'luo'zhuang'shi'bei 草木摇落壮士悲
'cao'shu'ge 草书歌
'cao'tang'bai'shao'ling'yi'xiang 草堂拜少陵遗像
'cao'xing'lu'su'gan'ci'lao 草行露宿敢辞劳
'cen'ci'ceng'dian'wu 参差层颠屋
'cen'gong'xi'suo'yu 岑公昔所寓
'ceng'jian'hui'han'bai'liao'di 曾见灰寒百僚底
'ceng'shi'chao'yi'ran'yu'xiang 曾是朝衣染御香
'ceng'shi'jing'hong'zhao'ying'lai 曾是惊鸿照影来
'ceng'tai'piao'miao'ya'cheng'yin 层台缥缈压城闉
