'ba'zi 八字
'ba'zi'guan'xing'tai'duo 八字官星太多
'ba'zi'wu'bi'jie 八字无比劫
'ba'zi'wu'guan'xing 八字无官星
'ba'zi'you'bi'jie 八字有比劫
'ba'zi'you'guan'xing 八字有官星
'bai'hu 白虎
'bai'hu'chi'shi 白虎持势
'bai'la'jin 白腊金
'bei'lu'zhu'ma 背禄逐马
'bi'jian'jie'cai'yu'di'zhi 比肩劫财与地支
'bi'jian'jie'cai'yu'tian'gan 比肩劫财与天干
'bi'jie 比劫
'bi'jie'bang'shen 比劫帮身
'bi'jie'duo'cai 比劫夺财
'bi'jie'ke'cai 比劫克财
'bi'shang'tu 壁上土
'bian'ye'tao'hua 遍野桃花
'bing'chen 丙辰
'bing'shen 丙申
'bing'wu 丙午
'bing'xu 丙戌
'bing'yin 丙寅
'bing'zi 丙子
'cai'duo'shen'ruo 财多身弱
'cai'guan'shuang'mei 财官双美
'cai'lin'mu'ku 财临墓库
'cai'shen'jie'dang 财神结党
'cai'wang'sheng'guan 财旺生官
'cai'xing 财星
'cai'xing'huai'yin 财星坏印
'chai'chuan'jin 钗钏金
'chang'liu'shui 常流水
'chao'yuan'lu 朝元禄
'cheng'qiang'tu 城墙土
'chong'he'lu'ma 冲合禄马
'chong'tai'sui 冲太岁
'chou'yao'si'lu 丑遥巳禄
'cong'cai'ge 从财格
'cong'er'ge 从儿格
'cong'ge'ge 从革格
'cong'sha'ge 从杀格
'da'hai'shui 大海水
'da'hao 大耗
'da'lin'mu 大林木
'da'xi'shui 大溪水
'da'yi'tu 大驿土
'dao'cha'tao'hua 倒插桃花
'deng'ming'zu'yan 登明足艳
'di'zhi 地支
'di'zhi'lian'ru 地支连茹
'ding'chou 丁丑
'ding'hai 丁亥
'ding'mao 丁卯
'ding'si 丁巳
'ding'wei 丁未
'ding'you 丁酉
'dong'xia'shui 洞下水
'fan'tai'sui 犯太岁
'fei'cai 飞财
'fei'tian'lu'ma 飞天禄马
'fo'deng'huo 佛灯火
'fu'de'xiu'qi'ge 福德秀气格
'fu'xiang 伏象
'fu'yin'fan'yin 伏吟返吟
'gan'chen'yi'zi 干辰一字
'gan'lu'lan'ma 赶禄拦马
'gan'zhi'he'lu 干支合禄
'geng'chen 庚辰
'geng'shen 庚申
'geng'wu 庚午
'geng'xu 庚戌
'geng'yin 庚寅
'geng'zi 庚子
'gong'lu'gong'gui 拱禄拱贵
'gou'chen'de'wei 勾陈得位
'gu'guan'wu'fu 孤官无辅
'guan'bian'wei'gui 官变为鬼
'guan'gui 官鬼
'guan'sha'hun'za 官杀混杂
'guan'xing 官星
'guan'xing'an'shang 官星暗伤
'guan'xing'dai'ren 官星带刃
'guan'xing'feng'he 官星逢合
'guan'xing'ru'mu 官星入墓
'guan'xing'tao'hua 官星桃花
'guan'xing'wei'cai 官星卫财
'guan'xing'yu'di'zhi 官星与地支
'guan'xing'yu'jie 官星遇劫
'guan'xing'yu'tian'gan 官星与天干
'guan'yin'xiang'sheng'huo'sha'yin'xiang'sheng 官印相生或杀印相生
'guan'zuo'ren'tou 官坐刃头
'gui'chou 癸丑
'gui'hai 癸亥
'gui'mao 癸卯
'gui'si 癸巳
'gui'wei 癸未
'gui'you 癸酉
'gun'lang'tao'hua 滚浪桃花
'hai'zhong'jin 海中金
'he'lu'ge 合禄格
'he'sha'liu'guan 合杀留官
'hong'luan 红鸾
'hu'huan'gui'lu 互换贵禄
'hu'niu'ben'si 虎牛奔巳
'hu'wu'ben'si 虎午奔巳
'hua'qi'ge 化气格
'huo'kong 火空
'ji'chou 己丑
