'ba'yi'yi'yuan 八一医院
'er'fu'yuan 二附院
'er'tong'yi'yuan 儿童医院
'gu'lou'yi'yuan 鼓楼医院
'han'zhong'lu'hao 汉中路号
'he'xi 河西
'jia'xing'shi'ren'min'yi'yuan 嘉兴市人民医院
'jiang'ning'qu'ren'min'yi'yuan 江宁区人民医院
'jiang'ning'qu'yi'yuan 江宁区医院
'jiang'su'sheng'ren'min'yi'yuan 江苏省人民医院
'jiang'su'sheng'zhong'xi'yi'jie'he'yi'yuan 江苏省中西医结合医院
'jiang'su'sheng'zhong'yi'yuan 江苏省中医院
'jun'zong 军总
'long'jiang 龙江
'ming'ji'yi'yuan 明基医院
'nan'jing'shi'er'yuan 南京市二院
'nan'jing'shi'yi'yuan 南京市一院
'nan'jing'yi'ke'da'xue 南京医科大学
'nan'jing'yi'ke'da'xue'di'er'fu'shu'yi'yuan 南京医科大学第二附属医院
'nan'jing'yi'ke'da'xue'di'yi'fu'shu'yi'yuan 南京医科大学第一附属医院
'nan'yi'da'er'fu'yuan'ben'bu 南医大二附院本部
'nan'yi'da'er'fu'yuan'dong'yuan 南医大二附院东院
'qi'dong'shi'ren'min'yi'yuan 启东市人民医院
'sheng'fu'you 省妇幼
'sheng'ren'yi 省人医
'sheng'zhong 省中
'sheng'zhong'xi'yi'jie'he 省中西医结合
'shi'fu'you 市妇幼
'shi'ren'yi 市人医
'su'bei'ren'min'yi'yuan 苏北人民医院
'su'bei'yi'yuan 苏北医院
'xia'guan'qu'jiang'jia'yuan'hao 下关区姜家园号
'yang'zhou'shi'di'yi'ren'min'yi'yuan 扬州市第一人民医院
'zhong'shan'bei'lu'hao 中山北路号
