'dao'ta'a'ling'dun 刀塔阿灵顿
'dao'ta'bei'mei'yu'xuan'sai 刀塔北美预选赛
'dao'ta'di'qu'yu'xuan'sai 刀塔地区预选赛
'dao'ta'dong'nan'ya'yu'xuan'sai 刀塔东南亚预选赛
'dao'ta'dong'ou'yu'xuan'sai 刀塔东欧预选赛
'dao'ta'guo'ji'yao'qing'sai 刀塔国际邀请赛
'dao'ta'li'ya'de'da'shi'sai 刀塔利雅得大师赛
'dao'ta'meng'huan'lian'sai 刀塔梦幻联赛
'dao'ta'nan'mei'yu'xuan'sai 刀塔南美预选赛
'dao'ta'xi'ou'yu'xuan'sai 刀塔西欧预选赛
'dao'ta'zhong'guo'lian'sai'chun'ji'sai 刀塔中国联赛春季赛
'dao'ta'zhong'guo'lian'sai'dong'ji'sai 刀塔中国联赛冬季赛
'dao'ta'zhong'guo'lian'sai'xia'ji'sai 刀塔中国联赛夏季赛
'dao'ta'zhong'guo'yu'xuan'sai 刀塔中国预选赛
'di'wu'ren'ge'qiu'ji'sai 第五人格秋季赛
'di'wu'ren'ge'qun'xing'tiao'zhan'sai 第五人格群星挑战赛
'di'wu'ren'ge'shen'yuan'de'hu'huan 第五人格深渊的呼唤
'di'wu'ren'ge'ya'zhou'zhou'ji'sai 第五人格亚洲洲际赛
'he'ping'jing'ying'chun'ji'sai 和平精英春季赛
'he'ping'jing'ying'quan'qiu'zong'jue'sai 和平精英全球总决赛
'he'ping'jing'ying'sha'te'dian'jing'shi'jie'bei 和平精英沙特电竞世界杯
'he'ping'jing'ying'xia'ji'sai 和平精英夏季赛
'ji'jia'da'shi'chao'ji'dui'kang'sai 机甲大师超级对抗赛
'jue'di'qiu'sheng'chun'ji'sai 绝地求生春季赛
'jue'di'qiu'sheng'quan'ming'xing 绝地求生全明星
'jue'di'qiu'sheng'quan'qiu'zong'jue'sai 绝地求生全球总决赛
'jue'di'qiu'sheng'xia'ji'sai 绝地求生夏季赛
'jue'di'qiu'sheng'zhou'ji'sai 绝地求生洲际赛
'jue'di'qiu'sheng'zi'ge'sai 绝地求生资格赛
'nian'du'zong'jue'sai 年度总决赛
'shou'wang'xian'feng'lian'sai 守望先锋联赛
'wang'zhe'rong'yao'chun'ji'sai 王者荣耀春季赛
'wang'zhe'rong'yao'qiu'ji'sai 王者荣耀秋季赛
'wang'zhe'rong'yao'shi'jie'guan'jun'bei 王者荣耀世界冠军杯
'wang'zhe'rong'yao'tiao'zhan'zhe'bei 王者荣耀挑战者杯
'wang'zhe'rong'yao'xia'ji'sai 王者荣耀夏季赛
'wu'wei'qi'yue'dong'jing'da'shi'sai 无畏契约东京大师赛
'wu'wei'qi'yue'gai'bian'zhe'quan'qiu'guan'jun'sai 无畏契约改变者全球冠军赛
'wu'wei'qi'yue'jin'hua'zhe'xi'lie'gong'kai'sai 无畏契约进化者系列公开赛
'wu'wei'qi'yue'jin'sheng'sai 无畏契约晋升赛
'wu'wei'qi'yue'lian'sai 无畏契约联赛
'wu'wei'qi'yue'luo'shan'ji'quan'qiu'guan'jun'sai 无畏契约洛杉矶全球冠军赛
'wu'wei'qi'yue'ma'de'li'da'shi'sai 无畏契约马德里大师赛
'wu'wei'qi'yue'man'gu'da'shi'sai 无畏契约曼谷大师赛
'wu'wei'qi'yue'qi'dian'sai 无畏契约启点赛
'wu'wei'qi'yue'shang'hai'da'shi'sai 无畏契约上海大师赛
'wu'wei'qi'yue'yao'qing'sai 无畏契约邀请赛
'wu'wei'qi'yue'yuan'neng'ya'zhou'yao'qing'sai 无畏契约源能亚洲邀请赛
'ying'xiong'lian'meng'chun'ji'sai 英雄联盟春季赛
'ying'xiong'lian'meng'jie'shuo'zhu'chi'bei 英雄联盟解说主持杯
'ying'xiong'lian'meng'quan'ming'xing 英雄联盟全明星
'ying'xiong'lian'meng'quan'ming'xing'zhou'mo 英雄联盟全明星周末
'ying'xiong'lian'meng'quan'qiu'xian'feng'sai 英雄联盟全球先锋赛
'ying'xiong'lian'meng'quan'qiu'zong'jue'sai 英雄联盟全球总决赛
'ying'xiong'lian'meng'sai'ji'ji'qian'qi'hang'sai 英雄联盟赛季季前启航赛
