'ai'cai'ci 爱菜词
'ai'ci'hua'xiang'yu'yue'yin 爱此花香与月阴
'ai'ta'xin'lv'hao 爱他新绿好
'ai'wan'ting'shang'feng'ye'chou 爱晚亭上枫叶愁
'ai'yue'chi'mian'hua'shang'tu 爱月迟眠花尚吐
'ang'ang'qi'xiang'yu'mao'xin 昂昂气象羽毛新
'ba'jiao'shi'nv'tu 芭蕉仕女图
'ba'jiu'dui'yue'ge 把酒对月歌
'ba'kou'qi'nu'bing'gao'ji 八口妻孥并告饥
'ba'ling'fang'cao'meng'zhong'yan 灞陵芳草梦中烟
'bai'ban'men'fei'hong'jin'li 白板门扉红槿篱
'bai'chi'song'shan'tie'di'qing 百尺松杉贴地青
'bai'ma'ceng'qi'ta'hai'chao 白马曾骑踏海潮
'bai'ri'nan'xiao'liang'bin'shuang 白日难消两鬓霜
'bai'tou'ye'hao'zan'hua'duo 白头也好簪花朵
'bai'yun'hong'shu'zhi'duo'shao 白云红树知多少
'ban'ban'dou'zai'bie'ren'jia 般般都在别人家
'ban'jing'xiang'dui'yu'lao'lao 班荆相对语劳劳
'ban'xing'ban'zui'ri'fu'ri 半醒半醉日复日
'ban'zui'lv'xing'huan 半醉驴行缓
'ban'zuo'chi'dai'ban'zuo'long 半作痴呆半作聋
'bao'san'can'fan'chang'zhi'zu 饱三餐饭常知足
'bei'tang'cao'shu'fa'xin'zhi 北堂草树发新枝
'bei'yao'yue'ying'lin'hua'zui 杯邀月影临花醉
'ben'zou'shi'nian'cai'xie'jiao 奔走十年才歇脚
'bi'lin'e'ya'dui'qi'er 比邻鹅鸭对妻儿
'bi'shang'xing'lian'ying 壁上形怜影
'bi'tao'hua'shu'xia 碧桃花树下
'bi'yan'sheng'ya'ku'shi'jian 笔砚生涯苦食艰
'bi'yun'mu'he'ge'hong'lou 碧云暮合隔红楼
'bian'shi'hua'nu'wen'jun'an 便是花奴问君安
'bie'hou'xiang'si'shi'ji'shi 别后相思是几时
'bie'ren'xiao'wo'tei'feng'dian 别人笑我忒风颠
'bie'you'shi'ren'hao'huai'bao 别有诗人好怀抱
'bin'bian'jiu'bai'zeng'xin'bai 鬓边旧白增新白
'bu'dao'da'hai'bu'hui'tou 不到大海不回头
'bu'jian'ti'ying'you'fei'wa 不见啼莺有吠蛙
'bu'jian'wu'ling'hao'jie'mu 不见五陵豪杰墓
'bu'lian'jin'dan'bu'zuo'chan 不炼金丹不坐禅
'bu'qi'zhu'chuang'tou'si'xue 不起竹床头似雪
'bu'ru'zhuo'shi'fan'chen'ran 不入浊世凡尘染
'bu'shang'dong'feng'ye'shi'chi 不赏东风也是痴
'bu'shao'gao'zhu'zhao'fang'zun 不烧高烛照芳樽
'bu'shi'ren'jian'zao'nie'qian 不使人间造孽钱
'bu'sun'xiong'qian'yi'pian'tian 不损胸前一片天
'bu'wei'shang'gu'bu'geng'tian 不为商贾不耕田
'bu'xin'si'hua'sheng'huo'ren 不信死花胜活人
'bu'yi'na'na'fa'xing'xing 布衣衲衲发星星
'bu'yong'you'jian'bu'yong'chou 不用忧煎不用愁
'bu'yuan'ju'gong'che'ma'qian 不愿鞠躬车马前
'bu'zhan'fang'zun'kai'kou'xiao 不展芳尊开口笑
'bu'zhi'yao'dai'ji'shi'huang 不知腰带几时黄
'cai'feng'gu'fei 彩凤孤飞
'cai'feng'gu'qi 彩凤孤栖
'cai'zhi'wei'xi'bu'ke'qing 菜之味兮不可轻
'cai'zuo'hua'bin'you'yue'bin 才作花宾又月宾
'can'chun'xie'wa'shi'dong'guo 残春鞋袜试东郭
'can'dian'an'ma'ta'xie'xun 骖驔鞍马踏斜曛
'can'dian'shi'jie'zhu'chuan'liu 骖驔时节逐川流
'cang'jiang'han'geng'ji 苍江寒更急
'cao'li'gao'di'duo'shao'fen 草里高低多少坟
'cao'wu'chai'men'wu'dian'chen 草屋柴门无点尘
'chai'chui'bao'ji'shen'jiao'xiu 钗垂宝髻甚娇羞
'chai'men'shen'yan'xue'yang'yang 柴门深掩雪洋洋
'chai'mi'you'yan'jiang'cu'cha 柴米油盐酱醋茶
'chang'chang'an'shu'shao'shi'nian 伥伥暗数少时年
'chang'kong'ying'dong'hua'ying'yue 长空影动花迎月
'chang'men'ji'shi 阊门即事
'chang'pi'gui'wo'jiu'mao'heng 猖披归卧旧茅蘅
'chang'xia'shan'cun'shi'xing'you 长夏山村诗兴幽
'chang'you'you 长悠悠
'chao'lai'zhen'shang'yan'ying'ku 朝来枕上眼应枯
'chao'li'guan'duo'zuo'bu'liao 朝里官多做不了
'che'chen'ma'zu'fu'zhe'qu 车尘马足富者趣
'chen'dan'duo'zai'bi'quan'tou 趁淡多在碧泉头
'chen'ji'guan'xin'zi'ke'lian 陈迹关心自可怜
'chen'xiang'ting'bei'leng'quan'nan 沉香亭北冷泉南
'chen'zui'yu'mian'hua'yue'xia 沉醉欲眠花月下
'chi'mian'feng'hui'gong'cu'ju 池面风回公簇聚
'chou'ju'mei'feng'jin'ri'pin 愁聚眉峰尽日颦
'chu'chu'feng'bo'chu'chu'chou 处处风波处处愁
'chu'xi'kou'zhan 除夕口占
'chu'zhong'you'wan'huang'ji'zhou'san'sheng'zi'you'qing'xian'fu 厨中有碗黄齑粥三生自有清闲福
'chun'dao'ren'jian'ren'si'yu 春到人间人似玉
'chun'feng'kan'xing'hua 春风看杏花
'chun'gui'bu'de'zhu'xu'yu 春归不得驻须臾
'chun'hua'qiu'yue'liang'xiang'yi 春花秋月两相宜
'chun'jiang'hua'yue'ye'er'shou'qi'er 春江花月夜二首其二
'chun'jiang'yi'yue'lun 春江溢月轮
'chun'jin'chou'zhong'yu'bing'zhong 春尽愁中与病中
'chun'jin'jing'kan'you'zhuan'tou 春尽惊看又转头
'chun'lai'he'he'qu'cong'cong 春来赫赫去匆匆
'chun'lai'san'yue'xiang'feng'song 春来三月香风送
'chun'lv'xian'ke'dao'shi'jia 春驴仙客到诗家
'chun'san'qiu'jiu'hao'wen'he 春三秋九号温和
'chun'shen'hua'you'ji'shi'hong 春深花有几时红
'chun'shui'lv'fu'shan 春水绿浮山
'chun'xia'qiu'dong'ge'jiu'shi 春夏秋冬各九十
'chun'xia'qiu'dong'nian'zhi'jian 春夏秋冬捻指间
'chun'xiao'hua'yue'zhi'qian'jin 春宵花月值千金
'chun'xiao'yi'ke'qian'jin'jia 春宵一刻千金价
'ci'qing'he'yi'biao'xiang'si 此情何以表相思
'ci'wei'an'neng'bie'cang'sheng 此味安能别苍生
'ci'yan'fan'hua'zhuan'yan'kong 刺眼繁华转眼空
'cong'lai'bu'shi'xi'bian'cao 从来不食溪边草
'cui'hui'zi'xie'jing'zhong'zhen 崔徽自写镜中真
'cui'xiu'san'qian'lou'shang'xia 翠袖三千楼上下
'cun'bian'gao'guan'man'ping'chi 村边高馆漫平池
'cun'weng'san'she'zui'fu'er 村翁散社醉扶儿
