'ban'mo'shao'hou 瓣膜稍厚
'da'xiao'xing'tai 大小形态
'gan'chang'jian'xi 肝肠间隙
'gan'qian'jian'xi 肝前间隙
'gan'zhong'jian'xi 肝中间隙
'guan'bi'zeng'hou 管壁增厚
'hou'ban'sheng'ying 后伴声影
'hui'sheng'zeng'qiang 回声增强
'nang'xing'an'qu 囊性暗区
'qiang'hui'sheng'guang'tuan 强回声光团
'shang'zhong'xia'zhan 上中下盏
'shen'yu 肾盂
'shi'jian'ge'ji'zuo'shi'hou'bi'zeng'hou 室间隔及左室后壁增厚
'ye'xing'an'qu 液性暗区
'you'fang 右房
'zuo'shi 左室
