'a'bu 阿布
'a'nan 阿南
'ai'qing'yi'zhi'xing'zhe 爱情一直醒着
'ai'zai'de'ri'zi 爱在的日子
'ai'zai'xian'jing'de'ri'zi 爱在仙境的日子
'an'shi'zhang'da 按时长大
'ba'la 吧啦
'bai'ran 白然
'bao'bao'lan 暴暴蓝
'bing'qi'ling'ye'lian'ai'le 冰欺凌也恋爱了
'bu'bi'zhi'dao'wo'shi'shui 不必知道我是谁
'chang'qing'ge 唱情歌
'che'jin 车缙
'chen'yi'han 陈意涵
'chun'tian'de'lv'xiu'zi 春天的绿袖子
'ci'wei'xiao'yao'de'zui'hou'yi'ye 刺猬小妖的最后一夜
'dang'chi'bang'zhang'kai'de'shi'hou 当翅膀张开的时候
'dang'ni'gu'dan'ni'hui'xiang'qi'shei 当你孤单你会想起谁
'ding'li'shen 丁力申
'du'yao 毒药
'fei'yue'qing'chun'de'niao'er 飞越青春的鸟儿
'fu'lu'yi 附录一
'gao'lin'lin 高霖霖
'guan'yao'yao'de'feng'hua'xue'yue 管妖妖的风花雪月
'hei'mei 黑妹
'hei'ren 黑人
'hen'ai'hen'ai'ni 很爱很爱你
'hu'die'lai'guo'zhe'shi'jie 蝴蝶来过这世界
'hua'dou'kai'hao'le 花都开好了
'hua'tang'zhi 花糖纸
'hui'zhe'chi'bang'de'nv'hai 挥着翅膀的女孩
'jian'dan'ai 简单爱
'jiang'ai'di'sheng 江爱笛生
'jiang'jiao 蒋皎
'jiang'lan 蒋蓝
'jiang'xin 江辛
'jiang'ya'xi 蒋雅希
'ke'yi'tiao'wu'de'yu 可以跳舞的鱼
'lai'bu'ji'xue'huai 来不及学坏
'lan'tu 蓝图
'li'ai'yi'ge'ju'li 离爱一个距离
'li'er 李珥
'li'ge 离歌
'lin'an 临暗
'lin'geng 林庚
'lin'guo'guo 林果果
'lin'huan'zhi 林涣之
'lin'su'yi 林苏仪
'lin'xiao'hua 林小花
'lin'zhi 林枳
'liu'xin 刘欣
'long'si 龙四
'lu'li 路理
'luo'mei'mei 罗梅梅
'ma'si'chun 马思纯
'ma'zhuo 马卓
'mei'fei'se'wu 眉飞色舞
'mei'you'ren'xiang'wo'yi'yang 没有人像我一样
'meng'xiao'yan 蒙小妍
'mi'guo 秘果
'mi'li 米砾
'mi'nuo'fan 米诺凡
'mi'sha 米砂
'ming'xing'yi'lan 明星伊蓝
'mo'hui 莫晖
'mo'nv'xi'xi 魔女西西
'mo'xing'xing 莫醒醒
'mo'xing'xing'ba'ba 莫醒醒爸爸
'mu'ji'ta'de'xia'tian 木吉他的夏天
'mu'zi'er 木子耳
'nai'nai 奶奶
'nv'sheng'pai 女生派
'qi'ge'ji'mo'de'ri'zi 七个寂寞的日子
'qi'xi 七喜
'qin'qin'wo'de'xiao'bian'zi 亲亲我的小辫子
'qing'ni'gei'wo'hua'yi'ke'yi'mie'de'xing'xing 请你给我画一颗一灭的星星
'rao'xue'man 饶雪漫
'ren'sheng'ruo'zhi'ru'chu'jian 人生若只如初见
'shao'nv'yi'lan 少女伊蓝
'shi'du'zhe'shou'ji 试读者手记
'shi'nian 十年
'shuang'yu'ji 双鱼记
'shui'ke'yi'gei'shui'xing'fu 谁可以给谁幸福
'song'wei'hao 宋伟豪
'tang'yi 糖衣
'tian'ding'ding 田丁丁
'tian'shi'zan'shi'li'qu 天使暂时离去
'tian'suan 甜酸
'tian'tian'tian'lan 天天天蓝
'tiao'pin 调频
'wan'zi 丸子
'wang'xi'wei 王希维
'wang'yu'yue 王愉悦
'wei'xue 微雪
'wo'bu'shi'gui'ma'de'mei'mei 我不是鬼马的妹妹
'wo'bu'shi'huai'nv'sheng 我不是坏女生
'wo'bu'shi'ni'de'yuan'jia 我不是你的冤家
'wo'shi'huai'nv'sheng 我是坏女生
'wo'shi'nv'wu'wo'pa'shui 我是女巫我怕谁
'wo'yao'wo'men'zai'yi'qi 我要我们在一起
'wo'yi'zhi'zai'tao 我一直在逃
'wo'zhi'ji'de'ni'de'hao 我只记得你的好
'wu'dan 吴丹
'wu'ma 伍妈
'wu'ming'ming 吴明明
'xia'hua 夏花
'xia'ji'ji 夏吉吉
'xia'mi'mi 夏米米
'xiang'liu'shui'yi'yang 像流水一样
'xiang'yi'ge'nan'sheng 想一个男生
'xiao'ai 小爱
'xiao'bian'zi 小辫子
'xiao'fu'de'qun'bai 校服的裙摆
'xiao'san'er 小三儿
'xiao'shu 小叔
'xiao'yao'de'jin'se'cheng'bao 小妖的金色城堡
'xiao'zhe 肖哲
'xing'cheng 邢城
'xing'xing'dui'man'tian 星星堆满天
'xu'lin 许琳
'xu'yi 许弋
'xue'man 雪漫
'yan'du'han'tan 雁渡寒潭
'yan'shu'shu 颜舒舒
'yang'li'xuan 杨丽璇
'ye'qi'qi 叶七七
'ye'xiao'ji 叶小寂
'yi'ge'yi'wu 亦歌亦舞
'you'nuo 优诺
'you'ta 尤他
'yu'an'duo 于安朵
'yuan'liang'wo'men'de'shi'qi'sui 原谅我们的十七岁
'za'men'ban 咱们班
'zeng'hao 曾浩
'zhang'guang'ding 张光定
'zhang'yang 张漾
'zhang'yi'shuai 张一帅
'zhao'hai'sheng 赵海生
'zhou'chu'mu 周楚暮
'zhou'you 周游
'zhu'yu'chuan 祝宇川
'zi'wei 紫薇
'zui'shu'xi'de'mo'sheng'ren 最熟悉的陌生人
'zuo'er 左耳
'zuo'er'qian'zhuan 左耳前传
'zuo'er'shuo'ai'wo 左耳说爱我
'zuo'er'zhong'jie 左耳终结
