'a'fu'lue'gu'shi 阿夫略顾视
'a'weng'lue'quan'wei 阿翁略劝慰
'a'ye'fu'guan'qian 阿爷负官钱
'ai'ai'xiang'qing'hao 哀哀向青昊
'ai'ci'xiao'shu'shu'ji'hang 爱此萧疏树几行
'ai'fan'xin'qu'fu'can'qi 爱翻新曲复残棋
'ai'he'you'guang'xing'zai'di 哀壑有光星在底
'ai'ting'hua'mei'niao 爱听画眉鸟
'ai'yan'heng'tian'guan'sai'nan 哀雁横天关塞难
'an'dan'xiang'ti'mo'ying'han 黯淡缃绨墨影寒
'an'de'chang'zhi'ping 安得常治平
'an'de'ji'jin'yi'pang'tuo 安得及今一滂沱
'an'de'pu'tian'mian'dong'nei 安得普天免冻馁
'an'de'xin'gu'dao'wa'pen 安得新酤倒瓦盆
'an'de'xue'ye'fu 安得学野凫
'an'de'zhi'gu'sheng'liu'bo 安得瀄汩生流波
'an'di'sha'yi'he 岸低沙易涸
'an'neng'ce'shen'sui 安能测深邃
'an'neng'geng'zhu'yu'long'hui 安能更逐鱼龙豗
'an'shi'liu'hua'hong'ma'nao 安石榴花红玛瑙
'ao'nao'chan'wang'zao'ba'bing 懊恼孱王早罢兵
'ba'chi'deng'wei'ye'shui'liang 八尺灯帷邺水凉
'ba'feng'wu'ding'chui 八风无定吹
'ba'guan'tao'ling'zha'gui'jia 罢官陶令乍归家
'ba'hen'yan'po'jin 疤痕掩破襟
'ba'jian'duo'zhi'zhong'lun'qun 拔剑堕指忠轮囷
'ba'jiu'tan'fu'ming 把酒叹浮名
'ba'qi'jiang'dong'jiu'ji'liao 霸气江东久寂寥
'ba'qian'zi'di'feng'hou'qu 八千子弟封侯去
'ba'shan'duan'ru'qin 巴山断入秦
'ba'yue'tian'zhong'huang'que'zhuo 八月田中黄雀啄
'ba'yue'wang'wu'ji'yi'xing 霸越亡吴计已行
'ba'zhang'bo'tong'shi'zhu'qi 八丈波同石柱齐
'bai'bai'dan'xin'jin'wei'si 百拜丹心今未死
'bai'cao'huang'yang'wai 白草黄羊外
'bai'cao'lian'tian'jin 白草连天尽
'bai'cao'shuai'ru'zheng'fa'duan 白草衰如征发短
'bai'dao'fei'quan'pen'yu'zhu 百道飞泉喷雨珠
'bai'fa'huang'tou'zhui'xing'chu 白发黄头缀行出
'bai'fa'xi'jing'lao'bu'yi 白发西京老布衣
'bai'fa'xiang'feng'qi'rong'yi 白发相逢岂容易
'bai'fen'yi'tong'ku 拜坟一痛哭
'bai'hong'shu'jun'lei 白虹属军垒
'bai'jia'xiao'ju'hai'cheng'xian 百家小聚还成县
'bai'jin'mai'jun'ma 百金买骏马
'bai'jin'nai'ren'rou 白金乃人肉
'bai'lang'dui'jin'xue'cuo'e 白狼堆近雪嵯峨
'bai'li'sui'qian'li 百里遂千里
'bai'ma'wang'luo'yi'zhu'le 白马王络以珠勒
'bai'mu'bu'neng'yan 拜母不能言
'bai'nian'cai'cha'bu'xian'lao 百年采茶不嫌老
'bai'nian'xin'shi'xiang'yi'men 百年心事向夷门
'bai'qia'qin'peng'yi'shui'qiu 白袷亲朋易水秋
'bai'qian'wan'nian'bu'ru'hui 百千万念不如灰
'bai'quan'tong'yi'xiang 百泉同一响
'bai'sha'ting'pan'di'sheng'ai 白沙亭畔笛声哀
'bai'sha'ting'xia'chao'qian'chi 白沙亭下潮千尺
'bai'shou'shang'feng'chen 白首尚风尘
'bai'ting'chang'zhui'qiao'geng'ji 白梃长椎敲更急
'bai'tou'deng'ying'liang'xiao'li 白头灯影凉宵里
'bai'tou'feng'xue'shang'chang'an 白头风雪上长安
'bai'tou'jian'zhuo'gan'song'qiong 白头蹇拙甘送穷
'bai'tou'su'shu'guo 白头苏属国
'bai'tou'xiang'jian'jiu'zheng'yi 白头相见旧征衣
'bai'tou'yi'lao'zai 白头遗老在
'bai'tou'zao'hu'di'cao'fang 白头灶户低草房
'bai'xi'tong'hou'zui'shao'nian 白皙通侯最少年
'bai'xing'qi'wei'wang'ma 百姓乞为王马
'bai'xue'heng'qian'zhang 白雪横千嶂
'bai'xun'gu'ge'jun'cheng'dong 百寻古阁郡城东
'bai'yan'he'ci'zui 白眼何辞醉
'bai'yan'huang'yun'luo'zhao'heng 白雁黄云落照横
'bai'yang'shang'zuo'ta'ren'shu 白杨尚作他人树
'bai'yu'chu'yang'zhou 白羽出扬州
'bai'zhan'lou'fan'di 百战楼烦地
'bai'zhang'qing'sheng'ke'lian'zi 百丈青绳可怜子
'bai'zhe'qian'hui'dao'hai'xiu 百折千回到海休
'ban'jiang'hong'shu'mai'lu'yu 半江红树卖鲈鱼
'ban'juan'you'wen'zi 半卷有文字
'ban'lou'yue'ying'qian'jia'di 半楼月影千家笛
'ban'ma'zhui'yu'sao 斑马缀玉缫
'ban'shan'hai'xi'yang 半山还夕阳
'ban'sui'shang'ku'han 半岁伤枯旱
'ban'ye'tan'zhou'kan'qiu'yue 半夜檀州看秋月
'ban'zu'feng'gong'shang 办租奉公上
'bang'guan'you'shi'han'jia'ren 傍关犹是汉家人
'bang'sheng'yi'mi'yuan'nan'chu 谤声易弭怨难除
'bao'bian'jun'ma'zhi'can'ying 宝鞭骏马只残营
'bao'bing'luo'yi'shang 包并罗衣裳
'bao'dian'luo'pei'ban'sui'shen 宝钿罗帔半随身
'bao'fu'you'xin'zhong'fu'chu 报父有心终覆楚
'bao'jing'suo'a'niang 抱颈索阿娘
'bao'kan'sang'tian'san'bai'hui 饱看桑田三百回
