'chang'qing'shen'dian 长青神殿
'da'han'di'jun 大瀚帝君
'di'fei'tian 帝非天
'fu'feng 扶风
'fu'feng'hai 扶风海
'fu'yao'huang'hou 扶摇皇后
'gao'wei'guang 高伟光
'huang'you'ming 黄宥明
'lai'yi 赖艺
'liang'yi'mu 梁译木
'liu'yi'jun 刘奕君
'meng'fu'yao 孟扶摇
'po'hai'zhi'ri 破海之日
'qi'zhen 齐震
'qiong'cang 穹苍
'ruan'jing'tian 阮经天
'sheng'zhu 圣主
'tai'yuan 太渊
'tai'yuan'guo 太渊国
'tian'sha 天煞
'tian'sha'lie'wang 天煞烈王
'tian'xia'gui'yuan 天下归元
'wu'ji'guo 无极国
'wu'ji'huang'cheng 无极皇城
'wu'zhou'da'lu 五洲大陆
'wu'zhou'mi'ling 五洲密令
'xuan'ji 璇玑
'xuan'ji'wang'nv 璇玑王女
'ya'lan'zhu 雅兰珠
'yan'jing'chen 燕惊尘
'yang'mi 杨幂
'yun'hen 云痕
'zhan'bei'ye 战北野
'zhang'sun'wu'ji 长孙无极
'zhang'ya'qin 张雅钦
'zong'yue 宗越
