'a'na'qu 阿那曲
'ai'gu'yun 爱孤云
'an'gong'zi 安公子
'an'qing'mo 安庆摸
'an'xiang 暗香
'an'xiang'shu'ying 暗香疏影
'an'yang'hao 安阳好
'ba'bao'zhuang 八宝妆
'ba'gui 八归
'ba'jiao'yu 芭蕉雨
'ba'jie'tong'huan 八节同欢
'ba'liu'zi 八六子
'ba'pai'man 八拍蛮
'ba'sai 八塞
'ba'sheng'gan'zhou 八声甘州
'ba'yin'xie 八音谐
'ba'yu'ci 巴渝辞
'bai'chi'lou 百尺楼
'bai'ge'zi 白鸽子
'bai'he'zi 白鹤子
'bai'mei'niang 百媚娘
'bai'ping'xiang 白苹香
'bai'xin'yue 拜新月
'bai'xing 拜星
'bai'xing'yue 拜星月
'bai'xing'yue'man 拜星月慢
'bai'xuan 白萱
'bai'xuan'ge 白萱歌
'bai'xue 白雪
'bai'xue'ci 白雪词
'bai'yi'jiao 百宜娇
'bai'zi'ling 百字令
'bai'zi'yao 百字谣
'bai'zi'zi 百字字
'ban'deng'lin 伴登临
'ban'yun'lai 伴云来
'bao'chai'fen 宝钗分
'bao'ding'xian 宝鼎现
'bao'lao'cui 鲍老催
'bei'tang'liu 陂堂柳
'bei'tang'liu 陂搪柳
'bei'yang'liu 北杨柳
'bei'zai'xing 悲哉行
'bei'zhong'yue 悲中乐
'bi'chuang'meng 碧窗梦
'bi'mei 比梅
'bi'mei'rong 碧美蓉
'bi'mu'dan 碧牡丹
'bi'mu'yu 比目鱼
'bi'tao'chun 碧桃春
'bi'yu'xiao 碧玉箫
'bi'yun'shen 碧云深
'bie'xian'zi 别仙子
'bie'yuan 别怨
'bin'bian'hua 鬓边华
'bin'yun'song 鬓云松
'bin'yun'song'ling 鬓云松令
'bing'di'fu'rong 并蒂芙蓉
'bo'bu'duan 拨不断
'bo'ming'nv 薄命女
'bo'nv'yuan 蕃女怨
'bo'xing 薄幸
'bo'yu'lang 卜玉郎
'bo'zhao'zi 拨棹子
'bu'bu'jiao 步步娇
'bu'chan'gong 步蟾宫
'bu'hua'jian 步花间
'bu'jian 不见
'bu'pa'zui 不怕醉
'bu'ru'gui'qu 不如归去
'bu'shi'lu 不是路
'bu'shui'chuan 不水船
'bu'suan'zi 卜算子
'bu'suan'zi'man 卜算子慢
'bu'xu'ci 步虚词
'bu'xu'sheng 步虚声
'bu'yue 步月
'cai'cai'ling 采綵令
'cai'cha'zhu'chun'bi 采茶煮春碧
'cai'feng'fei 彩凤飞
'cai'lian'ling 采莲令
'cai'lian'zi 采莲子
'cai'lv'ling 采绿令
'cai'ming'zhu 采明珠
'cai'sang'zi 采桑子
'cai'sang'zi'man 采桑子慢
'cai'yun'gui 彩云归
'cang'wu'yao 苍梧谣
'ce'fan 侧犯
'cha'ping'er 茶瓶儿
'chai'tou'feng 钗头凤
'chang'an'nv 长安女
'chang'chun 长春
