'bu'ci 卜辞
'bu'ci'tong'zuan 卜辞通纂
'bu'gu 卜骨
'bu'jia 卜甲
'bu'zhao 卜兆
'da'ding 大丁
'da'geng 大庚
'da'gui'si'ban 大龟四版
'da'jia 大甲
'da'lao 大牢
'da'shi 大室
'da'shi 大示
'da'shi 大食
'da'si'kong'cun 大司空村
'da'yi 大乙
'da'yi'shang 大邑商
'da'yi'zong 大乙宗
'da'yu 大雨
'da'zi 大子
'dong'zuo'bin 董作宾
'fan'niu 凡牛
'fan'yang 凡羊
'fan'yu 凡雨
'fang'bing 匚丙
'fang'ding 匚丁
'fang'yi 匚乙
'fu'ding 父丁
'guo'mo'ruo 郭沫若
'huang'tian'shu 黄天树
'jia'gu 甲骨
'jia'gu'si'tang 甲骨四堂
'jia'gu'wen'zi'kao'shi 甲骨文字考释
'jia'gu'xue 甲骨学
'luo'zhen'yu 罗振玉
'qiu'xi'gui 裘锡圭
'shang'di 上帝
'shang'jia 上甲
'shang'shi 上示
'shang'yi 上乙
'shi'fang 尸方
'ta'pian 拓片
'tang'lan 唐兰
'tu'fang 土方
'wang'bu 王步
'wang'bu'ruo 亡不若
'wang'chu 王出
'wang'guo'wei 王国维
'wang'huo 亡祸
'wang'lai'jian 亡来艰
'wang'ming 王命
'wang'qi'bin 王其宾
'wang'qi'tian 王其田
'wang'wang 王往
'wang'you 亡尤
'wang'zhan'yue 王占曰
'xia'shi 下示
'xia'wei 下危
'xiao'cai 小采
'xiao'chen 小臣
'xiao'ding 小丁
'xiao'ji 小己
'xiao'jia 小甲
'xiao'lao 小牢
'xiao'shi 小示
'xiao'shi 小食
'xiao'tun'cun 小屯村
'xiao'tun'nan'di'jia'gu 小屯南地甲骨
'xiao'tun'nan'di'jia'gu'shi'wen 小屯南地甲骨释文
'xiao'wang 小王
'xiao'xin 小辛
'xiao'yi 小乙
'xiao'zi 小子
'yin'xu 殷墟
'yu'sui'sheng 喻遂生
'zhang'yu'jin 张玉金
'zhi'ri 之日
'zhi'xi 之夕
