'cai'qiang'ce'kong'fan 踩墙侧空翻
'cai'qiang'hou'kong'fan 踩墙后空翻
'cai'qiang'qian'kong'fan 踩墙前空翻
'cheng'shi'ji'zou 城市疾走
'chuan'yue 穿越
'chun'pao 纯跑
'chun'pao'ku 纯跑酷
'dan'li'bi 单立臂
'dan'shou'ce'guo 单手侧过
'hou'kong'fan 后空翻
'jin'gang'tiao 金刚跳
'kong'fan 空翻
'lan'ren'tiao 懒人跳
'mao'gua 猫挂
'mao'pa 猫趴
'niu'shen'tiao 扭身跳
'pan'pa 攀爬
'pao'ku 跑酷
'pi'dun'tiao 屁墩跳
'qian'kong'fan 前空翻
'shuang'jin'gang'tiao 双金刚跳
'shuang'li'bi 双立臂
'shuang'xing'xing'tiao 双猩猩跳
'tui'qiang'hou'kong'fan 推墙后空翻
'xing'xing'tiao 猩猩跳
'zhi'ti'hou'kong'fan 直体后空翻
'zhuan'lan'gan 转栏杆
'zhuan'qiang 转墙
'zhuan'tai 转台
