'ai'chen 爱臣
'ai'gong 哀公
'ai'gong'wen 哀公问
'ai'ri'jing'lu'cang'shu'zhi 爱日精庐藏书志
'ai'ri'zhai'cong'chao 爱日斋丛钞
'an'duan 按断
'an'lu'ji 安陆集
'an'nan'zhi'lue 安南志略
'an'wan'tang'ji 安晚堂集
'an'wei 安危
'an'wen 按文
'an'ya'tang'ji 安雅堂集
'an'yu 按语
'ao'bo'tu 熬波图
'ao'xuan'yin'gao 傲轩吟稿
'ba'chao'ming'chen'yan'xing'lu 八朝名臣言行录
'ba'jian 八奸
'ba'jing 八经
'ba'mao 巴茂
'ba'mian'feng 八面锋
'ba'qi'man'zhou'shi'zu'tong'pu 八旗满洲氏族通谱
'ba'qi'tong'zhi'tang'lv'shu'yi 八旗通志唐律疏义
'ba'qian'juan'lou 八千卷楼
'ba'qian'juan'lou'shu'mu 八千卷楼书目
'ba'shi 霸史
'ba'shuo 八说
'ba'suo 八索
'ba'suo'jiu'qiu 八索九丘
'ba'wei 跋尾
'ba'xi'ji 巴西集
'ba'xun'wan'shou'sheng'dian 八旬万寿盛典
'ba'yi 八佾
'bai'chuan'shu'zhi 百川书志
'bai'chuan'yuan'wei'tu 百川源尾图
'bai'gu'ji 白谷集
'bai'guan'zhen 百官箴
'bai'guang 白光
'bai'hu'tong 白虎通
'bai'hu'tong'yi 白虎通义
'bai'hua 白华
'bai'jing'lou'cang'shu'ti'ba'ji 拜经楼藏书题跋记
'bai'ju 白驹
'bai'ju'ji'pu 百菊集谱
'bai'ju'yi 白居易
'bai'kong'liu'tie 白孔六帖
'bai'kou 白口
'bai'ma'zhi 白麻纸
'bai'mian'zhi 白绵纸
'bai'na'ben 百衲本
'bai'shi 百诗
'bai'shi 稗史
'bai'shi'dao'ren'ge'qu 白石道人歌曲
'bai'shi'dao'ren'shi'ji 白石道人诗集
'bai'shi'liu'tie 白氏六帖
'bai'shi'shan'fang'yi'gao 白石山房逸稿
'bai'shi'shan'fang'yi'gao 白石山房逸藁
'bai'shu 稗疏
'bai'song'yi'chan'fu'zhu 百宋一廛赋注
'bai'song'yi'chan'shu'lu 百宋一廛书录
'bai'tian'za'zhu 白田杂著
'bai'wen'ben 白文本
'bai'yu'wei 白鱼尾
'bai'yue'xian'xian'zhi 百越先贤志
'bai'yun 白云
'bai'yun'gao 白云稿
'bai'yun'ji 白云集
'bai'yun'qiao'chang'ji 白云樵唱集
'bai'zhai'ji 柏斋集
'bai'zheng'ji 百正集
'bai'zhou 柏舟
'ban'kuang 板框
'ban'ma'yi'tong 班马异同
'ban'ma'zi'lei 班马字类
'ban'xuan'ji 半轩集
'ban'zhi 班志
