'a'li'hong 阿里红
'a'mei'ni'ya'si'mo'jun 阿美尼亚丝膜菌
'a'wei'ce'er 阿魏侧耳
'a'wei'gu 阿魏菇
'a'wei'mo'gu 阿魏蘑菇
'an'fu'te'ke 安浮特克
'an'he'ru'gu 暗褐乳菇
'an'lan'guang'gai'san 暗蓝光盖伞
'an'lin'bai'gui'san 暗鳞白鬼伞
'ba'jiao'sheng'mu'ceng'kong'jun 八角生木层孔菌
'bai'ban'gui'san 白斑鬼伞
'bai'bing'hui'chui 白柄灰锤
'bai'ce'er 白侧耳
'bai'chi'jun 白齿菌
'bai'chu'mo'gu 白杵蘑菇
'bai'ci'lin'e'gao'jun 白刺鳞鹅膏菌
'bai'dan'chao'jun 白蛋巢菌
'bai'duo'kong'jun 白多孔菌
'bai'gu 白菇
'bai'gui'bi 白鬼笔
'bai'hei'hong'gu 白黑红菇
'bai'hei'ni'niu'gan'duo'kong'jun 白黑拟牛肝多孔菌
'bai'huang'xiao'cui'bing'gu 白黄小脆柄菇
'bai'huang'zhan'gai'niu'gan'jun 白黄粘盖牛肝菌
'bai'lin'huan'xiu'san 白鳞环锈伞
'bai'lin'mo'gu 白鳞蘑菇
'bai'mi'kong'jun 白迷孔菌
'bai'qiu'ji'niu'si'mo'jun 白球基牛丝膜菌
'bai'ru'gu 白乳菇
'bai'se'ni'zhi'hu'jun 白色拟枝瑚菌
'bai'song'lu 白松露
'bai'tu'ma'bo 白秃马勃
'bai'ye'ku'bing 白叶枯病
'bai'zhi'hu'jun 白枝瑚菌
'bai'zi'si'mo'jun 白紫丝膜菌
'ban'bei'mao'si'mo'jun 半被毛丝膜菌
'ban'he'kong'jun 班褐孔菌
'ban'kai'yang'du'jun 半开羊肚菌
'ban'pian'xiu'qiu'jun 瓣片绣球菌
'ban'qiu'gai'gu 半球盖菇
'bang'hu'jun 棒瑚菌
'bang'xing'di'shao'jun 棒形地勺菌
'bao'gai'ling'zhi 薄盖灵芝
'bao'huang'he'kong'jun 薄黄褐孔菌
'bao'huang'ji'you'jun 薄黄鸡油菌
'bao'ji'you'jun 薄鸡油菌
'bao'jiao'hei'zhe'san 包脚黑褶伞
'bao'mu'mu'ceng'kong'jun 鲍姆木层孔菌
'bao'shu'ling'zhi 薄树灵芝
'bao'ying'pi'ma'bo 薄硬皮马勃
'bei'bing'zi'ling'zhi 背柄紫灵芝
'bei'chong'cao 北虫草
'bei'shan'hu'jun 杯珊瑚菌
'bei'xing'ci'ge'jun 贝形刺革菌
'bei'xing'tu'ma'bo 杯形秃马勃
'bei'zhuang'mu'ceng'kong'jun 贝状木层孔菌
'bi'bian'hong'gu 篦边红菇
'bian'hei'hong'gu 变黑红菇
'bian'hong'chi'jun 变红齿菌
'bian'lv'zhi'shan'hu'jun 变绿枝珊瑚菌
'bian'ren'ge'jun 扁韧革菌
'bian'se'hong'gu 变色红菇
'bing'hui'bao 柄灰包
'bing'hui'chui 柄灰锤
'bo'kong'jun 钹孔菌
'bo'pi'xian'kong'jun 薄皮纤孔菌
'bo'yuan'duo'kong'jun 波缘多孔菌
'bo'yuan'pan'jun 波缘盘菌
'bu'li'si'mo'jun 布里丝膜菌
'bu'zheng'nang'jun'gang 不整囊菌纲
'can'tuo'ban'e'gao'jun 残托斑鹅膏菌
'cang'bai'ji'you'jun 苍白鸡油菌
'cang'bai'ru'gu 苍白乳菇
'cao'di'mo'gu 草地蘑菇
'cao'gu 草菇
'cao'xun'ge'jun 槽荀革菌
