'an'hui'wei'shi 安徽卫视
'bei'jing'dian'shi'tai 北京电视台
'bei'jing'dian'shi'tai'cai'jing'pin'dao 北京电视台财经频道
'bei'jing'dian'shi'tai'ti'yu'pin'dao 北京电视台体育频道
'bei'jing'wei'shi 北京卫视
'chang'sha'dian'shi'tai 长沙电视台
'chang'sha'gong'gong'pin'dao 长沙公共频道
'chang'sha'nv'xing'pin'dao 长沙女性频道
'chang'sha'xin'wen'pin'dao 长沙新闻频道
'chang'sha'zheng'fa'pin'dao 长沙政法频道
'chong'qing'wei'shi 重庆卫视
'di'yi'cai'jing'pin'dao 第一财经频道
'dong'fang'wei'shi 东方卫视
'dong'feng'wei'shi 东风卫视
'dong'nan'wei'shi 东南卫视
'dong'sen'dian'shi'tai 东森电视台
'fei'cui'wei'shi 翡翠卫视
'feng'huang'wei'shi 凤凰卫视
'feng'huang'wei'shi'dian'ying'tai 凤凰卫视电影台
'feng'huang'wei'shi'mei'zhou'tai 凤凰卫视美洲台
'feng'huang'wei'shi'ou'zhou'tai 凤凰卫视欧洲台
'feng'huang'wei'shi'zhong'wen'tai 凤凰卫视中文台
'feng'huang'wei'shi'zi'xun'tai 凤凰卫视资讯台
'fu'jian'hai'xia'wei'shi 福建海峡卫视
'fu'jian'xin'wen'pin'dao 福建新闻频道
'gan'su'wei'shi 甘肃卫视
'guang'dong'wei'shi 广东卫视
'guang'xi'wei'shi 广西卫视
'guang'zhou'wei'shi 广州卫视
'gui'zhou'wei'shi 贵州卫视
'hai'nan'wei'shi 海南卫视
'he'bei'wei'shi 河北卫视
'he'nan'wei'shi 河南卫视
'hei'long'jiang'wei'shi 黑龙江卫视
'hu'bei'wei'shi 湖北卫视
'hu'nan'gong'gong'pin'dao 湖南公共频道
'hu'nan'jing'ji'dian'shi'tai 湖南经济电视台
'hu'nan'shi'shang'pin'dao 湖南时尚频道
'hu'nan'wei'shi 湖南卫视
'hu'nan'ying'shi'pin'dao 湖南影视频道
'hu'nan'yu'le'pin'dao 湖南娱乐频道
'hua'yu'wei'shi 华娱卫视
'ji'lin'wei'shi 吉林卫视
'jiang'su'cheng'shi'pin'dao 江苏城市频道
'jiang'su'jiao'yu'pin'dao 江苏教育频道
'jiang'su'shao'er'pin'dao 江苏少儿频道
'jiang'su'ti'yu'pin'dao 江苏体育频道
'jiang'su'wei'shi 江苏卫视
'jiang'su'ying'shi'pin'dao 江苏影视频道
'jiang'xi'wei'shi 江西卫视
'kun'ming'dian'shi'tai 昆明电视台
'liao'ning'wei'shi 辽宁卫视
'lv'you'wei'shi 旅游卫视
'nan'jing'dian'shi'tai 南京电视台
'nan'jing'ying'shi'pin'dao 南京影视频道
'nei'meng'gu'wei'shi 内蒙古卫视
'ning'xia'wei'shi 宁夏卫视
'qing'hai'wei'shi 青海卫视
'shan'dong'wei'shi 山东卫视
'shan'xi'wei'shi 陕西卫视
'shan'xi'wei'shi 山西卫视
'shang'hai'dian'shi'tai'dian'shi'ju'pin'dao 上海电视台电视剧频道
'shang'hai'dian'shi'tai'ji'shi'pin'dao 上海电视台纪实频道
'shang'hai'dian'shi'tai'sheng'huo'shi'shang'pin'dao 上海电视台生活时尚频道
'shang'hai'dian'shi'tai'ti'yu'pin'dao 上海电视台体育频道
'shang'hai'dian'shi'tai'xin'wen'zong'he'pin'dao 上海电视台新闻综合频道
'shang'hai'dong'fang'dian'shi'tai'wen'yi'pin'dao 上海东方电视台文艺频道
'shang'hai'dong'fang'dian'shi'tai'xi'ju'pin'dao 上海东方电视台戏剧频道
'shang'hai'dong'fang'dian'shi'tai'xin'wen'yu'le'pin'dao 上海东方电视台新闻娱乐频道
'shang'hai'dong'fang'dian'shi'tai'yin'yue'pin'dao 上海东方电视台音乐频道
'shang'hai'wei'shi 上海卫视
'shang'hai'wen'guang'ji'tuan 上海文广集团
'shen'zhen'wei'shi 深圳卫视
'shi'ba'pin'dao 十八频道
'si'chuan'wei'shi 四川卫视
'tai'bei'guo'ji'wei'xing'dian'shi'wang 台北国际卫星电视网
'tai'wan'dian'shi'tai 台湾电视台
'tai'wan'hong'guan'wei'shi 台湾宏观卫视
'tai'wan'min'shi 台湾民视
'tian'jin'wei'shi 天津卫视
'wei'shi'dian'ying'tai 卫视电影台
'wei'shi'zhong'wen'tai 卫视中文台
'wu'han'wei'shi 武汉卫视
'wu'xi'cheng'shi'zi'xun 无锡城市资讯
'wu'xi'ying'shi 无锡影视
'xi'zang'wei'shi 西藏卫视
'xia'men'wei'shi 厦门卫视
'xiang'gang'xin'zhi'tai 香港新知台
'xiao'xiang'dian'ying'pin'dao 潇湘电影频道
'xin'jiang'wei'shi 新疆卫视
'xing'kong'wei'shi 星空卫视
'ya'zhou'dian'shi'tai 亚洲电视台
'yang'guang'wei'shi 阳光卫视
'yun'nan'dian'shi'tai 云南电视台
'yun'nan'wei'shi 云南卫视
'zhe'jiang'wei'shi 浙江卫视
'zhi'bo'du'shi'pin'dao 直播都市频道
'zhong'hua'dian'shi'gong'si 中华电视公司
'zhong'tian'xin'wen'tai 中天新闻台
'zhong'tian'yu'le'tai 中天娱乐台
'zhong'tian'zong'he'tai 中天综合台
'zhong'yang'dian'shi'tai 中央电视台
'zhong'yang'dian'shi'tai'di'yi'ju'chang'pin'dao 中央电视台第一剧场频道
'zhong'yang'dian'shi'tai'dian'shi'ju'pin'dao 中央电视台电视剧频道
'zhong'yang'dian'shi'tai'dian'ying'pin'dao 中央电视台电影频道
'zhong'yang'dian'shi'tai'feng'yun'zu'qiu'pin'dao 中央电视台风云足球频道
'zhong'yang'dian'shi'tai'gao'er'fu'wang'qiu'pin'dao 中央电视台高尔夫网球频道
'zhong'yang'dian'shi'tai'gao'qing'dian'shi'pin'dao 中央电视台高清电视频道
'zhong'yang'dian'shi'tai'guo'ji'pin'dao 中央电视台国际频道
'zhong'yang'dian'shi'tai'guo'jia'di'li'pin'dao 中央电视台国家地理频道
'zhong'yang'dian'shi'tai'jing'ji'pin'dao 中央电视台经济频道
'zhong'yang'dian'shi'tai'ke'jiao'pin'dao 中央电视台科教频道
'zhong'yang'dian'shi'tai'shao'er'pin'dao 中央电视台少儿频道
'zhong'yang'dian'shi'tai'she'hui'yu'fa'pin'dao 中央电视台社会与法频道
'zhong'yang'dian'shi'tai'ti'yu'pin'dao 中央电视台体育频道
'zhong'yang'dian'shi'tai'wen'yi'pin'dao 中央电视台文艺频道
'zhong'yang'dian'shi'tai'xi'fa'pin'dao 中央电视台西法频道
'zhong'yang'dian'shi'tai'xi'qu'pin'dao 中央电视台戏曲频道
'zhong'yang'dian'shi'tai'xin'wen'pin'dao 中央电视台新闻频道
'zhong'yang'dian'shi'tai'ying'yu'pin'dao 中央电视台英语频道
'zhong'yang'dian'shi'tai'zhong'shi'gou'wu 中央电视台中视购物
'zhong'yang'dian'shi'tai'zong'he'pin'dao 中央电视台综合频道
