'ban'qun 半群
'ban'sui 伴随
'bao'han'guan'xi 包含关系
'bao'han'yu'pai'chi'yuan'li 包含与排斥原理
'bao'he'de 饱和的
'bei'bao'han'guan'xi'ding'xiang 被包含关系定向
'bei'lun 悖论
'ben'yuan'duo'xiang'shi 本原多项式
'ben'yuan'yuan 本原元
'bi'bao 闭包
'bi'ji 闭迹
'bi'xiang 闭项
'bian'du'li'shu 边独立数
'bian'fu'gai 边覆盖
'bian'fu'gai'shu 边覆盖数
'bian'ge'ji 边割集
'bian'huan 变换
'bian'huan'qun 变换群
'bian'ji 边集
'bian'lian'tong'du 边连通度
'bian'se'shu 边色数
'bian'zhuo'se 边着色
'biao'shi 表示
'biao'zhun'dan'xiang'shi 标准单项式
'biao'zhun'man'tai'she 标准满态射
'biao'zhun'mo'xing 标准模型
'bing 并
'bing'ji'gong'li 并集公理
'bing'yun'suan 并运算
'bu'bian'yin'zi 不变因子
'bu'bian'yin'zi'li'xiang 不变因子理想
'bu'dong'dian 不动点
'bu'dui'chen'de 不对称的
'bu'tu 补图
'bu'yuan 补元
'bu'zhi'wen'ti 布置问题
'cai'xiang 猜想
'cha'ji 差集
'cha'yun'suan 差运算
'chang'du 长度
'chang'yong'deng'zhi'shi 常用等值式
'chao'ba'mian'ti'tu 超八面体图
'chao'ji 超积
'chao'lv'zi 超滤子
'chao'mi 超幂
'chao'yue'yuan'su 超越元素
'cheng'fa'yuan'li 乘法原理
'cheng'ji 乘积
'chong'gou'cai'xiang 重构猜想
'chu 出
'chu'ci 出次
'chu'deng'he 初等和
'chu'deng'ji 初等积
'chu'deng'yin'zi'li'xiang 初等因子理想
'chu'hu 出弧
'chu'huan 除环
'chu'shi'dui'xiang 初始对象
'chu'shi'lian'jie'ci 初始联结词
'chuan'di'de 传递的
'ci 次
'ci'shu 次数
'cu 簇
'cun'zai'liang'ci 存在量词
'cun'zai'te'zhi'gui'ze 存在特指规则
'cun'zai'tui'guang'gui'ze 存在推广规则
'cun'zai'zheng'ze'qian'shu'fan'shi 存在正则前束范式
'cuo'wu'han'shu 错误函数
'cuo'wu'mo'shi 错误模式
'dai'fu'hao'de'yi'jie'xi'tong 带符号的一阶系统
'dai'ru'ding'li 代入定理
'dai'shu 代数
'dai'shu'bi'yu 代数闭域
'dai'shu'yuan'su 代数元素
'dan'chao'yue'kuo'yu 单超越扩域
'dan'dai'shu'kuo'yu 单代数扩域
'dan'kuo'yu 单扩域
'dan'she 单射
'dan'she'han'zi 单射函子
'dan'tai'she 单态射
'dan'tong'tai 单同态
'dan'wei'li'xiang 单位理想
'dan'wei'yuan 单位元
'dan'yuan 单元
'dan'yuan'ban'qun 单元半群
'dao'chu'zi'tu 导出子图
'deng'jia'dui'xiang 等价对象
'deng'jia'fan'chou 等价范畴
'deng'jia'guan'xi 等价关系
'deng'jia'ju'zhen 等价矩阵
'deng'jia'lei 等价类
'deng'shi 等势
'di'er'lei'bian'se'tu 第二类边色图
'di'yi'lei'bian'se'tu 第一类边色图
'dian'chuan'di'tu 点传递图
'dian'fu'gai 点覆盖
'dian'ge'ji 点割集
'ding'li 定理
'ding'xiang 定向
'ding'yi'yu 定义域
'du'li'chao'yue'yuan'su 独立超越元素
'du'li'de 独立的
'du'li'ji 独立集
'du'li'shu 独立数
'duan'dian 端点
'dui'chen'cha 对称差
'dui'chen'de 对称的
'dui'chen'qun 对称群
'dui'chen'tu 对称图
'dui'jiao'xian'fa 对角线法
'dui'jiao'xian'han'zi 对角线函子
'dui'ou'fan'chou 对偶范畴
'dui'ou'ming'ti 对偶命题
'dui'ou'shi 对偶式
'dui'ou'tu 对偶图
'dui'ou'yuan'li 对偶原理
'dui'ou'yuan'ze 对偶原则
'dui'xiang 对象
'dui'ying'de'tong'yong'ying'she 对应的通用映射
'duo'chong'tu 多重图
'duo'mian'ti'gong'shi 多面体公式
'duo'xiang'shi 多项式
'duo'xiang'shi'biao'shi'fa 多项式表示法
'duo'xiang'shi'huan 多项式环
'duo'xiang'shi'ma 多项式码
