'a'dui'dui'dui 啊对对对
'ai'hua 爱华
'an'dao 暗道
'an'quan'chu'suo 安全处所
'an'te'wei'pu 安特卫普
'an'ying 暗影
'an'ying'shuang'bi 暗影双匕
'ao'cao 凹槽
'ao'la'fu 奥拉夫
'bai'cai 白菜
'bai'che 白车
'bai'gei 白给
'bai'gei'le 白给了
'bai'gei'wei 白给位
'bai'yan'tu 白眼兔
'ban'gong'shi 办公室
'ban'jia 半甲
'ban'qi 半起
'bao'bao 堡堡
'bao'dian 包点
'bao'dian 报点
'bao'le 保了
'bao'mi 保密
'bao'qiang 保枪
'bao'sha 爆杀
'bao'shan 爆闪
'bao'tou'wei 爆头位
'bao'yan 爆烟
'bao'yi'lie'dao 鲍伊猎刀
'bei'shen 背身
'bi'lu 壁炉
'bi'shou 匕首
'bian'zheng'wei 卞正伟
'biao'mian'cui'huo 表面淬火
'bo'lin 柏林
'bo'shi'dun 波士顿
'bu'diao 补掉
'bu'qiang 补枪
'bu'zhang 布章
'can'ju 残局
'can'le 残了
'can'xue 残血
'cang'ku 仓库
'cang'ku'tu'ji 仓库突击
'cao'che 草车
'cao'dui 草堆
'cao'duo 草垛
'ce'bu 侧部
'ce'dao 侧道
'ce'men 侧门
'ce'suo 厕所
'ce'suo'kou 厕所口
'cha'che 叉车
'chai'bao 拆包
'chang'deng 长凳
'chang'guan 长管
'chang'gui 尝龟
'chang'gui 常规
'chang'lang 长廊
'chang'xiang 长箱
'chang'yi 长椅
'chao'shi 超市
'che'ku 车库
'che'wei 车位
'chen'xiao'xiang 陈小象
'chen'zi'jing 陈子敬
'chu'cang'jian 储藏间
'chuan'chang'dao 穿肠刀
'chuan'shuo 传说
'chuang'kou 窗口
'chui'feng'ji 吹风机
'ci'dao 刺刀
'cui'huo 淬火
'da'bo'luo 大菠萝
'da'dao 大道
'da'jiao 打脚
'da'jie'jie 大姐姐
'da'ju 大狙
'da'ju 打狙
'da'keng 大坑
'da'ma'shi 大马士
'da'ma'shi'ge'gang 大马士革钢
'da'qie'zi 大茄子
'da'sha 大厦
'da'shi 大师
'da'tou 打头
'da'za 打杂
'dan'che 单车
'dan'xiang 单向
'dan'xiang'yan 单向烟
'dan'zong 蛋总
'dao'ju 道具
'dao'mei'dan 倒霉蛋
'dao'ta 刀他
'de'yun'liang'gui 德云两鬼
'deng'zhu 灯柱
'deng'zhu'shan 灯柱闪
'deng'zi 凳子
'di'ping'xian 地平线
'di'tai 低台
'di'tu 地图
'dian'ji'qiang 电击枪
'dian'jing 电竞
'dian'ti 电梯
'dian'zi'ge 电子哥
'diao'bao 掉包
'dong'gua'qiang 冬瓜强
'dong'ji'gong'shi 冬季攻势
'duan'guan 短管
'duan'hou 断后
'duan'jian 短剑
'duan'xiang 短箱
'dui'zhan'ping'tai 对战平台
'dui'zhuan'ping'tai 对转平台
'duo'pu'le 多普勒
'er'ceng 二层
'er'dao 二道
'er'lou 二楼
'er'xi'mo'fu 二西莫夫
'er'xiang 二箱
'fa'ba 发把
'fa'ma'si 法玛斯
'fa'qiang 发枪
'fan'chong 反冲
'fan'jia 反架
'fan'qing 反清
'fang'ding 房顶
'fei'chang'gui 非常规
'fei'fan 非凡
'fei'jia 匪家
'fei'kou 匪口
'fei'pen 匪喷
'fei'ting 匪厅
'feng'huang 凤凰
'fu'gui 富贵
'fu'zhi'hai 付志海
'fu'zhu'shan 辅助闪
'ga'ma 伽马
'ga'ma'duo'pu'le 伽马多普勒
'ga'ma'er'hao 伽马二号
'gan'la 干拉
'gao'ji 高级
'gao'tai 高台
'ge'luo'ke 格洛克
'gong'di 工地
'gong'ju 工具
'gong'men 拱门
'gong'ye'ji 工业级
'gou'dong 狗洞
'gou'jiao'che 狗叫车
'gu'bao 古堡
'gu'bao'ji'zhan 古堡激战
'gu'li'guo 古力果
'guai'ka 怪咖
'guan'cai 棺材
'guan'dao 管道
'guan'dao'kou 管道口
'guan'fang 管房
'guan'pi 官匹
'guang'pu 光谱
'guang'pu'er'hao 光谱二号
'gun'dao 滚刀
'guo'fu 国服
'guo'ji'fu 国际服
'guo'lu'fang 过路房
'hai'bao'duan'dao 海豹短刀
'han'bao'bao 汉堡包
'hao'bai 好白
'hao'jie 浩劫
'hao'ka'a 好卡啊
'he'zi'wei'ji 核子危机
'hei'se'mei'ying 黑色魅影
'hong'fang 红房
'hong'lou'ti 红楼梯
'hong'tan 红毯
'hong'xiang 红箱
'hou'yuan 后院
'hu'die'dao 蝴蝶刀
'hu'pan'ji'zhan 湖畔激战
'hu'xi 呼吸
'hu'ya 虎牙
'hua'tan 花坛
'hua'yuan 花园
'huan'cai 幻彩
'huan'cai'er'hao 幻彩二号
'huan'cai'san'hao 幻彩三号
'huang'che 黄车
'huang'fang 黄房
'huang'mo'mi'cheng 荒漠迷城
'hui'he 回合
'huo'jia 货架
'ji'fang 机房
'ji'fang 鸡房
'ji'hui 机会
'ji'liu 激流
'ji'liu'da'xing'dong 激流大行动
'ji'qiao 技巧
'ji'sheng'bi'shou 系绳匕首
'ji'ting 急停
'ji'xie'gong'ye 机械工业
'jia'da 假打
'jia'li'er 加利尔
'jia'men 假门
'jia'qiang 架枪
'jia'shi 驾驶
'jia'shi'shou'tao 驾驶手套
'jian'bian 渐变
'jian'bian'da'li'shi 渐变大理石
'jian'bian'zhi'se 渐变之色
'jian'dan'nan'hai 简单男孩
'jian'guan 监管
'jiao'tang 教堂
'jie'ge 杰哥
'jie'ti 阶梯
'jie'ti'chang 解体厂
'jin'dian 近点
'jin'ku'wei'ji 金库危机
'jing'bu 静步
'jing'ji 竞技
'jing'ji'ju 经济局
'jing'jia 警家
'jing'pen 警喷
'jing'ting 警厅
'jing'ying'zhi'zuo 精英之作
'jiu'cai'he'zi 久菜合子
