'ba'hu 八胡
'ba'hu'qiao'yao 八胡敲爻
'ba'lou 捌樓
'bai'hua'tan 百花潭
'bai'xiao 白小
'bei'yin'ji 北音集
'bo'hun 伯昏
'bo'hun'zi 伯昏子
'cai'wei 采薇
'chun'bing'ji 春冰集
'chun'ke 莼客
'chun'lu 莼鱸
'chun'lu'gui'ke 莼鱸歸客
'dao'ba'wu 刀把五
'du'sui 杜隨
'fa'chu'fu'mei 髪初覆眉
'feng'wu 鳳五
'fo'ye 佛爺
'fu'yi'ji 芣苡集
'gan'tang 甘棠
'gan'tang'shi'she 甘棠詩社
'gao'shu 高樹
'gao'shu'wan'chan 高樹晚蟬
'gong'sang'zhao'hai 紅桑照海
'gong'tai 公泰
'guai'wei'zai 怪未哉
'guan'zhai 慣齋
'guang'ming'ding 光明頂
'han'shan'yi'dai 寒山一帶
'he'lan'xue 賀蘭雪
'he'tang'ji 荷塘集
'hen'bi'chun'shen 恨比春深
'hu'ma 胡馬
'hu'nao 狐鬧
'hu'seng 胡僧
'hua'qing 花青
'huo'li'zi'gao 霍里子高
'jia'ming 假名
'jie'shuang'cheng 解雙城
'jin'si 近思
'jing'xuan'zi 靜玄子
'jiu'bang 舊邦
'ju'ou 具漚
'ju'ou'sheng 具漚生
'ju'zhai 菊齋
'jun'chi 軍持
'kan'zhu'cheng'bi 看朱成碧
'kan'zhu'cheng'bi 看珠成璧
'kong'hua'ji 空花集
'lao'he'shang 老和尚
'lao'jiao'hua 老叫化
'lao'jun 老軍
'lao'peng 老碰
'lao'zei 老賊
'lin'ping 臨屏
'liu'ru'yan 柳如煙
'liu'she 留社
'luo'hua'feng'yu 落花風雨
'lv'cu'ji 履錯集
'meng'yi'yi 孟依依
'mo'shuang'xiao'pin 無雙小品
'nan'hua'di'zi 南華帝子
'nv'meng'chang 女孟嘗
'peng'bi 碰壁
'peng'bi'zhai'zhu 碰壁齋主
'qing'feng 青鳳
'qing'shan'ke'zui 青衫客醉
'que'li'fo 雀離佛
'rang'mei 讓眉
'san'xiu'ge 三休閣
'she'diao'shou 射雕手
'shi'gong'she 詩公社
'shi'ren'shan 石人山
'shi'rou'shou 食肉獸
'shi'san'bai 詩三百
'shi'shi 噓噓
'shi'tang 噓堂
'shi'yan'ti 實驗體
'shi'yu'an 時雨庵
'shu'ba 書霸
'shu'tong 殊同
'shuang'ren 雙刃
'su'mo'ming 蘇無名
'su'zi'liao'zhai 蘇子聊齋
'ta'ji'yu 獺祭魚
'tang'feng 唐風
'tian'tai 天臺
'tian'wu 天吳
'tian'xue 添雪
'tian'ya'gu'zhou 天涯孤舟
'tong'guang'ti 同光體
'tui'wan 退萬
'tui'wan'ji 退萬集
'wan'cheng 晚成
'wan'jing 萬鏡
'wan'jing'ji 萬鏡集
'wang'shi'ji 往事集
'wang'xing'ke 王星客
'wang'zhai 忘齋
'wen'yan'jiu'bang 文言舊邦
'wen'yu'zhai 問余齋
'wen'yu'zhai'zhu'ren 問余齋主人
'xi'cheng 西城
'xi'si 西絲
'xia'hou'yan 夏侯雁
'xia'shuang'ren 夏雙刃
'xiang'ma 響馬
'xiang'pi 象皮
'xiao'wei 小微
'xiao'wei'hu'hui 小微許回
'xiao'xiao 小小
'xie'pan'zi 鞋襻子
'xie'qing'qing 謝青青
'xu'mi'zuo 須彌座
'xue'dao'men 血刀門
'xue'ni 雪泥
'yan'he 燕河
'yan'tai 燕臺
'yang'liu'kun 楊柳困
'yang'mo'guo 楊無過
'yang'qi'ji 楊棄疾
'yi'piao'ji 一瓢集
'yi'ren 異人
'yi'sun'ji 一損集
'yi'xiang'ji 異鄉集
'ying'zhi 郢芷
'you'mo'shan'ren 有無山人
'you'suo'shi 有所詩
'yu'you'zhuo 魚有捉
'yue'chu'ji 月出集
'yue'ru 月如
'yue'yi'ran 月依然
'yun'yi 雲衣
'yun'zhong'yu'yi'zi 雲中羽衣子
'zhen'bu'jie 甄不解
'zhu'ba'ba 朱八八
'zhu'qi'qi 朱七七
'zhu'wan'qing 祝宛青
'zhuo'you'yu 卓有余
'zi'yu 紫雨
'zui'wo'chang'an 醉臥長安
