'a'mu'bu'jia'nv 阿母不嫁女
'a'na'zi'sheng'feng 阿娜自生风
'a'ye'bian'gui'guan'qie'zhu 阿爷便归官且住
'a'zi'fu'chuang'qi 阿姊扶床泣
'a'zi'qun'lian'xian'deng'ji 阿姿裙练先登机
'ai'ai'dou'cheng'nei 蔼蔼都城内
'ai'chen'ru'jian'lian 埃尘如见恋
'ai'er'pian'pian'bai'xue'yi 爱尔翩翩白雪衣
'ai'hu'xiao'ting'po'hu'tian 爱呼小艇破湖天
'ai'sha'jiang'nan'yun'mu'zhou 爱杀江南云母舟
'an'de'bi'er'qi'si'tie 安得臂尔骑驷驖
'an'de'shen'ru'lie'yu'kou 安得身如列御寇
'an'de'yi'xi'kong'gan'ge 安得一洗空干戈
'an'liao'shu'hong'shui'xing'qing 岸蓼疏红水荇青
'an'pin'jian'yang'lao 安贫兼养老
'an'seng'jin'yan'jing 庵僧近掩荆
'ang'ran'gong'teng'huan 昂然共腾欢
'ao'ying'wang'chuan'ye'wang'you'cheng'ci 敖英辋川谒王右丞祠
'ba'jian'kui'yang'fa'reng'li 拔剑刲羊发仍立
'ba'jiu'xiang'hu'lei'yu'fen 把酒相呼泪雨棼
'ba'nian'bu'gui'zi'mei'jia 八年不归姊妹家
'ba'tu'wu'yong'sui 霸图无永岁
'ba'wan'zi'zhen'gui 把玩自珍贵
'ba'yue'chui'ge'huang 八月吹葛黄
'bai'chi'jiang'qi'zhi'dao'pang 百尺降旗轵道旁
'bai'di'dao'jiang'ling 白帝到江陵
'bai'duo'chai'huan'huan'jiu'gu 白夺钗镮换酒沽
'bai'fa'qing'qun'bu'li'zhuang 白发青裙不理妆
'bai'fa'shi'lai'yin'xiao'pin 白发时来引笑频
'bai'gu'gao'yu'tai'hang'xue 白骨高于太行雪
'bai'gu'jin'wei'lou'yi'zi 白骨今为蝼蚁胾
'bai'gu'san'jia'shi 白骨三家市
'bai'he'shan'dan'man'tou'cha 百合山丹满头插
'bai'hui'luo'wu'yi 百卉落无遗
'bai'huo'qian'shang'ji'cheng'yi 百货千商集成蚁
'bai'jin'zong'you'fei'di'chan 白金纵有非地产
'bai'lang'shan'shan'shan'shui'ya 白浪闪闪山水亚
'bai'li'wu'yuan'xi 百里无原隰
'bai'lu'xia'yu'chu 白露下玉除
'bai'ma'gui'gong'zi 白马贵公子
'bai'nian'duo'shi'gong'shui'lun 百年多事共谁论
'bai'nian'feng'ri'ji'chong'yang 百年风日几重阳
'bai'nian'fu'gui'he'zu'shi 百年富贵何足恃
'bai'nian'ku'gu'que'nan'fan 百年枯骨却南返
'bai'nian'rong'wo'bao 百年容我饱
'bai'nian'sheng'zhang'di 百年生长地
'bai'ri'feng'chen'chi'yi'qi 白日风尘驰驿骑
'bai'ri'heng'shi'xiang'guan'lu 白日横尸向官路
'bai'ri'jun'xin'huan'bu'zu 白日君心欢不足
'bai'ri'qian'nian'ci'yi'lin 白日千年此一临
'bai'ri'qian'ren'shuo'bing'shi 白日牵人说兵事
'bai'ri'qing'tian'chu'chu'can 白日青天处处残
'bai'ri'shan'tou'xia 白日山头下
'bai'shou'kan'tu'si'meng'zhong 白首看图似梦中
'bai'shou'zhu'shu'cheng 白首著书成
'bai'sui'qi'zhi'liao'yi'shen 百岁岂止疗一身
'bai'tou'ji'ju'you'shui'zheng 白头箕踞有谁争
'bai'tou'mu 白头母
'bai'tou'wen'jian'shao 白头闻见少
'bai'xue'ge'han'tie'yan'cun 白雪歌寒铁砚存
'bai'yan'hong'jin'duo'duo'zai 白盐红锦多多载
'bai'yang'shu'xia'shui'jia'fen 白杨树下谁家坟
'bai'yu'nian'lai'hua'qin'niao 百余年来画禽鸟
'bai'yun'hai'se'shu 白云海色曙
'bai'yun'kong'cui'dong'ting'shan 白云空翠洞庭山
'bai'yun'qiu'se'tai'hang'duo 白云秋色太行多
'bai'yun'san'si'duo 白云三四朵
