'a'duo 阿多
'a'duo'ni'si 阿多尼斯
'a'mei'jing'gu 阿妹胫骨
'a'men 阿门
'ai'gou'ren'shi 爱狗人士
'ai'la 爱拉
'ba'ri'he 巴日和
'bai'niao 白鸟
'bai'niao'ai'la 白鸟爱拉
'bai'niao'lan'liang 白鸟蓝良
'bei'dou 北斗
'bian'tai'jia'mian 变态假面
'biao'yan'bu 表演部
'bing'ying'bei'dou 冰鹰北斗
'bu'zhang 部长
'cha'hua'hui 茶话会
'chuang'chuang 创创
'chuang'mei 创妹
'chuang'zuo'guai'wu 创作怪物
'chun'chuan'zhou 春川宙
'ci'shu 茨塾
'cui'cui 翠翠
'da'shen 大神
'da'shen'huang'ya 大神晃牙
'da'xing'xing 大星星
'dan'xi 丹希
'dan'xi'chu'fang 丹希厨房
'dui'zhang 队长
'fang'song'wei'yuan'hui 放送委员会
'feng'zao'xun 风早巽
'fu'hui'zhang 副会长
'fu'jian'gong'xian 伏见弓弦
'fu'suo'zhang 副所长
'fu'tuan'zhang 副团长
'gao'feng 高峯
'gao'feng'cui 高峯翠
'gong'dao'bu 弓道部
'gong'xian 弓弦
'gong'zhu 公主
'gui'long'hong'lang 鬼龙红郎
'hai'yang'sheng'wu'bu 海洋生物部
'hao'ri'he 好日和
'he'mei'lu 何美露
'hei'se'liu'xing 黑色流星
'hong'cha'bu 红茶部
'hong'lang 红郎
'hong'mao'mo'zi 红毛末子
'hong'se'liu'xing 红色流星
'hong'yue 红月
'hu'po 琥珀
'hu'po'qin 琥珀亲
'hu'zi 虎子
'hua'dao'bu 花道部
'huai'ri'he 坏日和
'huang'se'liu'xing 黄色流星
'huang'ya 晃牙
'hui'zhang 会长
'ji'gong'tao'li 姬宫桃李
'jian'tuan 碱团
'jing'li 敬礼
'jing'ren 敬人
'jing'ren'shu 敬人塾
'ju'tuan 剧团
'kai'guan 开关
'kao'si'pu'luo 考斯普洛
'kong'shou'dao'bu 空手道部
'kui'ri'xiang 葵日向
'kui'shuang'zi 葵双子
'kui'yu'tai 葵裕太
'la'bi'ci 蜡笔次
'lai'ming'quan 濑名泉
'lan'jie 岚姐
'lan'liang 蓝良
'lan'qiu'bu 篮球部
'lan'se'liu'xing 蓝色流星
'lang'man'xi'ju 浪漫喜剧
'lao'gong 老弓
'lei'ou 雷欧
'li'lai'zhen'xiao 礼濑真宵
'li'zi 栗子
'li'zi'lin 李子林
'lian'chun 涟纯
'lian'si'jing'ren 莲巳敬人
'lin'yin 燐音
'lin'yue 凛月
'ling'ming 玲明
'ling'ming'che'shen 玲明车神
'liu'su'hu'wai'dui 留宿户外队
'liu'xing'dui 流星队
'lv'se'liu'xing 绿色流星
'ma'duo 玛朵
'ma'duo'jie 玛朵姐
'ma'you 麻油
'man'hua'hui 漫画会
'mao'liu 昴流
'mao'mao 毛毛
'mei'jia 美伽
'men'lao'shi 门老师
'men'zhang'chen 门章臣
'ming'shang'lan 鸣上岚
'ming'xing 明星
'ming'xing'mao'liu 明星昴流
'mo'fa 魔法
'nai'ci 奶次
'nan'yun'tie'hu 南云铁虎
'ni'xian'xia'mu 逆先夏目
'pu'luo'diu'sang 普罗丢桑
'qi'zhong'ci 七种茨
'qian'bei 前辈
'qian'qiu 千秋
'qin'lue 侵略
'qing'ye'fang 青叶纺
'qing'yin'bu 轻音部
'quan'da'jiao'ti 泉打脚踢
'ren'ren 忍忍
'ren'tu 仁兔
'ren'tu'cheng'ming 仁兔成鸣
'ren'zhe'tong'hao'hui 忍者同好会
'ri'he 日和
'ri'he'gong'zhu 日和公主
'ri'ri'shu 日日树
'ri'ri'shu'she 日日树涉
'ri'xiang 日向
'sa'ma 飒马
'san'mao'gao'ban 三毛缟斑
'shan'shan'fa'guang 闪闪发光
'shao'ye 少爷
'she'ge'ge 涉哥哥
'shen'hai 深海
'shen'hai'dian'xia 深海殿下
'shen'hai'zou'tai 深海奏汰
'shen'mi'bu 神秘部
'shen'qi'sa'ma 神崎飒马
'sheng'ren 圣人
'sheng'wu'jian 生物碱
'sheng'wu'ju'le'bu 生物俱乐部
'shou'gong'yi'bu 手工艺部
'shou'ze'qian'qiu 守泽千秋
'shuang'zi 双子
'shui'shen'ji 水神姬
'shui'shen'ji'lao'shi 水神姬老师
'shuo'jian'li'zi 朔间栗子
'shuo'jian'lin'yue 朔间凛月
'shuo'jian'ling 朔间零
'shuo'jian'xiao'ling 朔间小零
'si'tang 司糖
'tang'cu'li'yu 糖醋鲤鱼
'tao'li 桃李
