'a'jie 阿杰
'an'ji'er 安吉尔
'an'la'bo 鞍拉伯
'an'ying'shan'dian 暗影闪电
'an'ying'tian'ma 暗影天马
'ao'bao 澳宝
'ao'ta'wei'ya 奥塔维雅
'bai'jin'gong'zhu 白金公主
'bai'ma'wang'zi 白马王子
'bai'yin'shao'shao 白银勺勺
'bao'huo 爆火
'bao'lan'sha'sha 宝蓝莎莎
'bao'ma'wang'zi 宝马王子
'bei'er 贝儿
'bei'gao 杯糕
'bi'qi 碧琪
'bian'xing'chong 变形虫
'biao'feng 飚风
'bu'ding'tou'zong'li 布丁头总理
'bu'lei'ben 布雷本
'bu'lu'mu'bo 布鲁姆伯
'cai'hong'gong'chang 彩虹工厂
'cai'hong'xiao'ma 彩虹小马
'cai'ni 采妮
'cai'niao'xian'sheng 菜鸟先生
'chao'wei'da'chao'shen'qi'cui'qian 超伟大超神奇崔茜
'che'li'zi 车厘子
'chong'jian'nv'wang 虫茧女王
'chou'chou'qian 臭臭钱
'chou'qian 臭钱
'chu'ju 雏菊
'ci'er'tou 刺儿头
'cong'cong 聪聪
'cong'ming'qu'qi 聪明曲奇
'cui'ke'qian 崔克茜
'cui'si 翠丝
'da'ben'chi'qing'dian 大奔驰庆典
'da'mai 大麦
'da'pi'gu'gong'zhu 大屁股公主
'dai'xiao'duo 呆小多
'dan'gao'fu'ren 蛋糕夫人
'dan'gao'tai'tai 蛋糕太太
'dan'gao'xian'sheng 蛋糕先生
'dong'ji'da'sao'chu 冬季大扫除
'dou'ding 豆丁
'e'meng'zhi'ye 噩梦之夜
'fang'tang'jiao'luo 方糖角落
'fang'tang'tian'dian'wu 方糖甜点屋
'fei'ban'lu 飞板璐
'fei'cheng 吠城
'fei'huo 飞火
'fei'li'da'fei'ya 菲利达菲亚
'fei'luo'mi'na 菲洛米娜
'fei'ni'si'xiao'jie 菲尼斯小姐
'ga'mi 嘎米
'gao'fei 高飞
'guo'zhi'ji 果汁季
'hai'zhi'bao 孩之宝
'hai'zhi'biao 孩之婊
'hao'er'wei'si 豪尔威斯
'hong'long 轰隆
'hong'yu 鸿羽
'hua'hua'duan'ku 花花短裤
'huan'xing'ling 幻形灵
'huan'xing'zu 幻形族
'huo'yi'te'tuo'yi'te 霍伊特托伊特
'ji'er'da 吉尔达
'jian'jian 剪剪
'jiao'tang'zai 焦糖仔
'jie'mei'lian'xin'lian'yi'hui 姐妹连心联谊会
'jie'mei'you'yuan'hui 姐妹游园会
'jin'se'feng'shou'hai'zhi'bao 金色丰收孩之宝
'jiu'jiu 纠纠
'kan'te'la'cheng 坎特拉城
'kan'te'la'gao'zhong 坎特拉高中
'kan'te'luo'te 坎特洛特
'ke'ai'biao'ji'tong'zi'jun 可爱标记童子军
'ke'ai'jun'tuan 可爱军团
'ke'la 可拉
'kuang'zao'dai'gua'mao'lv 狂躁呆瓜毛驴
'lan'bao'shi'xiu'er 蓝宝石秀儿
'lan'xue'wang'zi 蓝血王子
'lao'yin'ge 烙印哥
'lei'ti'qiu'zhang 雷蹄酋长
'lei'wen 雷纹
'lie'bing'san'se'jin 列兵三色堇
'liu'xing 流星
'liu'yue'chong 六月虫
'lu'na 露娜
'lu'na'gong'zhu 露娜公主
'luo'bo'dan'gao 萝卜蛋糕
'luo'bo'jian 萝卜尖
'luo'li'ya'mai'er'de 骡莉亚迈尔德
'luo'ri'xia'guang 落日霞光
'ma'di'er'da 玛蒂尔达
'ma'ha'dun 马哈顿
'mai'da'ge 麦大哥
'mai'jin'ta'da'ge 麦金塔大哥
'mai'shen'tuo 麦什托
'mai'tuo'shen 麦托什
'meng'yan'zhi'yue 梦魇之月
'mi'mi 米米
'mo'fa'gong'zhu 魔法公主
'mu'guang'shan'shan 暮光闪闪
'mu'mu 暮暮
'nai'you'dan'gao 奶油蛋糕
'nan'gua'dan'gao 南瓜蛋糕
'niu'niu 妞妞
'nuan'lu'jie 暖炉节
'ou'bo 欧泊
'ou'bo 欧波
'pen'huo 喷火
'peng'peng 蓬蓬
'pi'pi 皮皮
'pian'fei 翩飞
'ping'guo'bo'ge 苹果伯格
'ping'guo'hua 苹果花
'ping'guo'jia'er 苹果嘉儿
'ping'guo'jie'ke 苹果杰克
'ping'guo'li'li 苹果丽丽
'ping'qi 萍琪
'qi'qi 奇奇
'qiang'wei 蔷薇
'qing'ping'guo'nai'nai 青苹果奶奶
'qu'han'jie 驱寒节
'rou'rou 柔柔
'ruan'tang 软糖
'rui'er'ti 瑞尔提
'rui'rui 瑞瑞
'sai'la'si'di'ya 塞拉斯蒂娅
'sai'la'si'di'ya'gong'zhu 塞拉斯蒂娅公主
'sha'te'ma'la'bo 沙特马拉伯
'shan'dian'fei'ma'dui 闪电飞马队
'shan'dian'qiu 闪电球
'shan'dian'tian'ma 闪电天马
'shan'yao'kui'jia 闪耀盔甲
'shen'mi'bo'shi 神秘博士
'shen'qi'shan'dian 神奇闪电
'shen'tong'guang'da'cui'ke'qian 神通广大崔克茜
'sheng'da'ben'teng'jie 盛大奔腾节
'sheng'zhan 盛绽
'shi'ka'te 史卡特
'shi'mi'fu'po'po 史密夫婆婆
'shi'mi'si'po'po 史密斯婆婆
'shi'pai'ke 史派克
'shi'shang'da'di 时尚大帝
'shui'hou 水猴
'shui'yuan 水猿
'si'ku'ta'lu 斯库塔露
'si'ni'pu 斯尼普
'si'pai'ke 斯派克
'si'ye'xian'zhe 四叶贤者
'song'dong'ri 送冬日
'song'dong'ying'chun'jie 送冬迎春节
'su'she 速射
'suan'mei'jiu 酸梅酒
'sui'long 穗龙
'tang'kuai'wu 糖块屋
'tang'mu 汤姆
'tang'tang 糖糖
'te'li'ke'xi 特丽克西
'tian'bei'er'bi'li 甜贝儿碧丽
'tian'kong'zhi'cheng 天空之城
'tian'ma'wei'jia'si 天马维加斯
'tian'qin 天琴
'tian'qin'xin'xian 天琴心弦
'tian'quan'qiao 甜圈乔
'tian'shi 天使
'tian'shi'tu 天使兔
'tian'xin'bao'bao 甜心宝宝
'tie'xue 铁血
'wan'ma'ben'teng'qing'dian 万马奔腾庆典
'wei'da'zhe'gu'si'da'fu 伟大者古斯达夫
'wei'luo'na 维萝娜
'wei'ni'er'si'ku'qi 维妮尔斯库奇
