'ai'ying 哀郢
'an'guo'jun 安国君
'an'xi'xiang 安息香
'ba'shu 巴蜀
'ba'xing'chu'shi 霸星出世
'ba'xing'xian 霸星现
'ba'ye'xing 霸业兴
'bai'hu'qiu 白狐裘
'bai'long'yu'fu 白龙鱼服
'bai'qi 白起
'bao'shi 暴室
'bi'li 薜荔
'bian'cheng'xian 边城险
'biao'you'mei 摽有梅
'bie'xian'yang 别咸阳
'bie'yuan'ren 别远人
'bu'neng'liu 不能留
'bu'nian 步辇
'bu'su'can 不素餐
'bu'xiang'shi 不相识
'bu'zu 部族
'chang'ning'dian 常宁殿
'chang'yi 长揖
'cheng'chen'na'gong 称臣纳贡
'cheng'ming'dian 承明殿
'chi'mei'xing 魑魅行
'chong'xiang'feng 重相逢
'chu'dao'wang 楚悼王
'chu'guo'da'chen 楚国大臣
'chu'huai'wang 楚怀王
'chu'li'ji 樗里疾
'chu'li'zi 樗里子
'chu'wang 楚王
'chu'wang'shang 楚王殇
'chu'wei'wang 楚威王
'chu'wei'zheng 储位争
'chui'tiao'nian 垂髫年
'chun'shen'jun 春申君
'chun'yu'kun 淳于髡
'cong'ming'wu 聪明误
'da'hun'yi 大婚仪
'da'zhao'ri 大朝日
'deng'cheng 邓城
'di'gong'zhu 嫡公主
'di'rong 狄戎
'ding'xiang 丁香
'dong'di 东帝
'dong'zhou'guo 东周国
'du'guo'yun 赌国运
'du'heng 杜衡
'du'jin 杜锦
'duan'chang'bie 断肠别
'fa'chu 伐楚
'fa'chu'guo 伐楚国
'fan'chang'shi 樊长使
'fan'yun'shou 翻云手
'fang'ying'tai 放鹰台
'fang'zhong'xin 方中信
'fei'di'li'shu 废嫡立庶
'fei'yi 肥义
'fen'zhang 分帐
'feng'fu'ren 疯妇人
'feng'ren 缝人
'feng'yun'bian 风云变
'fu'mu 傅姆
'fu'yu'zi 夫与子
'gan'quan'gong 甘泉宫
'gan'xiang 甘相
'gao'ling 高陵
'gao'ling'jun 高陵君
'gao'tang'tai 高唐台
'gao'yun'xiang 高云翔
'ge'man 葛蔓
'gong'shu 公叔
'gong'shu'wei 公叔维
'gong'sun'yan 公孙衍
'gong'wei'tai'ge 宫闱台阁
'gong'zhu'hen 公主恨
'gong'zhu'jia 公主嫁
'gong'zi'cheng 公子成
'gong'zi'dang 公子荡
'gong'zi'ji 公子稷
'gu'ren'lai 故人来
'gu'ren'yi 故人意
'gu'rou'feng 骨肉逢
'gu'rou'qing 骨肉情
'gui'jia'xiang 龟甲香
'gui'qin'lu 归秦路
'gui'qu'lai 归去来
'guo'guo'gang 蝈蝈缸
'guo'wei 郭隗
'guo'xiang'fan'ju 国相范雎
'guo'xiang'qie 国相妾
'han'gu 函谷
'han'yu'shu 韩与蜀
'he'bi'xian 和璧现
'he'shi'bi 和氏璧
'hei'jia'jun'guan 黑甲军官
'hu'fu 胡服
'hu'wei 虎威
'hu'wei'jiang'jun 虎威将军
'hua'liu 骅骝
'hua'yang 华阳
'huang'ji 黄棘
'huang'shang 黄裳
'huang'xie 黄歇
'huang'xuan 黄轩
'hui'wen'hou 惠文后
'hui'yi 袆衣
'hui'yuan 蕙院
'hun'zhe 阍者
'ji'cheng'han 蓟城寒
'ji'jun'luan 季君乱
'ji'jun'zhi'luan 季君之乱
'ji'mi 季芈
'ji'nan'zhi'di 极南之地
'ji'que 冀阙
'ji'si'li'yue 祭祀礼乐
'ji'xing 姬姓
'ji'xing'zhi'guo 姬姓之国
'jiang'yan 江堰
'jiang'zi'ya 姜子牙
'jiao'fang'dian 椒房殿
'jiao'shi 椒室
'jie'xi'yu 劫西狱
'jin'dai'fu 靳大夫
'jin'shang 靳尚
'jin'wan'huo 金丸祸
'jin'wan'zhu'que 金丸逐雀
'jing'cui'jiang'jun 景翠将军
'jing'shi 景氏
'jing'yang 泾阳
'jing'yang'jun 泾阳君
'jing'yu 荆玉
'jiu'jue 酒爵
'jiu'shi'ti 旧事提
'jiu'zhang 鸠杖
'ju'ji 莒姬
'ju'ji'si 莒姬死
'ju'ren 屦人
'ju'song 橘颂
'ju'yi 鞠衣
'ju'zhou'ding 举周鼎
'jue'chu'mou 绝处谋
'jue'ze'nan 抉择难
'jun'ji 军籍
'jun'wang'xin 君王心
'kan'wei 龛位
'ke'si'xiu'luo'shan 缂丝绣罗衫
'kou'que'xian'fu 叩阙献俘
'kui'gu 葵姑
'lang'zhi'zi 狼之子
'lao'ling'yin 老令尹
'lao'wu 老巫
