'an'pan 暗盘
'ban'dun 半蹲
'ban'jue'sai 半决赛
'bang'shu 磅数
'bao'fa'li 爆发力
'bao'fen 报分
'bao'leng 爆冷
'bu'fa 步法
'cai'yun 蔡赟
'chi'qiu 持球
'chou'qiu 抽球
'chu'di 触地
'chu'jie 出界
'chu'li'qiu 处理球
'chu'qiu 触球
'chuan'xian 穿线
'cuo'qiu 搓球
'da'bi'sai 打比赛
'da'fa 打法
'da'qiu 打球
'da'yu'mao'qiu 打羽毛球
'dai'qiu 带球
'dan'da 单打
'deng'di 蹬地
'di'jiao 底角
'di'shou'ji'qiu 低手击球
'dian'bu 垫步
'dian'sha 点杀
'diao'qi 掉漆
'diao'qiu 吊球
'ding'zhu 顶住
'duan'ban 短板
'duan'xian 断线
'dui'jiao 对角
'dui'jiao'xian 对角线
'dui'lei 对垒
'dui'lian 对练
'dui'qiang 对墙
'duo'pai 多拍
'fa'gao'yuan'qiu 发高远球
'fa'li 发力
'fa'ping'qiu 发平球
'fa'qiu 发球
'fa'qiu'ci'xu 发球次序
'fa'qiu'fang 发球方
'fa'qiu'qu 发球区
'fa'qiu'quan 发球权
'fa'shen'qiu 发深球
'fan'pai 反拍
'fan'shou 反手
'fang'hua'fen 防滑粉
'fang'shou 防守
'fang'shou'fan'ji 防守反击
'fen'jie'xian 分界线
'fen'li 分力
'fen'qiu 分球
'feng'wang 封网
'gao'shou'ji'qiu 高手击球
'gao'yuan'qiu 高远球
'gong'kai'sai 公开赛
'gong'shou 攻守
'gou'qiu 勾球
'gua'pai 挂拍
'guo'du'qiu 过渡球
'guo'xian 过线
'heng'sao 横扫
'heng'xian 横线
'hou'bai 后摆
'hou'ce 后侧
'hou'chang 后场
'hou'chang'gao'yuan'qiu 后场高远球
'hou'yang 后仰
'huan'ji 还击
'huan'xian 换线
'hui'pai 挥拍
'hui'qiu 回球
'hui'tan 回弹
'hui'zhong 回中
'hun'he'shuang'da 混合双打
'hun'shuang 混双
'ji'chu 击出
'ji'qiu 击球
'ji'qiu'dian 击球点
'ji'shu'liu 技术流
'jia'dong'zuo 假动作
'jia'fa'zhen'qiu 夹发针球
'jia'li 加力
'jian'qiu 捡球
'jiao'cha'bu 交叉步
'jiao'huan'fa'qiu'qu 交换发球区
'jiao'lian 教练
'jiao'mian 脚面
'jie'fa'qiu 接发球
'jie'qiu 接球
'jie'sha 截杀
'jing'jie'xian 警戒线
'kai'ju 开局
'kai'qiu 开球
'kan'qiu 看球
'kong'qiu 控球
'kong'zhi'qiu 控制球
'kou'qiu 扣球
'kou'sha 扣杀
'kuai'ping'qiu 快平球
'la'xian 拉线
'la'zhi 拉直
'lian'ji 连击
'lian'qiu 练球
'lian'sha 连杀
'lian'xu'kou'sha 连续扣杀
'lun'huan'wei'zhi 轮换位置
'luo'dian 落点
'nan'dan 男单
'nan'shuang 男双
'nan'tuan 男团
'nan'zi'dan'da 男子单打
'nan'zi'shuang'da 男子双打
'nan'zi'tuan'ti 男子团体
'nei'ce 内侧
'nei'fan 内翻
'nei'kai'qiu'xian 内开球线
'nei'xuan 内旋
'ni'zhuan 逆转
'nv'dan 女单
'nv'dui 女队
'nv'shuang 女双
'nv'zi'dan'da 女子单打
'nv'zi'shuang'da 女子双打
'nv'zi'tuan'ti 女子团体
'nv'zi'yu'mao'qiu'dan'da 女子羽毛球单打
'ou'jin'sai 欧锦赛
'pai'bing 拍柄
'pai'da 拍打
'pai'gan 拍杆
'pai'kuang 拍框
'pai'tou 拍头
'pai'zi 拍子
'pi'diao 劈吊
'pi'sha 劈杀
'ping'chou'qiu 平抽球
'ping'gao 平高
'ping'gao'qiu 平高球
'ping'heng'dian 平衡点
'ping'tui 平推
'qian'chang 前场
'qiang'gong 抢攻
'qiang'qiu 抢球
'qing'diao'qiu 轻吊球
'qiu'bao 球包
'qiu'chang 球场
'qiu'fu 球服
'qiu'guan 球馆
'qiu'hou 球后
'qiu'ji 球技
'qiu'lu 球路
'qiu'pai 球拍
'qiu'shou 球手
'qiu'su 球速
'qiu'tou 球头
'qiu'xie 球鞋
'qiu'you 球友
'quan'yun'hui 全运会
'rang'qiu 让球
'ruan'mu 软木
'sai'hou 赛后
'sha'qiu 杀球
'shen'zhi 伸直
'shi'da 试打
'shi'li 失利
'shi'qiu 试球
'shi'wu 失误
'shou'gan 手感
'shu'xian 竖线
'shuang'da 双打
'shuo'qiu 说球
'tan'tiao'li 弹跳力
'tang'shui'pai 糖水拍
'tiao'qiu 挑球
'tou'zhong 头重
'tuan'ti'sai 团体赛
'tui'qiu 推球
'tui'sai 退赛
'tui'ya 推压
'tuo'kua 拖垮
'wai'ce 外侧
'wai'kai'qiu'xian 外开球线
'wai'xuan 外旋
'wang'qian 网前
'wang'qian'qiu 网前球
'wei'li 违例
'wei'mian 卫冕
'wen'ding 问鼎
'xia'ya 下压
'xiang'chi 相持
'xiao'qiu 小球
'xiao'zu'sai 小组赛
'xie'tiao'xing 协调性
'xie'xian 斜线
'xin'pai 新拍
'xin'xian 新线
'ya'jin'sai 亚锦赛
'ya'xian 压线
'yao'li 腰力
'yi'fa'qiu'yuan 一发球员
'ying'mian 赢面
'you'ban'chang 右半场
'yu'lian 羽联
'yu'mao'qiu 羽毛球
'yu'mao'qiu'chang 羽毛球场
'yu'mao'qiu'dui 羽毛球队
'yu'mao'qiu'hun'he'shuang'da 羽毛球混合双打
'yu'mao'qiu'pai 羽毛球拍
'yu'pai 羽拍
'yu'qiu 羽球
'yu'ren 羽人
'yu'sai 预赛
'yu'tan 羽坛
'yu'xie 羽协
'yu'xuan'sai 预选赛
'zai'la 再拉
'zhan'wei 站位
'zhan'zhuang 站桩
'zheng'pai 正拍
'zheng'sai 正赛
'zheng'shou 正手
'zhi'jiao 执教
'zhong'chui 重锤
'zhong'fa'qiu 重发球
'zhong'gan 中杆
'zhong'guo'yu'mao'qiu'dui 中国羽毛球队
'zhong'kou 重扣
'zhong'yu 中羽
'zhui'fen 追分
'zhui'ping 追平
'zuo'ban'chang 左半场
