'ao'sha'gong 鏖杀公
'ba'wu'xi'xian 八舞夕弦
'ba'wu'ye'ju'shi 八舞耶俱矢
'bao'nue'gong 暴虐公
'ben'tiao'er'ya 本条二亚
'bing'jie'kui'lei 冰结傀儡
'bing'ya'chuan'si'mi'nai 冰芽川四糸乃
'chong'gong'ling 崇宫澪
'chong'gong'zhen'na 崇宫真那
'chong'gong'zhen'shi 崇宫真士
'chuan'ci'zhe 穿刺者
'e'mo 恶魔
'fan'zhuan 反转
'feng'dai'ba'wu 风待八舞
'feng'jie'zhu 封解主
'ge'ji 歌姬
'gong'zhu 公主
'huan'ying 幻影
'huang'dao'dai 黄道带
'ji'si'ji'tan 极死祭坛
'jing'ling 精灵
'jing'ye'qi'zui 镜野七罪
'jiu'shi'mo'wang 救世魔王
'ju'feng'qi'shi 飓风骑士
'jue'mie'tian'shi 绝灭天使
'ke'ke'di 刻刻帝
'kong'jian'zhen 空间震
'kuang'kuang'di 狂狂帝
'kuang'zhan'shi 狂战士
'ling'jie'jing 灵结晶
'ling'zhuang 灵装
'lun'hui'le'yuan 轮回乐园
'meng'yan 梦魇
'nie'gao'pian'zhi 嗫告篇帙
'nv'wu 女巫
'po'jun'ge'ji 破军歌姬
'shen'shi'pian'zhi 神蚀篇帙
'shen'wei'ling'zhuang'ba'fan 神威灵装八番
'shen'wei'ling'zhuang'er'fan 神威灵装二番
'shen'wei'ling'zhuang'jiu'fan 神威灵装九番
'shen'wei'ling'zhuang'ling'fan 神威灵装零番
'shen'wei'ling'zhuang'liu'fan 神威灵装六番
'shen'wei'ling'zhuang'qi'fan 神威灵装七番
'shen'wei'ling'zhuang'san'fan 神威灵装三番
'shen'wei'ling'zhuang'shi'fan 神威灵装十番
'shen'wei'ling'zhuang'si'fan 神威灵装四番
'shen'wei'ling'zhuang'wu'fan 神威灵装五番
'shen'wei'ling'zhuang'yi'fan 神威灵装一番
'shi'qi'kuang'san 时崎狂三
'shu'fu'zhe 束缚者
'sui'yi'ling'yu 随意领域
'tian'ji'ji'chi'zhe 天际疾驰者
'tian'shi 天使
'wan'xiang'sheng'tang 万象圣堂
'wu'he'qin'li 五河琴里
'wu'he'shi'dao 五河士道
'wu'he'shi'zhi 五河士织
'xian'jie 现界
'xian'xian'zhuang'zhi 显现装置
'xing'gong 星宫
'xing'gong'liu'can 星宫六喰
'xiu'nv 修女
'yan'mo 炎魔
'yan'zao'mo'nv 赝造魔女
'ye'dao'shen'shi'xiang 夜刀神十香
'yin'ju'zhe 隐居者
'yong'jie'zhang'yu 永劫瘴狱
'you'xiao'mei'jiu 诱宵美九
'yuan'yi'zhe'zhi 鸢一折纸
'zhan'shu'xian'xian'dan'yuan 战术显现单元
'zhuo'lan'jian'gui 灼烂歼鬼
