'ai'qi'tun'suan 嗳气吞酸
'chu'qu'chuan'xiong'wu'wei'lian 除去川芎五味联
'chu'que'ban'xia'ming'yi'gong 除却半夏名异功
'chu'yi'zhen'gui'zhi'yao 处以珍贵之药
'chuan'er'wu'han'fu'zhi'yi 喘而无汗服之宜
'chuan'ke 喘咳
'chuan'ke'duan'qi 喘咳短气
'chuan'ke'tan'xue'fei'jia'shang 喘咳痰血肺家伤
'chuan'ke'zheng 喘咳证
'chuan'xiong'cha'tiao'san 川芎茶调散
'chuan'xiong'cha'tiao'san'jing'fang 川芎茶调散荆防
'chuang'yang'ding'du 疮疡疔毒
'chui'bing'wei'wan'bai'tang'xia 炊饼为丸白汤下
'chun'an 唇暗
'ci'shi'yang'yu'cheng'jue'ni 此是阳郁成厥逆
'ci'xi'dan'xu'tan'shang'rao 此系胆虚痰上扰
'ci'yi'ren'zhi'gao'huang'ye 此医人之膏肓也
'cou'li'bu'gu 腠理不固
'da'bian'bu'jie 大便不解
'da'bian'bu'tong 大便不通
'da'bian'gan'jie 大便干结
'da'bian'mi'jie 大便秘结
'da'bian'xi'tang 大便稀溏
'da'bian'xie'xie 大便泄泻
'da'bu'yin'wan 大补阴丸
'da'chai'hu'tang 大柴胡汤
'da'chai'hu'tang'yong'da'huang 大柴胡汤用大黄
'da'cheng'qi'tang 大承气汤
'da'cheng'qi'tang'yong'xiao'huang 大承气汤用硝黄
'da'fu'kou'tong'he'jian'ling 大腹蔻通合煎灵
'da'huang'shu'chong'wan 大黄庶虫丸
'da'huo'luo'jiao'nang 大活络胶囊
'da'qing'long'tang 大青龙汤
'da'qing'long'tang'gui'ma'huang 大青龙汤桂麻黄
'da'yi'jing'cheng 大医精诚
'da'zao'e'jiao'jia'jiu'fu 大枣阿胶加酒服
'da'zao'he'zhi'zhi'xu'pi 大枣合之治虚痞
'da'zao'sheng'jiang'wei'wan'fu 大枣生姜为丸服
'dai'duo'shi'wo 怠惰嗜卧
'dan'e'fu'kang'jian'gao 丹莪妇康煎膏
'dan'fa'can'kui'qi'lian'you'xu'zhi'yi 但发惭愧凄怜忧恤之意
'dan'man'er'bu'tong 但满而不痛
'dan'pi'ling'ze'jia'gui'fu 丹皮苓泽加桂附
'dan'qi'pian 丹七片
'dan'shi'pian 胆石片
'dan'shi'zhi'gan'zhu'ye'xun 丹石栀甘竹叶寻
'dan'shu'jiao'nang 胆舒胶囊
'dan'xi'xin'fa 丹溪心法
'dan'xiang'qing'zhi'ke'li 丹香清脂颗粒
'dan'zhi'jia'ru're'neng'pai 丹栀加入热能排
'dan'zhi'xiao'yao'san 丹栀逍遥散
'dan'zhi'xiao'yao'wan 丹枝逍遥丸
'dan'zuo'jiu'ku'zhi'xin 但作救苦之心
'dang'gui'chuan'lian'shui'jian'fu 当归川楝水煎服
'dang'gui'liu'huang'er'di'huang 当归六黄二地黄
'dang'gui'liu'huang'tang 当归六黄汤
'dao'chi'san 导赤散
'dao'chi'sheng'di'yu'mu'tong 导赤生地与木通
'dao'han 盗汗
'dao'shuo'shi'fei 道说是非
'deng'yin'nao'tong'jiao'nang 灯银脑通胶囊
'deng'zhan'xi'xin'jiao'nang 灯盏细辛胶囊
'di'ao'xin'xue'kang'jiao'nang 地奥心血康胶囊
'di'shao'bei'ru'fu'cao'xiang 地芍贝茹茯草襄
'di'tan'tang 涤痰汤
'di'tan'tang'yong'zhu'ru'xing 涤痰汤用竹茹星
'di'yu'sheng'bai'pian 地榆升白片
'dian'ding'tou'tong 巅顶头痛
'dian'ding'zuo'tong 巅顶作痛
'die'da'qi'li'pian 跌打七厘片
'ding'chuan'bai'guo'yu'ma'huang 定喘白果与麻黄
'ding'chuan'tang 定喘汤
'dong'ling'cao'pian 冬凌草片
'du'fang'san'nian 读方三年
'du'huo'ji'sheng'jiao'fang'xin 独活寄生艽防辛
'du'huo'ji'sheng'tang 独活寄生汤
'du'zhong'niu'xi'ren'shen'cao 杜仲牛膝人参草
'du'zhong'niu'xi'sang'ji'sheng 杜仲牛膝桑寄生
'duan'qi'er'ke 短气而咳
'duan'qi'zi'han 短气自汗
'duo'yong'sheng'ming'yi'ji'wei'ji 多用生命以济危急
'e'feng'fa're 恶风发热
'e'han'fa're 恶寒发热
'e'han'quan'wo 恶寒蜷卧
'e'han'wu'han 恶寒无汗
'e'ni'ri'jiu'bu'zhi 呃逆日久不止
'e'xin'ou'tu 恶心呕吐
'e'xin'yu'ou 恶心欲呕
'er'chen'chang'yong'ban'xia'chen 二陈场用半夏陈
'er'chen'tang 二陈汤
'er'cun'kou'guan'chi 而寸口关尺
'er'dong'sheng'di'dang'gui'shen 二冬生地当归身
'er'kuang'bing'ren'ku'chu 而况病人苦楚
'er'long 耳聋
'er'ming'er'long 耳鸣耳聋
'er'shi'wu'wei'gui'jiu'wan 二十五味鬼臼丸
'er'shi'wu'wei'shan'hu'wan 二十五味珊瑚丸
'er'wang'qi'sheng 而望其生
'er'yan'yi'dao'yi'le 而言医道已了
'er'yi'zhe'an'ran'huan'yu 而医者安然欢娱
'er'you'zi'xu'zhi'mao 而有自许之貌
'er'zhi'wan 二至丸
'er'zhong 耳肿
'fa'han'sheng'yang'you'yi'gong 发汗升阳有异功
'fa'kuang 发狂
'fa're 发热
'fa're'dao'han 发热盗汗
'fa're'e'han'tou'xiang'tong 发热恶寒头项痛
'fa're'er'han'chu'bu'jie 发热而汗出不解
'fa're'juan'dai 发热倦怠
'fa're'yan'tong'fu'zhi'chai 发热咽痛服之瘥
'fa'zai'jiang'yang'er'he'yin 法在降阳而和阴
'fan'da'yi'zhi'bing 凡大医治病
'fan'fan'yu'ou 泛泛欲呕
'fan'ke'yin'yin 烦渴引饮
'fan'ke'yu'yin 烦渴欲饮
'fan'kuang'huo're'jian'zhan'wang 烦狂火热兼谵妄
'fan're'gan'ke 烦热干渴
'fan'zao'bu'ning 烦躁不宁
'fan'zhi'ze'shi'han'ling'ju'zei 反之則是含靈鉅賊
'fang'ming'chai'hu'shu'gan'san 方名柴胡疏肝散
'fei're'chuan'sou'ci'fang'shi 肺热喘嗽此方施
'fei'shen'liang'diao'jin'shui'sheng 肺肾两调金水生
'fei'shen'yin'kui 肺肾阴亏
'fei'yong 肺痈
'fei'yong'tan're'jian'yu'xue 肺痈痰热兼瘀血
'feng'han'liang'jie'ci'wei'liang 风寒两解此为良
'feng'han'shu'biao'yin'ting'xiong 风寒束表饮停胸
'feng'han'shu'shi'bing'neng'chu 风寒暑湿并能除
'feng'shi'gu'tong'jiao'nang 风湿骨痛胶囊
'feng'tan'shang'rao'zheng 风痰上扰证
'feng'wen'ke'sou'fu'zhi'xiao 风温咳嗽服之消
'feng'xie'fan'fei 风邪犯肺
'fu'bu'zhang'man 腹部胀满
