'ai'qi'tun'suan 嗳气吞酸
'li'shui'shen'shi 利水渗湿
'li'shui'tong'lin 利水通淋
'li'zhong'wan 理中丸
'li'zhong'wan'zhu'wen'zhong'yang 理中丸主温中阳
'lian'pu'yin 连朴饮
'lian'pu'yin'yong'xiang'dou'chi 连朴饮用香豆豉
'lian'yin'zhi'han 敛阴止汗
'liang'duo'se'dan 量多色淡
'liang'fei'zhong'shu'zhi'dao 谅非忠恕之道
'liang'gan'xi'feng'you'yang'yin 凉肝熄风又养阴
'liang'mu'an'hei 两目暗黑
'liang'shao 量少
'liang'xue'zhi'li 凉血止痢
'liang'xue'zhi'xue 凉血止血
'liang'you'ci'ye 良由此也
'lin'li'bu'chang 淋沥不畅
'lin'li'bu'zhi 淋漓不止
'lin'zhuo'liu'lian'zi'ke'chu 淋浊流连自可除
'ling'bi'nan'qiu 令彼难求
'ling'cao'ju'hong'da'zao'jiang 苓草橘红大枣姜
'ling'gui'shu'gan'hua'yin'ji 苓桂术甘化饮剂
'ling'gui'shu'gan'tang 苓桂术甘汤
'ling'jiao'gou'teng'ju'hua'sang 羚角钩藤菊花桑
'ling'jiao'gou'teng'tang 羚角钩藤汤
'ling'lu 醽醁
'ling'shao'shu'fu'jia'sheng'jiang 苓芍朮附加生姜
'ling'shu'gan'cao'jiang'bao'xie 苓术甘草姜薄偕
'ling'xia'chen'qiao'fu'zi'jia 苓夏陈翘菔子加
'ling'zhi'jiao'nang 灵芝胶囊
'liu'gan'li'pi'zou'xiao'qi 琉肝理脾奏效奇
'liu'gan'wan 流感丸
'liu'gan'yang'xue'jian'li'pi 硫肝养血兼理脾
'liu'mai'fu'jin 六脉浮紧
'liu'shen'wan 六神丸
'liu'wei'an'xiao'jiao'nang 六味安消胶囊
'liu'wei'di'huang'wan 六味地黄丸
'liu'wei'di'huang'yi'shen'gan 六味地黄益肾肝
'liu'wei'mu'xiang'jiao'nang 六味木香胶囊
'liu'wei'neng'xiao'jiao'nang 六味能消胶囊
'long'bi'bu'tong 癃闭不通
'long'dan'xie'gan'tang 龙胆泻肝汤
'long'dan'xie'gan'zhi'qin'chai 龙胆泻肝栀芩柴
'long'ma'lu'wei'yao'pian 陇马陆胃药片
'long'qing'pian 癃清片
'lu'gen'gan'cao'bo'he'rao 芦根甘草薄荷饶
'lu'gen'hou'po'huang'lian'ru 芦根厚朴黄连入
'lu'tai'gao 鹿胎膏
'luo'li'liu'zhu 瘰疬流注
'lv'er'zi'cheng'jun'kuai 率而自逞俊快
'ma'huang'lian'qiao'chi'dou'tang 麻黄连翘赤豆汤
'ma'huang'lian'yao'chi'xiao'dou'tang 麻黄连轺赤小豆汤
'ma'huang'tang 麻黄汤
'ma'huang'tang'zhong'yong'gui'zhi 麻黄汤中用桂枝
'ma'ren'jiao'nang 麻仁胶囊
'ma'ren'wan 麻仁丸
'ma'xing'shi'gan'tang 麻杏石甘汤
'ma'ying'long'she'xiang'zhi'chuang'gao 马应龙麝香痔疮膏
'mai'chen'chi'wu'li 脉沉迟无力
'mai'chen'xi'shu 脉沉细数
'mai'chen'xian 脉沉弦
'mai'dong'jia'ru'chang'shou'wan 麦冬加入长寿丸
'mai'dong'shao'yao'dang'gui'pei 麦冬芍药当归配
'mai'dong'sheng'di'da'ma'ren 麦冬生地大麻仁
'mai'fu 脉浮
'mai'fu'huan 脉浮缓
'mai'fu'xu 脉浮虚
'mai'hong'da 脉洪大
'mai'hua 脉滑
'mai'hua'shi 脉滑实
'mai'hua'shu 脉滑数
'mai'huan 脉缓
'mai'huan'she'huang'shen'you'tong 脉缓舌黄身又痛
'mai'ru'shu 脉濡数
'mai'se 脉涩
'mai'shu 脉数
'mai'wei'xi 脉微细
'mai'xi'ruo 脉细弱
'mai'xi'shu 脉细数
'mai'xi'xian 脉细弦
'mai'xian 脉弦
'mai'xian'hua 脉弦滑
'mai'xian'huan 脉弦缓
'mai'xian'shu 脉弦数
'mai'xian'shu'you'li 脉弦数有力
'mai'xu'ruo 脉虚弱
'mai'xu'shu 脉虚数
'mai'xu'xi 脉虚细
'mai'xue'kang'jiao'nang 脉血康胶囊
'man'tang'bu'le 满堂不乐
'mei'he'qi 梅核气
'meng'yi 梦遗
'mi'lian'chuan'bei'pi'pa'gao 蜜炼川贝枇杷膏
'mian'chi 面赤
'mian'se'cang'bai 面色苍白
'mian'se'dan'huang 面色淡黄
'mian'se'guang'bai 面色咣白
'mian'se'wei'bai 面色萎白
'mian'se'wei'huang 面色萎黄
'mian'se'wu'hua 面色无华
'miao'fa'nei'gong'bing'wai'rang 妙法内攻并外攘
'ming'mu'di'huang'wan 明目地黄丸
'mo'luo'dan 摩罗丹
'mo'mo'bu'yu'yin'shi 默默不欲饮食
'mo'zuo'gong'fu'xing'ji'zhi'xin 無作工夫行跡之心
'mu'hun'bi'sai'feng'gong'shang 目昏鼻塞风攻上
'mu'tong'gan'cao'dang'gui'he 木通甘草当归合
'mu'tong'hua'shi'sheng'di'xiang 木通滑石生地襄
'mu'xuan 目眩
'mu'xuan'bi'sai 目眩鼻塞
'na'dai 纳呆
'nai'zhi'tian'xia'wu'fang'ke'yong 乃知天下无方可用
'nao'an'jiao'nang 脑安胶囊
'nao'an'ke'li 脑安颗粒
'nao'xin'tong'jiao'nang 脑心通胶囊
'nei'ke'zhai'yao 内科摘要
'nei'qing'chang'wei'wai'jie'biao 内清肠胃外解表
'nei're'mao'men 内热瞀闷
'nei'shang'za'bing 内伤杂病
'nei'wai'shang'bian'huo'lun 内外伤辨惑沦
'nei'xie're'jie 内泻热结
'neng'bu'yong'zhe 能不用者
'neng'xiao'ya'tong'yu'ya'xuan 能消牙痛与牙宣
'ni'shi'se'tong 溺时涩痛
'niao'du'qing'ke'li 尿毒清颗粒
'niao'gan'ning'ke'li 尿感宁颗粒
'niao'pin'niao'ji 尿频尿急
'niao'se'hun'chi 尿色浑赤
'niao'xie 尿血
'niao'zhong'dai'xue 尿中带血
'niu'huang'jie'du'pian 牛黄解毒片
'niu'huang'shang'qing'jiao'nang 牛黄上清胶囊
'niu'huang'she'dan'chuan'bei'ye 牛黄蛇胆川贝液
'nong'mo'jian'fu'tiao'zhi'qi 浓磨煎服调滞气
'nue'ji 疟疾
'nuo'di'kang'jiao'nang 诺迪康胶囊
'ou'hui'fu'tong'yin'han'sheng 呕哕腹痛阴寒盛
'ou'ran'zhi'chai'yi'bing 偶然治瘥一病
'ou'tu 呕吐
'ou'tu'bu'ke 呕吐不渴
'ou'tu'suan'shui 呕吐酸水
'ou'tu'xie'xie 呕吐泄泻
'pai'shi'ke'li 排石颗粒
'pang'guang'qi'hua'bu'li 膀胱气化不利
'pei'wu'zhi'pu'xie'li'qiang 配伍枳朴泻力强
'pi'bu'tong'xue'zheng 脾不统血证
'pi'fei'qi'xue'bu'fang'xian 脾肺气血补方先
'pi'man'zao'shi'si'zheng'jian 痞满燥实四症见
'pi'shen'yang'xu 脾肾阳虚
'pi'wei'bu'yun 脾胃不运
'pi'wei'qi'xu'zheng 脾胃气虚证
'pi'wei'xu'ruo 脾胃虚弱
'pi'xia'zi'dian 皮下紫癜
'pi'zheng 痞证
'pian'zai'huang'jiao'nang 片仔癀胶囊
'pian'zai'huang'wan 片仔癀丸
'pian'zheng'tou'tong 偏正头痛
'pin'zhuan'shi'qi 频转矢气
'ping'gan'xi'feng 平肝熄风
'ping'wei'san 平胃散
'ping'wei'san'yong'pu'chen'pi 平胃散用朴陈皮
'ping'xiao'pian 平消片
'pu'tong'yi'deng 普同一等
'pu'xia'bai'tong'hua'zhu'lun 朴夏白通滑竹伦
'qi'bu'dai'zai 岂不殆哉
'qi'duan'fa'li 气短乏力
'qi'duan'lan'mang 气短懒盲
'qi'duan'lan'yan 气短懒言
'qi'fen'da're'ci'fang'qing 气分大热此方清
'qi'fen're'sheng'zheng 气分热盛证
'qi'fu'teng'tong 脐腹疼痛
'qi'fu'zuo'tong 脐腹作痛
'qi'ju'di'huang'wan 杞菊地黄丸
'qi'men'xie'tong'jie'ke'chang 气闷胁痛皆可畅
'qi'meng'chong'shui'zhi'zhi'shu 其虻虫水蛭之属
'qi'se'xian'ming 其色鲜明
'qi'shao'han'duo'jian'kou'ke 气少汗多兼口渴
'qi'shu'fang'feng'ding'zu'xing 芪术防风鼎足形
'qi'wei'bai'zhu'san 七味白术散
'qi'wu'ye'zai 岂诬也哉
'qi'xia'dong'ji 脐下动悸
'qi'xiao'liang'fang 奇效良方
'qi'xue'bu'zu 气血不足
'qi'xue'kui'xu'fu'zhi'kang 气血亏虚服之康
'qi'xue'liang'xu'zheng 气血两虚证
'qi'xue'yin'yang 气血阴阳
'qi'yin'liang'xu'zheng 气阴两虚证
'qi'you'huan'chuang'yi'xia'li 其有患疮痍下痢
'qi'zhi'jiang'tang'jiao'nang 芪蛭降糖胶囊
'qian'hu'gui'pu'cao'jiang'sui 前胡桂朴草姜随
'qian'jin'wei'jing'tang 千金苇茎汤
'qian'lie'an'shuan 前列安栓
'qiang'gu'jiao'nang 强骨胶囊
'qiang'huo'sheng'shi'qiang'du'xiong 羌活胜湿羌独芎
'qiang'huo'sheng'shi'tang 羌活胜湿汤
'qiang'li'pi'pa'lu 强力枇杷露
'qiang'li'tian'ma'du'zhong'jiao'nang 强力天麻杜仲胶囊
'qin'lian'gui'gui'bin'cao'xiang 芩连归桂槟草香
'qin'lian'qi'bai'gong'jian'chang 芩连芪柏共煎尝
'qin'lian'qu'shu'fu'ling'xiang 芩连曲术茯苓襄
'qin'qiao'bei'mu'ye'gan'bao 芩翘贝母射干薄
'qing'fei'hua'tan 清肺化痰
'qing'kai'ling'di'wan 清开灵滴丸
'qing'li'gan'jing'shi're 清利肝经湿热
'qing'li'shi're 清利湿热
'qing're'hua'shi 清热化湿
'qing're'huo'xue 清热活血
'qing're'jie'du 清热解毒
'qing're'jie'du'ruan'jiao'nang 清热解毒软胶囊
'qing're'li'shi 清热利湿
'qing're'liang'xue 清热凉血
'qing're'qu'shi'liang'xiang'yi 清热祛湿两相宜
'qing're'sheng'jin 清热生津
'qing're'tong'lin'jiao'nang 清热通淋胶囊
'qing're'xie'huo 清热泻火
'qing're'zao'shi 清热燥湿
'qing're'zao'shi'tiao'qi'xue 清热燥湿调气血
'qing're'zhi'ke'ke'li 清热止咳颗粒
'qing're'zhi'yang'xi'ji 清热止痒洗剂
'qing'shu'fei'wei'qing'xuan'ji 清疏肺卫轻宣剂
'qing'wei're 清胃热
'qing'wei'san 清胃散
'qing'wei'san'zhong'dang'gui'lian 清胃散中当归连
'qing'wen'bai'du'di'lian'qin 清瘟败毒地连芩
'qing'wen'bai'du'yin 清瘟败毒饮
'qing'xie'gan'dan'shi'huo 清泻肝胆实火
'qing'xie'xie'du'yi'zi'yin 清邪泻毒亦滋阴
'qing'xin'li'shui'yang'yin 清心利水养阴
'qing'xuan'liang'zao 轻宣凉燥
'qing'xuan'wen'run'zhi'liang'zao 轻宣温润治凉燥
'qing'yang'fei'wei 清养肺胃
'qing'zao'jiu'fei'can'cao'pa 清燥救肺参草杷
'qing'zao'jiu'fei'tang 清燥救肺汤
'qing'zao'run'fei'xiao'ke'jia 清燥润肺效可嘉
'qiu'zao'hao'shang'fei'wei'ye 秋燥耗伤肺胃液
'qiu'zhi'yu'zhi'cu'zhi'qian'zhi'si 求之于至粗至浅之思
'qu'sheng'geng'yuan 去生更远
'qu'tan'bu'yi'qi'xu'er 祛痰补益气虚饵
'qu'tan'zhi'ke 祛痰止咳
'qu'tan'zhi'ke'ke'li 祛痰止咳颗粒
'qu'xiao'ming'yue'xiao'cheng'qi 去硝名曰小承气
'quan'tian'ma'jiao'nang 全天麻胶囊
're'bing'nao'jin'bian'bu'tong 热病淖津便不通
're'du'li'ji 热毒痢疾
're'du'yong'zhi 热毒壅滞
're'er'wen'zhi 热而温之
're'jie'pang'liu'zheng 热结旁流证
're'jie'xia'jiao 热结下焦
're'ke'han'chu'mai'hong'da 热渴汗出脉洪大
're'lin'qing'ke'li 热淋清颗粒
're'ru'xue'shi'zheng 热入血室证
're'ru'ying'xue'fu'zhi'an 热入营血服之安
're'sheng'yin'kui'qie'mo'chang 热盛阴亏切莫尝
're'zhong'han'qing'tan'xie'shi 热重寒轻痰挟湿
'ren'chu'yi'ye 人畜一也
'ren'hang'yang'de 人行阳德
'ren'hang'yang'e 人行阳恶
'ren'hang'yin'de 人行阴德
'ren'hang'yin'e 人行阴恶
'ren'mu'chao're 人暮潮热
'ren'shen'gan'cao'shu'gan'jiang 人参甘草朮干姜
'ren'shen'wu'yao'ji'bin'chen 人参乌药及摈沉
'ren'shen'yang'rong'ji'shi'quan 人参养荣即十全
'ren'shen'yang'rong'tang 人参养荣汤
'ren'suo'e'jian'zhe 人所恶见者
'ren'zi'bao'zhi 人自报之
'ri'jiu'bu'yu 日久不愈
'ri'shu'an'xi'ji 日舒安洗剂
'rou'gui 肉桂
'rou'kou'wu'mei'si'ban'xu 肉蔻五昧四般须
'ru'ci'ke'zuo'cang'sheng'da'yi 如此可做蒼生大醫
'ru'pi'xiao'pian 乳癖消片
'ruan'mai'ling'kou'fu'ye 软脉灵口服液
'ruo'fei'zhong'yong'bu'wei'gong 若非重用不为功
'ruo'ji'you'zhi 若己有之
'ruo'ying'er'yi'zhi 若盈而益之
'ruo'you'ji'e'lai'qiu'jiu'zhe 若有疾厄来求救者
'sai'er'yong'zhi 塞而壅之
'sai'mei'an'san 赛霉安散
'san'can'jie'geng'zhu'sha'wei 三参桔梗朱砂味
'san'huang'pian 三黄片
'san'jiao'huo'sheng'shi'zhu'yin 三焦火盛是主因
'san'jin'pian 三金片
'san'jiu'wei'tai'jiao'nang 三九胃泰胶囊
'san'qi'shang'yao'jiao'nang 三七伤药胶囊
'san'ren'tang 三仁汤
'san'ren'xing'kou'yi'yi'ren 三仁杏蔻薏苡仁
'san'wu'jiao'wan 三乌胶丸
'san'zi'yang'qin'tang 三子养亲汤
'sang'ju'yin 桑菊饮
'sang'ju'yin'zhong'ju'xing'qiao 桑菊饮中桔杏翘
'se'bai'yi'ge 色白易咯
'sha'shen'mai'dong'tang 沙参麦冬汤
'sha'shen'mai'dong'yin'dou'sang 沙参麦冬饮豆桑
'sha'shen'qi'zi'mai'dong'xiang 沙参杞子麦冬襄
'shan'qi 疝气
'shan'yao'gan'lian'sha'yi'ren 山药甘莲砂薏仁
'shan'zha'jing'jiang'zhi'pian 山楂精降脂片
'shang'han'lun 伤寒论
'shang'han'shao'yang'zheng 伤寒少阳证
'shang'han'tou'tong'fa're 伤寒头痛发热
'shang'qi'chuan'ji 上气喘急
'shang'shi'xia'xu 上实下虚
'shang'shi'xia'xu'tan'sou'chuan 上实下虚痰嗽喘
'shang'tu'xia'xie 上吐下泻
'shao'yang'bai'bing'ci'wei'zong 少阳百病此为宗
'shao'yang'yang'ming'he'bing 少阳阳明合病
'shao'yang'zheng 少阳证
'shao'yao'gan'cao'jiang'zao'tong 芍药甘草姜枣同
'shao'yao'tang 芍药汤
'shao'yao'tang'zhong'yong'da'huang 芍药汤中用大黄
'shao'yao'zhi'shi'gan'cao'xu 芍药枳实甘草须
'shao'yin'fu'tong'han'shui'ju 少阴腹痛寒水聚
'she'dan 舌淡
'she'dan'chen'pi'san 蛇胆陈皮散
'she'dan'chuan'bei'pi'pa'gao 蛇胆川贝枇杷膏
'she'dan'tai'bai 舌淡苔白
'she'dan'tai'bo'bai 舌淡苔薄白
'she'gan'hong'shao'tai 舌干红少苔
'she'gan'ma'huang'tang 射干麻黄汤
'she'hong 舌红
'she'hong'shao 舌红少
'she'hong'shao'jin 舌红少津
'she'hong'shao'tai 舌红少苔
'she'hong'tai'huang 舌红苔黄
'she'hong'tai'huang'ni 舌红苔黄腻
'she'shang'jiao'nang 蛇伤胶囊
'she'sheng'mi'pou 摄生秘剖
'she'tai'bai 舌苔白
'she'tai'bai'hua 舌苔白滑
'she'tai'bai'ni 舌苔白腻
'she'tai'bai'run 舌苔白润
'she'tai'bo'bai 舌苔薄白
'she'tai'huang 舌苔黄
'she'tai'huang'hua'ni 舌苔黄滑腻
'she'tai'huang'ni 舌苔黄腻
'she'tai'ni'er'wei'huang 舌苔腻而微黄
'she'tai'zhan'ni 舌苔粘腻
'she'xiang'bao'xin'wan 麝香保心丸
'she'xiang'zhen'tong'gao 麝香镇痛膏
'she'xiang'zheng'gu'ding 麝香正骨酊
'she'xiang'zhi'chuang'shuan 麝香痔疮栓
'she'you'yu'ban 舌有瘀斑
'she'zhi'an'hong 舌质暗红
'she'zhu'ming'mu'ye 麝珠明目液
'shen'bu'ren'yi 甚不仁矣
'shen'ling'bai'zhu'san 参苓白术散
'shen'mu'fa'huang 身目发黄
'shen'pi'fa'li 神疲乏力
'shen'pi'jian'wang 神疲健忘
'shen'shu'chong'ji 肾舒冲剂
'shen'shuai'ning'pian 肾衰宁片
'shen'shuai'yu'mei 神衰欲寐
'shen'ti'teng'zhong 身体疼重
'shen'xie'zheng 肾泄证
'shen'xin'qi'chuang 深心凄怆
'shen'yan'kang'fu'pian 肾炎康复片
'shen'yan'shu'pian 肾炎舒片
'shen'zhai'yi'shu'yi'fang'ji'jie 慎斋遗书医方集解
'shen'zhi'bu'an'zheng 神志不安证
'shen'zhong'teng'tong 身重疼痛
'shen'zi'wu'zai 深自误哉
'sheng'bing'zhen'ji 省病诊疾
'sheng'chai'can'cao'dang'gui'shen 升柴参草当归身
'sheng'di'che'qian'ze'xie'xie 生地车前泽泻偕
'sheng'di'dan'pi'sheng'ma'quan 生地丹皮升麻全
'sheng'jin'run'zao 生津润燥
'sheng'mai'mai'wei'yu'ren'shen 生脉麦味与人参
'sheng'mai'yin 生脉饮
'sheng'mai'yin'kou'fu'ye 生脉饮口服液
'sheng'xue'ning'pian 生血宁片
'sheng'xue'xiao'ban'jiao'nang 升血小板胶囊
'shi'bu'xiao'hua 食不消化
'shi'gao'jiao'xing'mai'hu'ma 石膏胶杏麦胡麻
'shi'hu'ye'guang'wan 石斛夜光丸
'shi'ke'yu'yan'yu'zi'yi 始可与言于兹矣
'shi'long'qing'xue'ke'li 石龙清血颗粒
'shi'mian'duo'meng 失眠多梦
'shi'pi'fu'shu'yu'mu'gua 实脾附术与木瓜
'shi'pi'yin 实脾饮
'shi'qi'zai'biao'tou'yao'zhong 湿气在表头腰重
'shi'quan'da'bu'tang 十全大补汤
'shi're 实热
'shi're'bing'zhong 湿热并重
'shi're'bing'zhong'zheng 湿热并重证
'shi're'huo'luan 湿热霍乱
'shi're'huo'luan'ci'fang'shi 湿热霍乱此方施
'shi're'ji'zhi'li'neng'rang 湿热积滞力能攘
'shi're'li'ji 湿热痢疾
'shi're'lin'zheng 湿热淋证
'shi'ru'wu'wei 食如无味
'shi'run'shao'shang'gao 湿润烧伤膏
'shi'shan'jian'jia'jiao'nang 石杉碱甲胶囊
'shi'shao 食少
'shi'shao'bian'tang 食少便溏
'shi'shao'shi'wo 食少嗜卧
'shi'tan'zheng 湿痰证
'shi'wei'long'dan'hua'ke'li 十味龙胆花颗粒
'shi'wen'chu'qi'fa'kan'zun 湿温初起法堪遵
'shi'wen'shi'yi 湿温时疫
'shi'wen'shi'yi'shi'zhu'fang 湿温时疫是主方
'shi'wu'zhi'zhi'ye 是吾之志也
'shi'yang'hua'yin'you'jian'pi 湿阳化饮又健脾
'shi'you'xian'si'zhe 市有先死者
'shi'you'yu'zhe 世有愚者
'shi'yu'bu'zhen 食欲不振
'shi'yu'zheng'ji'zhi'fa'huang 湿瘀蒸肌致发黄
'shi'yuan'pu'jiu'han'ling'zhi'ku 誓愿普救含灵之苦
'shi'zhe'zhi'ke'yi'ren'shen 实者枳壳易人参
'shi'zhi'pi'wei 湿滞脾胃
'shi'zhong'jia'qi'ji 是重加其疾
'shi'zhong'yu're 湿重于热
'shou'zu'bu'wen 手足不温
'shou'zu'ni'leng 手足逆冷
'shou'zu'xin're 手足心热
'shu'de'shui'yao'ji'shan'yu 熟地谁药及山萸
'shu'feng'zhi'ke 疏风止咳
'shu'feng'zhi'tong 疏风止痛
'shu'gan'li'pi 疏肝理脾
'shu'gan'pian 舒肝片
'shu'mian'jiao'nang 舒眠胶囊
'shu're 暑热
'shu'shao'fang'feng'gong'cheng'ji 朮芍防风共成剂
'shu'wen'jia'shi 暑温夹湿
'shu'xue'liu'zhu 俞穴流注
'shu'yu'zao'gan'pian 薯蓣皂苷片
'shuang'bu'qi'xue'ba'zhen'tang 双补气血八珍汤
'shuang'hu'qing'gan'ke'li 双虎清肝颗粒
'shuang'huang'lian'ke'li 双黄连颗粒
'shuang'jin'wei'yang'jiao'nang 双金胃疡胶囊
'shuang'liao'hou'feng'san 双料喉风散
'shui'yin'xia'xing'ji'xuan'qu 水饮下行悸眩去
'shui'yong'gan'lan'yang'bai'bian 水用甘澜扬百遍
'shui'zhong 水肿
'shun'qi'jiang'ni 顺气降逆
'si'gai'yi'zhi'ben'yi'ye 斯盖医之本意也
'si'jun'si'wu'he'cheng'fang 四君四物合成方
'si'jun'zi'tang 四君子汤
'si'jun'zi'tang'zhong'he'yi 四君子汤中和义
'si'liang'huang'qi'wei'zhu'yao 四两黄芪为主药
'si'mo'tang 四磨汤
'si'mo'tang'kou'fu'ye 四磨汤口服液
'si'mo'yin'zi'qi'qing'qin 四磨饮子七情侵
'si'ni'san 四逆散
'si'ni'san'li'yong'chai'hu 四逆散里用柴胡
'si'ni'san'zhong'jia'xiong'xiang 四逆散中加芎香
'si'ni'tang 四逆汤
'si'ni'tang'zhong'fu'cao'jiang 四逆汤中附草姜
'si'shen'gu'zhi'yu'wu'yu 四神故纸与吴萸
'si'shen'wan 四神丸
'si'wei'da'zhe 斯为大哲
'si'wu'di'shao'yu'gui'xiong 四物地芍与归芎
'si'wu'tang 四物汤
'si'zhi'juan'fa 四肢倦乏
'si'zhi'jue'leng'ji'jian'chang 四肢厥冷急煎尝
'si'zhi'jue'ni 四肢厥逆
'si'zhu'cou'er 丝竹凑耳
'song'ling'xue'mai'kang'jiao'nang 松龄血脉康胶囊
'su'wen'bing'ji'qi'yi'bao'ming'ji 素问病机气宜保命集
'su'xiao'jiu'xin'wan 速效救心丸
'su'xing'huang'qin'jian'gan'cao 苏杏黄芩兼甘草
'su'zi'jiang'qi'ban'xia'gui 苏子降气半夏归
'su'zi'jiang'qi'tang 苏子降气汤
'suan'zao'mu'xiang'long'yan'rou 酸枣木香龙眼肉
'sui'yue'bing'yi'su'jiu 虽曰病宜速救
'sui'yue'jian'chu'gui'ren 虽曰贱畜贵人
'sun'bi'yi'ji 损彼益己
'suo'xia're'jie'yi'ci'fang 唆下热结宜此方
'suo'yi'er'zhe 所以尔者
'suo'yi'yi'ren'bu'de'shi'ji'suo'chang 所以医人不得恃己所长
'tai'bai'bu'ke 苔白不渴
'tai'bai'hua 苔白滑
'tai'bai'mai'xian 苔白脉弦
'tai'bo'bai 苔薄白
'tai'guang'gan'ke'ci'kan'chang 苔光干咳此堪尝
'tai'ping'hui'min'he'ji'ju'fang 太平惠民和剂局方
'tai'yang'wu'han'jian'fan'zao 太阳无汗兼烦躁
'tan'duo'xiong'men 痰多胸闷
'tan'mi'she'qiang'fu'zhi'xing 痰迷舌强服之醒
'tan'ning'qi'zhi'jie'neng'chu 痰凝气滞皆能除
'tan'xian'qing'xi'er'liang'duo 痰涎清稀而量多
'tan'xian'yong'sheng 痰涎壅盛
'tan'xue'xuan'hua 谈谑喧哗
'tan'yin'chuan'ke 痰饮喘咳
'tan'yu'hu'jie'zheng 痰瘀互结证
'tan'zhong'dai'xue 痰中带血
'tang'mai'kang'ke'li 糖脉康颗粒
'tao'ren'yi'yi'dong'gua'ren 桃仁薏苡冬瓜仁
'ti'juan'fa'li 体倦乏力
'ti'juan'shi'shao 体倦食少
'tian'ma'gou'teng'shi'jue'ming 天麻钩藤石决明
'tian'ma'gou'teng'yin 天麻钩藤饮
'tian'meng'jiao'nang 甜梦胶囊
'tian'wang'bu'xin'dan 天王补心丹
'tian'wang'bu'xin'wan 天王补心丸
'tiao'gu'pian 跳骨片
'tiao'he'gan'pi 调和肝脾
'tiao'he'pi'wei 调和脾胃
'tiao'jing'jie'yu'qing're'zhe 调经解郁清热着
'tiao'qi'he'xue 调气和血
'tiao'wei'cheng'qi'xiao'huang'cao 调胃承气硝黄草
'tiao'wei'he'zhong'ci'fang'yi 调胃和中此方宜
'tong'er'che'zhi 通而彻之
'tong'ru'zhen'ci 痛如针刺
'tong'sai'mai'pian 通塞脉片
'tong'xie'yao'fang 痛泻要方
'tong'xie'yao'fang'yong'chen'pi 痛泻要方用陈皮
'tong'xue'kang'jiao'nang 痛血康胶囊
'tou'mian'si'zhi'fu'zhong 头面四肢浮肿
'tou'mu'xuan'yun 头目眩晕
'tou'shen'teng'tong 头身疼痛
'tou'tong 头痛
'tou'tong'e'han 头痛恶寒
'tou'tong'mu'chi 头痛目赤
'tou'tong'wei're 头痛微热
'tou'wei'tong 头微痛
'tou'xie'jie'yu 透邪解郁
'tou'xuan'xin'ji 头眩心悸
'tou'yun'mu'xuan 头晕目眩
'tu'nv'fa'ban'jie'ke'ping 吐衄发斑皆可平
'tu'qing'xian'leng'mo 吐清涎冷沫
'tu'xian'mo 吐涎沫
'tun'suan'tu'ku 吞酸吐苦
'tun'yan'bu'xia 吞咽不下
'wai'gan'feng'xie'tou'tong 外感风邪头痛
'wai'gan'liang'zao'zheng 外感凉燥证
'wai'han'li'yin'zheng 外寒里饮证
'wai'han'tan're'chuan'xiao'chang 外寒痰热喘哮尝
'wai'tai'mi'yao 外台秘要
'wan'fu'pi'man 脘腹痞满
'wan'fu'teng'tong 脘腹疼痛
'wan'fu'zhang'man 脘腹胀满
'wan'xie'tong 脘胁痛
'wang'lai'han're 往来寒热
'wang'shi'lian'pu'yin 王氏连朴饮
'wang'zhi'yan'ran 望之俨然
'wei'dang'shen'di'tan'si 唯当审谛覃思
'wei'de'an'pian 胃得安片
'wei'fu'chun'pian 胃复春片
'wei'han'zhi'liang 畏寒肢凉
'wei'huo'yin'xu'xiang'yin'bing 胃火阴虚相因病
'wei'jing'tang'fang'chu'gan'jin 苇茎汤方出干金
'wei'kang'jiao'nang 胃康胶囊
'wei'ku'xing'han'neng'liang'xue 味苦性寒能凉血
'wei'le'ning'pian 胃乐宁片
'wei'le'xin'jiao'nang 胃乐新胶囊
'wei'li'kang'ke'li 胃力康颗粒
'wei'ling'ke'li 胃灵颗粒
'wei'ling'tang 胃苓汤
'wei're'yin'xu'zheng 胃热阴虚证
'wei'su'chong'ji 胃苏冲剂
'wei'tian'xia'wu'shuang 谓天下无双
'wei'yong'xin'jing'wei'zhe 唯用心精微者
'wen'bing'tiao'bian 温病条辨
'wen'dan'tang 温胆汤
'wen'dan'tang'zhong'ling'ban'cao 温胆汤中苓半草
'wen'fei'hua'yin 温肺化饮
'wen're 温热
'wen're'jing'wei 温热经纬
'wen'shen'nuan'pi 温肾暖脾
'wen'xin'ke'li 稳心颗粒
'wen'yang'hua'qi 温阳化气
'wen'yang'hua'qi'tian'gui'zhi 温阳化气添桂枝
'wen'zhong'bu'xu 温中补虚
'weng'li'tong'jiao'nang 翁沥通胶囊
'wu'bi'xian'xi 勿避险巇
'wu'de'cen'ci 无得参差
'wu'de'si'you'suo'yu 无得似有所娱
'wu'geng'shen'xie'zui'xiang'yi 五更肾泄最相宜
'wu'geng'xie'xie 五更泄泻
'wu'han 无汗
'wu'hou'chao're 午后潮热
'wu'hou'shen're 午后身热
'wu'ji'bai'feng'wan 乌鸡白凤丸
'wu'jia'sheng'hua'jiao'nang 五加生化胶囊
'wu'jian'qi'si'yi 吾见其死矣
'wu'jin'ci'fang'suo'yi'bu'yong'sheng'ming'wei'yao'zhe 吾今此方所以不用生命为药者
'wu'ling'jiao'nang 乌灵胶囊
