'ai'wo'wo 艾窝窝
'ao'ru'cha 熬乳茶
'ba'bao'tu'ding 八宝兔丁
'ba'bao'ye'ya 八宝野鸭
'bai'ba'guang'du 白扒广肚
'bai'ba'yu'chun 白扒鱼唇
'bai'hua'ya'she 百花鸭舌
'bai'shou'tao 百寿桃
'bao'chao'tian'ji 爆炒田鸡
'bao'chao'you'yu 爆炒鱿鱼
'bei'jing'la'cai 北京辣菜
'bing'tang'he'tao 冰糖核桃
'bo'bo'er'pin 饽饽二品
'bo'bo'si'pin 饽饽四品
'bo'luo'ruan'tang 菠萝软糖
'can'qi'dun'bai'feng 参芪炖白凤
'cao'gu'xi'lan'hua 草菇西兰花
'cha'shi'dao'qie 茶食刀切
'cha'tai'ming'xu 茶台茗叙
'chang'chun'juan 长春卷
'chang'chun'lu'bian'tang 长春鹿鞭汤
'chang'shou'long'xu'mian 长寿龙须面
'chao'mo'yu'si 炒墨鱼丝
'chao'zhen'zhu'ji 炒珍珠鸡
'chen'pi'tu'rou 陈皮兔肉
'chi'lu'zhen'zhu'ji 持炉珍珠鸡
'chuan'zha'xian'bei 串炸鲜贝
'chuan'zhi'ya'zhang 川汁鸭掌
'ci'long'ya 刺龙牙
'ci'wu'jia 刺五加
'ci'xi'xiao'wo'tou 慈禧小窝头
'cong'bao'niu'liu 葱爆牛柳
'cong'duan 葱段
'cong'shao'sha'yu'pi 葱烧鲨鱼皮
'cuan'he'yi'pin 攒盒一品
'cui'yu'dou'gao 翠玉豆糕
'da'jiu'jia 大救驾
'da'ye'qin 大叶芹
'dao'feng'dian'xin 到奉点心
'dong'ting'bi'luo'chun 洞庭碧螺春
'dou'mian'bo'bo 豆面饽饽
'dou'sha'juan 豆沙卷
'dou'sha'ping'guo 豆沙苹果
'er'long'xi'zhu 二龙戏珠
'fan'qie'ma'ti 蕃茄马蹄
'fei'long'pu 飞龙脯
'fen'xiang'ru'yan 焚香入宴
'feng'mi'hua'sheng 蜂蜜花生
'feng'wei'shao'mai 凤尾烧麦
'feng'wei'yu'chi 凤尾鱼翅
'feng'xiang'shang'shou 奉香上寿
'fo'shou'jin'juan 佛手金卷
'fu'jian'wu'long 福建乌龙
'fu'zi'gua'shao'li'ji 福字瓜烧里脊
'fu'zi'tong'huan 父子同欢
'gan'lian'fu'hai'shen 干连福海参
'gao'bie'xiang'ming 告别香茗
'ge'zi'bo'li'gao 鸽子玻璃糕
'gong'bao'ye'tu 宫保野兔
'gong'ting'xiao'huang'gua 宫廷小黄瓜
'gong'ting'xiao'luo'pu 宫廷小萝葡
'gu'ban'long'xie 鼓板龙蟹
'gu'yue'ban'yan 古乐伴宴
'gua'lu'sha'ban'ji 挂炉沙板鸡
'gua'lu'shan'ji 挂炉山鸡
'guai'wei'da'bian 怪味大扁
'guai'wei'he'tao 怪味核桃
'guai'wei'ji'tiao 怪味鸡条
'guai'wei'yao'guo 怪味腰果
'guan'men'yu'chun 罐焖鱼唇
'gui'hua'da'tou'cai 桂花大头菜
'gui'hua'jiang'ji 桂花酱鸡
'gui'hua'la'jiang'jie 桂花辣酱芥
'gui'hua'yu'tiao 桂花鱼条
'guo'jiang'jin'gao 果酱金糕
'ha'shen'ma'tang 蛤什蟆汤
'hao'you'niu'liu 蚝油牛柳
'hao'you'zi'ji 蚝油仔鸡
'he'tao'lao 核桃酪
'he'tao'zhan 核桃粘
'he'ye'ji 荷叶鸡
'he'ye'shan'zhou 荷叶膳粥
'he'yi'bing 合意饼
'hong'dou'shan'zhou 红豆膳粥
'hong'mei'zhu'xiang 红梅珠香
'hong'shao'chi'bei 红烧赤贝
'hong'shao'qi'lin'mian 红烧麒麟面
'hong'shao'yu'gu 红烧鱼骨
'hong'you'ya'zi 红油鸭子
'hong'zi'ji'si'huang'gua 洪字鸡丝黄瓜
'hu'die'xia'juan 蝴蝶暇卷
'hu'mi'jiao'bai 湖米茭白
'hu'pi'hua'sheng 虎皮花生
'hua'gu'ya'zhang 花菇鸭掌
'hua'liu'bei'qiu 滑溜贝球
'hua'sheng'zhan 花生粘
'hua'zhan'long'yan 花盏龙眼
'huang'jin'jiao 黄金角
'hui'ren'mi'zhou 慧仁米粥
'ji'si'yin'er 鸡丝银耳
'jiang'cai'si'pin 酱菜四品
'jiang'hei'cai 酱黑菜
'jiang'men'an'chun 酱焖鹌鹑
'jiang'tao'ren 酱桃仁
'jiang'zhi'yu'pian 姜汁鱼片
'jiang'zi'hong'you'bai'ye 疆字红油百叶
'jiao'you'jiao'bai 椒油茭白
'jiao'you'yin'er 椒油银耳
'jie'mo'ya'zhang 芥茉鸭掌
'jin'chan'yu'bao 金蟾玉鲍
'jin'gao 金糕
'jin'gao'juan 金糕卷
'jin'gu'qia'cai 金菇掐菜
'jin'si'shao'mai 金丝烧麦
'jin'si'su'que 金丝酥雀
'jin'tui'shao'yuan'yu 金腿烧圆鱼
'jing'feng'huan'jiang 敬奉环浆
'ju'hua'fo'shou'su 菊花佛手酥
'ju'hua'li'ji 菊花里脊
'jun'shan'yin'zhen 君山银针
'kao'lu'pu 烤鹿脯
'kao'yu'shan 烤鱼扇
'ke'ke'tao'ren 可可桃仁
'la'bai'cai'juan 辣白菜卷
'la'ma'gao 喇嘛糕
'li'ren'xian'ming 丽人献茗
'li'zi'gao 栗子糕
'lian'hua'juan 莲花卷
'lian'peng'dou'fu 莲蓬豆腐
'lian'zi'gao 莲子糕
'lian'zi'shan'zhou 莲子膳粥
'liu'ji'pu 溜鸡脯
'long'bao'feng'dan 龙抱凤蛋
'long'feng'cheng'xiang 龙凤呈祥
'long'feng'rou'qing 龙凤柔情
'long'jing'zhu'sun 龙井竹荪
'long'xu'mian 龙须面
'long'zhou'jue'yu 龙舟镢鱼
'lu'rou'pian 鹿肉片
'lu'shan'yun'wu 庐山云雾
'luo'han'da'xia 罗汉大虾
'ma'la'an'chun 麻辣鹌鹑
'ma'la'kou'tiao 麻辣口条
'ma'la'ti'jin 麻辣蹄筋
'ma'ren'lu'rou'chuan 麻仁鹿肉串
'mi'jian'bin'zi 蜜饯槟子
'mi'jian'bo'luo 蜜饯菠萝
'mi'jian'gua'tiao 蜜饯瓜条
'mi'jian'gui'yuan 蜜饯桂圆
'mi'jian'hai'tang 蜜饯海棠
'mi'jian'hong'guo 蜜饯红果
'mi'jian'jin'zao 蜜饯金枣
'mi'jian'ju'zi 蜜饯桔子
'mi'jian'lai'yang'li 蜜饯莱阳梨
'mi'jian'li'zi 蜜饯李子
'mi'jian'ling'jiao 蜜饯菱角
'mi'jian'long'yan 蜜饯龙眼
'mi'jian'ma'ti 蜜饯马蹄
'mi'jian'ping'guo 蜜饯苹果
'mi'jian'pu'tao 蜜饯葡萄
'mi'jian'qing'mei 蜜饯青梅
'mi'jian'si'pin 蜜饯四品
'mi'jian'xian'tao 蜜饯鲜桃
'mi'jian'xiang'jiao 蜜饯香蕉
'mi'jian'yin'xing 蜜饯银杏
'mi'jian'ying'tao 蜜饯樱桃
'mi'zhi'fan'qie 蜜汁蕃茄
'mi'zhi'la'huang'gua 蜜汁辣黄瓜
'ming'zhu'dou'fu 明珠豆腐
'mo'li'que'she'hao 茉莉雀舌毫
'mo'yu'geng 墨鱼羹
'mu'xi'gao 木犀糕
'nai'bai'pu'tao 奶白葡萄
'nai'bai'xing'ren 奶白杏仁
'nai'bai'zao'bao 奶白枣宝
'nai'you'bo'luo'dong 奶油菠萝冻
'nai'zhi'jiao 奶汁角
'nai'zhi'yu'pian 奶汁鱼片
'nian'zi'kou'mo'fa'cai 年字口蘑发菜
'niu'liu'chao'bai'mo 牛柳炒白蘑
'nuo'mi'liang'gao 糯米凉糕
'pao'lv'cai'hua 泡绿菜花
'pao'zi'ji 狍子脊
'pi'pa'da'xia 琵琶大虾
'pian'pi'ru'zhu 片皮乳猪
'ping'guo'ruan'tang 苹果软糖
'qian'cai'qi'pin 前菜七品
'qian'cai'si'pin 前菜四品
'qian'cai'wu'pin 前菜五品
'qian'ceng'zheng'gao 千层蒸糕
'qian'guo'si'pin 乾果四品
'qiao'shou'shao'yan'yuan 巧手烧雁鸢
'qing'zha'an'chun 清炸鹌鹑
're'chao'si'pin 热炒四品
'ren'shen'guo 人参果
'rong'ji'dai'bu 绒鸡待哺
'rou'ding'huang'gua'jiang 肉丁黄瓜酱
'rou'wei'shao'bing 肉未烧饼
'ru'yi'juan 如意卷
'san'si'gua'juan 三丝瓜卷
'san'xian'long'feng'qiu 三鲜龙凤球
'san'xian'wan'zi 三仙丸子
'sha'guo'wei'lu'jin 砂锅煨鹿筋
'sha'zhou'ta'cui 沙舟踏翠
'shan'ji'pian 山鸡片
'shan'tang'yi'pin 膳汤一品
'shan'zhen'ci'long'ya 山珍刺龙芽
'shan'zhen'ci'wu'jia 山珍刺五加
'shan'zhen'da'ye'qin 山珍大叶芹
'shan'zhen'jue'cai 山珍蕨菜
'shan'zhou'yi'pin 膳粥一品
'shao'kao'er'pin 烧烤二品
'shen'xiang'cai 什香菜
'sheng'kao'pao'rou 生烤狍肉
'shi'feng'long'jing 狮峰龙井
'shi'jin'hua'lan 什锦花篮
'shi'shuang'ruan'tang 柿霜软糖
'shou'wu'ji'ding 首乌鸡丁
'shou'zi'wu'xiang'da'xia 寿字五香大虾
'shuang'se'dou'gao 双色豆糕
'shuang'se'ma'ti'gao 双色马蹄糕
'shuang'se'ruan'tang 双色软糖
'shui'guo'yi'pin 水果一品
'shui'jing'mei'hua'bao 水晶梅花包
'shui'jing'ruan'tang 水晶软糖
'si'tian'mi'jian 四甜蜜饯
'si'xi'jiao 四喜饺
'si'xi'qian'guo 四喜乾果
'song'he'yan'nian 松鹤延年
'song'shu'hou'tou'mo 松树猴头蘑
'sui'shang'bao'bing 随上薄饼
'sui'shang'he'ye'juan 随上荷叶卷
'tang'chao'da'bian 糖炒大扁
'tang'cu'he'ou 糖醋荷藕
'tang'suan 糖蒜
'tao'ren'shan'ji'ding 桃仁山鸡丁
'tian'he'jin 甜合锦
'tian'jiang 甜酱
'tian'jiang'luo'pu 甜酱萝葡
'tian'la'qian 甜辣乾
'tian'mian'jiang 甜面酱
'tian'suan'ru'gua 甜酸乳瓜
'tian'xiang'bao'yu 天香鲍鱼
'wan'dou'huang 豌豆黄
'wan'zi'ma'la'du'si 万字麻辣肚丝
'wan'zi'shan'hu'bai'cai 万字珊瑚白菜
'wei'zu'kao'yang'rou 维族烤羊肉
'wu'cai'chao'shou 五彩抄手
'wu'cai'chao'tuo'feng 五彩炒驼峰
'wu'long'tu'zhu 乌龙吐珠
'wu'xiang'jiang'ji 五香酱鸡
'wu'xiang'shu'jie 五香熟芥
'wu'xiang'xing'ren 五香杏仁
'wu'xiang'yao'guo 五香腰果
'wu'xiang'zi'ge 五香仔鸽
'wu'zi'yan'shui'niu'rou 无字盐水牛肉
'xi'que'deng'mei 喜鹊登梅
'xi'zhen'hei'mi'zhou 稀珍黑米粥
'xia'you'huang'gua 暇油黄瓜
'xia'zi'dong'sun 虾籽冬笋
'xian'dou'miao 鲜豆苗
'xian'mo'cai'xin 鲜蘑菜心
'xian'yu'rou 鲜鱼肉
'xiang'la'huang'gua'tiao 香辣黄瓜条
'xiang'long'shuang'fei 祥龙双飞
'xiang'peng'pao'ji 香烹狍脊
'xiang'su'ping'guo 香酥苹果
'xiang'you'shan'hu 香油膳糊
'xiao'dou'gao 小豆糕
'xin'yang'mao'jian 信阳毛尖
'xing'ren'dou'fu 杏仁豆腐
'xing'ren'fo'shou 杏仁佛手
'xiu'qiu'qian'bei 绣球乾贝
'xue'li'hong 雪里蕻
'xue'shan'mei 雪山梅
'yan'jian'rou 盐煎肉
'yan'shui'jie'pi 腌水芥皮
'yan'shui'li'ji 盐水里脊
'yang'he'chun'lv 杨河春绿
'yao'guo'qin'xin 腰果芹心
'ye'wei'huo'guo 野味火锅
'ye'ya'pu 野鸭脯
'ye'ya'tao'ren'ding 野鸭桃仁丁
