'bing'shuang'xing'zhe 冰霜行者
'cang'san'san 苍三三
'cheng'za 橙砸
'cun'min 村民
'da'cheng'zi 大橙子
'di'lao 地牢
'duo'wan'wo'de'shi'jie'he'zi 多玩我的世界盒子
'fei'xiang'shi 飞翔屎
'fen'yu 粉鱼
'fu'kong'dao 浮空岛
'hong'shi 红石
'hu'lu'xia 互撸虾
'hu'lu'xia'shi'gou 葫芦侠是狗
'hua'xiang'yi 滑翔翼
'huo'sai 活塞
'jiang'shi 僵尸
'jiang'shi'cun'min 僵尸村民
'jiang'shi'zhu'ren 僵尸猪人
'jing'yan'xiu'fu 经验修复
'lu'shu 路叔
'mo'di 末地
'mo'di'du'shi 末地都市
'mo'jing 魔晶
'mo'ying'fei'chuan 末影飞船
'mo'ying'long 末影龙
'mo'ying'ren 末影人
'nian'xing'fang'kuai 粘性方块
'nian'xing'huo'sai 粘性活塞
'shi'lai'mu 史莱姆
'wo'de'shi'jie 我的世界
'wu'ge 五歌
'yan'huang 炎黄
'yi'ji'kuang'dong 遗迹矿洞
'zi'min 籽岷
