'bai'lian 白帘
'bai'ma'wang'zi 白马王子
'bai'mu'dan 白牡丹
'bai'niang'zi 白娘子
'bai'yu'lan 白玉兰
'bai'yu'tang 白玉堂
'bao'dao'jin'long 宝岛金龙
'bao'dao'xian'nv 宝岛仙女
'bao'dao'yan'zhi 宝岛胭脂
'bao'lun 宝轮
'bao'yu'ai 宝玉爱
'cai'he'xian 彩荷仙
'cai'hong 彩虹
'chao'yang 朝阳
'chun'qiu'san'jie 春秋三杰
'cui'yu'mu'dan 翠玉牡丹
'da'man'guan 大满贯
'dong'fang'ming'zhu 东方明珠
'e'mei'mei'die 峨眉梅蝶
'e'mei'shui'jing 峨眉水晶
'fan'jing'su 梵净素
'fei'tian 飞天
'fu'long 福隆
'fu'se'mei'xian 复色梅仙
'fu'shan 富山
'fu'xing'qi'die 复兴奇蝶
'gu'jiao'su 古蛟素
'guan'yin'jin 观音锦
'guan'yin'su'xin 观音素心
'gui'fu'ren 贵夫人
'han'xiao'he 含笑荷
'he'hua'xian'nv 荷花仙女
'he'jing'qi'die 荷晶奇蝶
'he'wang 荷王
'hong'fen'jia'ren 红粉佳人
'hong'niang 红娘
'hong'tian'e 红天鹅
'huang'qi 皇旗
'jia'zhi'guo 加治国
'jian'lan'chang'she'die 建兰长舌蝶
'jian'lan'fei'cui'he 建兰翡翠荷
'jian'lan'gao'chu'jia'hua 建兰高出架花
'jian'lan'guai'xin'hua 建兰拐新花
'jian'lan'hei'hua 建兰黑花
'jian'lan'hong'die 建兰红蝶
'jian'lan'huan'qing 建兰欢庆
'jian'lan'jun'he 建兰君荷
'jian'lan'luo'han 建兰罗汉
'jian'lan'lv'die 建兰绿蝶
'jian'lan'mei'die 建兰梅蝶
'jian'lan'qi'ye'pin 建兰奇叶品
'jian'lan'qi'yi'shui'jing 建兰奇异水晶
'jian'lan'qian'xi'ru'yi 建兰千喜如意
'jian'lan'shu'xing'mei 建兰树型梅
'jian'lan'shui'jing'long 建兰水晶龙
'jian'lan'si'ji'hong 建兰四季红
'jian'lan'si'ji'hua'guang 建兰四季华光
'jian'lan'si'ji'qi'long 建兰四季奇龙
'jian'lan'si'ji'yu'fei 建兰四季玉妃
'jian'lan'si'ji'yu'shi 建兰四季玉狮
'jian'lan'si'ji'zhou'pi 建兰四季皱皮
'jian'lan'yu'lan'su 建兰玉兰素
'jiao'he 娇鹤
'jin'feng 金蜂
'jin'he 金荷
'jin'he 锦鹤
'jin'ling 金铃
'jin'ma'zhi'guang 金马之光
'jin'qi 锦旗
'jin'si'ma'wei 金丝马尾
'jin'tong'yu'nv 金童玉女
'li'bao 丽宝
'li'shan'shi'wang 梨山狮王
'long'feng'da'cai'mei 龙凤大彩梅
'long'yan'shi'ba'kai 龙岩十八开
'long'zhi'mei 龙之梅
'lv'dao'yan'zhi 绿岛胭脂
'lv'dao'zui 绿岛嘴
'lv'mei 绿梅
'lv'yun'xian'nv 绿云仙女
'ma'er 马耳
'ma'wei'zhao 马尾爪
'man'tang'hong 满堂红
'mi'ni'jiao'he 迷你娇鹤
'ming'xing 明星
'ming'yu 明玉
'peng'lai'zhi'hua 蓬莱之花
'qi'jian'he'hua'su 企建荷花素
'qi'xian'nv 七仙女
'qian'shou'guan'yin 千手观音
'qing'shan'yu'quan 青山玉泉
'qiong'he 琼和
'ri'jin 日进
'ri'yue'bao 日月宝
'ri'zhi'chu 日之出
'sa'mo'jin 萨摩锦
'san'yuan'qi'die 三元奇蝶
'shi'chang'hong 市长红
'shuang'yan 双燕
'si'ji'jia'long 四季佳龙
'si'ji'pan'long 四季蟠龙
'si'ji'qi'die 四季奇蝶
'si'ji'qi'qiao 四季奇巧
'si'ji'wen'shan'long 四季文山龙
'su'hu'ban 素虎斑
'tang'bo'hu 唐伯虎
'tao'jiao 桃娇
'tao'lin 桃琳
'tao'sai'su 桃腮素
'tian'chong'wen'xing 天虫文星
'tian'e 天鹅
'tian'fu'mu'dan 天府牡丹
'tian'he 天荷
'tian'si'huang 天司晃
'tian'xiang 天香
'tian'xiang'jin 天香锦
'tie'gu'huang'ya 铁骨黄芽
'tie'gu'shui'jing 铁骨水晶
'tie'gu'shui'jing'hua 铁骨水晶花
'tie'gu'zhong'tou 铁骨中透
'tie'jin'gang 铁金刚
'wu'xing'die 五星蝶
'xi'hai'jin 西海锦
'xian'shan'mu'dan 仙山牡丹
'xiang'fei 香妃
'xiao'tao'hong 小桃红
'xiao'tian'long 小天龙
'xiao'yu'tao 小玉桃
'xin'bao'dao'xian'nv 新宝岛仙女
'xin'yi'jin 馨逸锦
'xue'lian 雪莲
'xue'shan'hong 雪山红
'xue'yu 雪玉
'ya'huang'su 芽黄素
'yan'ling'he'su 延陵荷素
'yan'shan'hong 雁山红
'yi'pin'mei 一品梅
'yin'bian'da'gong'su 银边大贡素
'yin'si'ma'wei 银丝马尾
'yu'feng'jin 玉丰锦
'yu'fu'rong 玉芙蓉
'yu'he 玉荷
'yu'huan'fei 玉环妃
'yu'shan'qi'die 玉山奇蝶
'yu'xue'tian'xiang 玉雪天香
'zhong'shan'mei 中山梅
